"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","comparison","database","direction"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",199,-0.674172774633234,-4.06331961285558,2.4795974563271e-52,1.23979872816355e-50,1.56606155136448e-51,2733,"tags=57%, list=14%, signal=50%","Srsf3/Ndufab1/Lsm2/Rsl1d1/Vbp1/Ppm1g/Rpl14/Nolc1/Ywhaq/Snrpa1/Nme1/Psmc4/Mcm6/Srm/Prdx4/Hdac2/Ilf2/Ctps/Psma4/Hspd1/Sf3b3/Txnl4a/Eif3d/Vdac3/Trim28/Dut/Pgk1/U2af1/Psma7/Psmd1/C1qbp/Psmb2/Rrm1/Cyc1/Psmd3/Ran/Cul1/Eif2s1/Psmd7/Snrpd3/Snrpg/Abce1/Cct7/Ldha/Ranbp1/Cct4/Cdk4/Psma1/Bub3/Tufm/Psmd8/Hnrnpd/Eif4g2/Cct5/Mrpl23/Psmc6/Syncrip/Eprs/Hspe1/Hnrnpa3/Psma2/Hnrnpc/Srsf7/Nap1l1/G3bp1/Ssb/Tcp1/Psmd14/Cct3/Tardbp/Srsf2/Hprt/Cox5a/Cops5/Rpl34/Pcna/Dek/Dhx15/Cct2/Eif3b/Pcbp1/Rpl6/Rpl22/Erh/Eif4e/Hnrnpa1/Npm1/Ptges3/Kpnb1/Rps6/Fam120a/Srsf1/Eif4h/H2az1/Ppia/Psma6/Slc25a3/Serbp1/Rpl18/Ywhae/Rps10/Cnbp/Eif4a1/Rps5/Eef1b2/Pabpc1/Hnrnpu/Canx/Rplp0/Rps3/Hnrnpa2b1/Rack1/Hsp90ab1","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Hallmark","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",199,-0.624742802113894,-3.76539928091987,7.11933333981447e-43,1.77983333495362e-41,2.24821052836247e-42,3746,"tags=65%, list=19%, signal=53%","Cox7c/Afg3l2/Uqcrq/Atp5l/Sucla2/Ndufb6/Atp6v1d/Ndufa8/Phb2/Etfdh/Atp5o/Mgst3/Idh3a/Hspa9/Acaa2/Acadvl/Atp6v1f/Atp6v1h/Ndufc2/Sdhc/Cycs/Hsd17b10/Nnt/Sdhb/Suclg1/Casp7/Fh1/Slc25a4/Atp5c1/Grpel1/Ndufb3/Ndufab1/Echs1/Htra2/Mdh1/Fdx1/Dld/Ndufs7/Ndufa3/Ndufa5/Ndufv2/Tcirg1/Ndufb2/Cox6a1/Uqcrc2/Acadsb/Immt/Oat/Atp6v1g1/Ndufs4/Aco2/Dlat/Vdac2/Ndufs3/Vdac3/Uqcrb/Ndufb4/Cpt1a/Ndufs1/Ndufb1/Acat1/Idh3b/Dlst/Cox5b/Cyc1/Timm13/Sdha/Ndufa2/Atp6v1e1/Cs/Cox7a2/Ldha/Ndufa9/Atp5g2/Gpi1/Alas1/Atp6v0e/Atp5j/Idh1/Bax/Ndufc1/Timm8b/Uqcr11/Etfa/Ndufb5/Hadha/Ndufb8/Atp5h/Ech1/Cyb5a/Atp6v0b/Slc25a5/Cox6c/Uqcrfs1/Ndufa6/Por/Phyh/Ndufs2/Polr2f/Ogdh/Atp6v0c/Idh2/Ndufs6/Atp5pb/Cox5a/Ndufa7/Atp6ap1/Iscu/Uqcrc1/Atp1b1/Atp5k/Ndufa1/Ndufa4/Cox8a/Atp5d/Atp5j2/Mdh2/Glud1/Etfb/Gpx4/Cyb5r3/Atp5e/Slc25a3/Uqcrh/Ldhb/Cox4i1/Atp5g3/Atp5a1/Atp5b","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Hallmark","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",201,-0.519096700095858,-3.14738155894711,5.16162215962196e-28,8.60270359936994e-27,1.08665729676252e-27,2250,"tags=39%, list=11%, signal=35%","Itgav/Plod1/Bmp1/Wipf1/Mfap5/Fbn1/Cadm1/Htra1/Serpinh1/Serpine1/Itgb5/Cald1/Fbln1/Col5a1/Crlf1/Fbln5/Fuca1/Dab2/Capg/Ccn1/Emp3/Serpine2/Slit3/Ecm1/Timp1/Tpm4/Colgalt1/Efemp2/Lamc2/Sdc4/Mylk/Dcn/Sdc1/Lamc1/Jun/Postn/Lox/Sfrp1/Fermt2/Lrp1/Tnc/Pcolce/Vegfa/Tpm2/Pmepa1/Col6a3/Timp3/Mmp2/Myl9/Col5a2/Flna/Cd44/Tgm2/Copa/Fstl1/Col4a2/Qsox1/Col4a1/Tagln/Calu/Ppib/Id2/Acta2/Igfbp4/Tpm1/Mmp14/Spp1/Eln/Itgb1/Thbs1/Sparc/Lgals1/Col1a2/Mgp/Vim/Fn1/Bgn/Col3a1/Col1a1","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Hallmark","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS",200,-0.518645562209664,-3.14805899193783,6.76758215898741e-27,8.45947769873427e-26,1.06856560405064e-26,3435,"tags=50%, list=17%, signal=42%","Itsn1/Atp5o/Hspb8/Dhrs7/Riok3/Mgst3/Idh3a/Slc25a10/Acaa2/Lifr/Fzd4/Pgm1/Sdhc/Hadh/Ppm1b/Gpd2/Col15a1/Acadl/Sdhb/Suclg1/Cdkn2c/Grpel1/Cmpk1/Ndufab1/Tank/Rreb1/Map4k3/Dhrs7b/Echs1/Chuk/Lama4/Dnajc15/Dld/Ndufa5/Baz2a/Mgll/Nmt1/Cox6a1/Ubqln1/Immt/Cd302/Aco2/Dlat/Scp2/Dnajb9/Ndufs3/Stom/Acox1/Tkt/Tst/Cyp4b1/Ywhag/Adipor2/Tob1/Cyc1/Acly/Scarb1/Abca1/Cs/Taldo1/Mtarc2/Esyt1/Cavin2/Plin2/Mylk/Idh1/Cd151/Uqcr11/Pdcd4/Atp1b3/Dram2/Ech1/Slc1a5/Cat/Ifngr1/Por/Reep5/Cavin1/Phyh/Rtn3/Uqcrc1/Cox8a/Agpat3/G3bp2/Mdh2/Cd36/Aldh2/Etfb/Gpx4/Ghitm/Col4a1/Ucp2/Aplp2/Mtch2/Sparcl1/Gpx3/Aldoa/Sod1/C3/Apoe","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Hallmark","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",199,-0.512448745626626,-3.08858962722234,1.32105851837106e-26,1.32105851837106e-25,1.66870549688976e-26,3271,"tags=48%, list=16%, signal=41%","Cfp/Tbk1/Ufm1/Hspa9/Add3/Insig1/Pdap1/Dhcr24/Pgm1/Rrm2/Nup205/Mcm2/Psma3/Arpc5l/Psme3/Eno1/Gclc/Stip1/Map2k3/Psmc4/Psmc2/Ddx39a/Nmt1/Cct6a/Immt/Psma4/Gapdh/Hspd1/Fads2/Serpinh1/Nampt/Glrx/P4ha1/Psmb5/Prdx1/Uso1/Psmd13/Ero1a/Gmps/Sqle/Nupr1/Tpi1/Pgk1/Edem1/Txnrd1/Adipor2/Ebp/Ccng1/Itgb2/Acly/Gsk3b/Igfbp5/Ldha/M6pr/Gpi1/Rab1a/Idh1/Slc6a6/Sdf2l1/Psmc6/Eprs/Hspe1/Cyb5b/Rpn1/Slc1a5/Serp1/Scd1/Sec11a/Actr3/Hspa4/Bhlhe40/Scd2/Psmd14/Ifi30/Hprt/Slc9a3r1/Cops5/Btg2/Fads1/Ssr1/Cd9/Fkbp2/Actr2/Fgl2/Ctsc/Hspa5/Ppia/Coro1a/Atp2a2/Xbp1/Aldoa/Sqstm1/Canx/Calr/Lgmn/Hsp90b1","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Hallmark","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",195,-0.466021387507785,-2.78174253085856,2.16274927926985e-20,1.80229106605821e-19,2.27657818870511e-20,2753,"tags=36%, list=14%, signal=32%","Casp7/Gch1/Eif2ak2/Gzma/Adar/Stat1/Rnf31/Rtp4/Gbp3/Tnfaip2/Zbp1/Ifi27/Lap3/Ptpn6/Ciita/Samd9l/Irf4/Nampt/Helz2/Parp14/St8sia4/Cd274/Plscr1/Psme2/H2-Eb1/Parp12/Irf7/Myd88/Peli1/Psmb2/Nfkb1/Psmb10/Isg15/Cmklr1/Eif4e3/Tap1/H2-DMa/Trafd1/Ccl5/Isg20/Socs3/Mvp/Irf9/C1s1/Psma2/Sppl2a/Samhd1/Nfkbia/Ifi30/Irf1/Btg1/Psmb9/Cfh/Irf8/Icam1/Ifnar2/Hif1a/Stat3/Fgl2/Tapbp/Sri/Lgals3bp/Psme1/Txnip/Serping1/B2m/Ly6e/Psmb8/Cd74/Vamp8/H2-D1","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Hallmark","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",192,-0.45512797355583,-2.86284068415656,2.21338775393067e-19,1.58099125280762e-18,1.99704158249384e-19,3027,"tags=41%, list=15%, signal=35%","Jak2/Usp15/Mmp15/Gpd2/S100a9/Stx4a/Casp7/Pla2g7/Vcpip1/Src/Gzma/Itgam/Lap3/Fdx1/Pdgfb/Cd55/Prcp/Msrb1/Serpine1/Xpnpep1/Usp14/Plek/Prep/Fyn/Ppp2cb/Cr1l/Ehd1/Plscr1/Dock4/Irf7/Dock10/Raf1/Cpq/Lyn/Plat/Timp1/Ccl5/Dusp6/C1s1/Usp8/Ppp4c/Gnai3/Lipa/Lrp1/Spock2/Irf1/Calm3/Psmb9/Grb2/Cfh/Lgals3/Adam9/Cp/Timp2/Ctsl/Cd36/Col4a2/Gnai2/Ctsc/Atox1/Hspa5/Ctsd/Serping1/Csrp1/Ctsb/Gnb2/Mmp14/C1qc/Anxa5/Pfn1/Ctss/Clu/Calm1/Lgmn/Ctsh/C3/C1qa/Fn1","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Hallmark","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",160,-0.493538496984755,-3.03984610890375,3.83696046980938e-19,2.39810029363086e-18,3.02917931827056e-19,1533,"tags=35%, list=8%, signal=33%","Vdac2/Cyld/Ppt1/Crebbp/Ebp/Emp1/Pea15a/Btg3/Ier3/Hmox1/Plat/Bcl2l1/Timp1/Bcap31/Cdkn1b/Tap1/Dcn/Bax/Cav1/Pdcd4/Isg20/Bcl10/Jun/Ifngr1/Nedd9/F2r/Add1/Smad7/Tspo/Irf1/Gstm2/Btg2/Timp3/Krt18/Mmp2/Lgals3/Hmgb2/Timp2/Dnajc3/Cd44/Gpx4/Gsn/Anxa1/App/Mcl1/Ctnnb1/Txnip/Gpx1/Ccnd1/Gpx3/Lmna/Sptan1/Sqstm1/Sod1/Clu/Bgn","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Hallmark","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",96,-0.578736873063155,-3.19170630623562,6.48632265882776e-17,3.60351258823765e-16,4.55180537461597e-17,3046,"tags=53%, list=15%, signal=45%","Atp6v1h/Vamp3/Rab22a/Rab5a/Arfip1/Dnm1l/Tmx1/Stx7/Ergic3/Sgms1/Arfgef1/Napa/Arfgap3/Cltc/Vps4b/Mapk1/Uso1/Mon2/Ap1g1/Tspan8/Ppt1/Anp32e/Ap3b1/Bet1/Sec31a/Abca1/Lman1/M6pr/Kif1b/Adam10/Snx2/Arcn1/Ap2s1/Ap2m1/Ap2b1/Rab2a/Rer1/Copb2/Copb1/Krt18/Cope/Tmed10/Atp1a1/Ctsc/Rab14/Arf1/Clta/Tmed2/Gnas/Cd63/Sod1","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Hallmark","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",112,-0.524849143659923,-2.9177383042584,6.77343202582622e-16,3.38671601291311e-15,4.27795706894288e-16,3518,"tags=49%, list=18%, signal=41%","Dnaja4/Wipi1/Iars/Ddit4/Ttc37/Kdelr3/Hspa9/Shc1/Edc4/Eif2ak3/Arfgap1/Mtrex/Nolc1/Eif4a3/Cnot2/Srprb/Dnajb9/Cnot6/Herpud1/Atf6/Ero1a/Yif1a/Edem1/Paip1/Sec31a/Imp3/Eif2s1/Srpr/Atp6v0d1/Atf4/Banf1/Spcs3/Lsm4/Serp1/Sec11a/Vegfa/Ssr1/Kif5b/Dnajc3/Eif4e/Eif4g1/Npm1/Eif4a2/Khsrp/Spcs1/Hspa5/Fus/Ywhaz/Xbp1/Eif4a1/Rps14/Calr/Pdia6/Eef2/Hsp90b1","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Hallmark","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
