"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","comparison","database","direction"
"GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN","GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN",104,-0.799652013768793,-4.38367716244628,1.66597260215669e-46,8.40982969568697e-43,1.43273643785475e-43,2099,"tags=73%, list=11%, signal=66%","Cox6a1/Cd3g/Atp6v1g1/Ets1/Prdx1/Tkt/Uqcrb/C1qbp/Mki67/Ran/Snrpg/Rpl36/Ldha/Psma1/Rpl9/Eif4g2/Stmn1/Cct5/Rps27l/Hadha/Hnrnpc/Cyb5a/Rab2a/Actr3/Selenow/Rps9/Tpm3/Atp5pb/Txn1/Srsf2/Cox5a/Rpl34/Pcna/Tubb5/Arl6ip1/Selenop/Hint1/Ndufa1/Rpl6/Ctsl/Laptm5/Rpl22/Npm1/Arpc3/Rps6/Actb/Psme1/H2az1/Ppia/Psma6/Serbp1/Ldhb/Anxa2/Hspa8/Arf1/B2m/Rpl18/Akr1a1/Ywhaz/Actg1/Rps3a1/Capzb/Rps10/Cnbp/Eif4a1/Rps5/Eef1b2/Arpc2/Hsp90aa1/Hnrnpu/Atp5g3/Rps14/Rplp0/Rps19/Rps3/Rack1","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Immune","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP","GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP",87,-0.803343184590266,-4.38540950713198,4.55951916082946e-39,1.15082263619335e-35,1.96059323915667e-36,2099,"tags=74%, list=11%, signal=66%","Rpl14/Hcls1/Zbp1/Cox6a1/Irf4/Prdx1/Vdac3/Tkt/Uqcrb/Acsl5/Ran/Psmb10/Snrpg/Rpl36/Isg15/Cct4/Psma1/Rpl9/Eif4g2/Hspe1/Hnrnpa3/Hadha/Hnrnpc/Phyh/Rps9/Tpm3/Cox5a/Arf6/Rpl34/Rbbp7/Hint1/Ndufa1/Rpl6/Cxcl16/Rpl22/Npm1/Arpc3/Rps6/Actb/Ghitm/Psme1/Hspa5/Ppia/Coro1a/Anxa2/Hspa8/Rpl18/Akr1a1/Actg1/Rps3a1/Ywhae/Rps10/Prdx5/Rps5/Eef1b2/Arpc2/Sod1/Rps14/Rplp0/Rps19/Rps3/Clu/Rack1/C3","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Immune","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"GSE22886_NEUTROPHIL_VS_MONOCYTE_DN","GSE22886_NEUTROPHIL_VS_MONOCYTE_DN",101,-0.757764572023152,-4.16562498967166,2.02451357912499e-37,3.40658151580765e-34,5.80360559349164e-35,2733,"tags=69%, list=14%, signal=60%","Srsf3/Grpel1/Ndufab1/Dnm1l/Eno1/Dnmt1/Hsd17b4/Ddx39a/Ext1/Nmt1/Immt/Ndufs4/Adh5/Vdac2/Rnh1/Eif3d/Dusp3/Ndufs1/Sec31a/Idh3b/Pea15a/Cyc1/Psmd3/Timm13/Ran/Snrpd3/Ndufa9/Cct4/Psma1/Gusb/Rpl9/Hnrnpd/Banf1/Plxnb2/Syncrip/Eprs/Srsf7/Nap1l1/Cct3/Ndufs6/Cox5a/Irf8/Dhx15/Uqcrc1/Lgals3/Ndufa4/Capn2/Eif4g1/Eif3a/Cd44/S100a10/Sfpq/Slc25a3/Gpx1/Uqcrh/Ucp2/Anxa2/Akr1a1/Ahnak/Ctsb/Eif4a1/H2-Ea/Canx/Atp5g3/Lgals1/Atp5b/Hnrnpa2b1/Rack1/Hsp90ab1/Ctsh","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Immune","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"GSE29618_BCELL_VS_MDC_DN","GSE29618_BCELL_VS_MDC_DN",115,-0.71029178973605,-3.89976855750626,1.0145971059637e-35,1.28042154772619e-32,2.18138377782196e-33,2139,"tags=55%, list=11%, signal=49%","Ccr5/Ets2/Prcp/Cct6a/Gapdh/Glrx/Stom/Cpt1a/Dusp3/Rbpj/Tob1/Arrb1/Dab2/Capg/Pea15a/Itgb2/Fkbp1a/Timp1/Rab31/Gsto1/Axl/Cat/Scd1/Sec11a/Uqcrfs1/Ndufa6/Bhlhe40/Scd2/Ifi30/Txn1/Wdr1/Atp6ap1/Atp1b1/Ssr1/Ndufa4/Cox8a/S100a4/Dpysl2/S100a10/Gnai2/Actb/Gsn/Cap1/Coro1a/Anxa2/Pkm/Myl12a/Actg1/Ctsb/Lcp1/Lmna/Id2/Eif4a1/Arpc2/H2-Ea/Cd63/Anxa5/Canx/Pfn1/Lgals1/Igfbp7/Ctsh/Vim","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Immune","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"GSE41978_ID2_KO_VS_ID2_KO_AND_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_DN","GSE41978_ID2_KO_VS_ID2_KO_AND_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_DN",92,-0.754677914004289,-4.23407737534213,2.16931451259198e-34,2.19013993191287e-31,3.73122096165821e-32,1181,"tags=55%, list=6%, signal=52%","Cox7a2/Ldha/Pebp1/Bub3/Rpl9/Uqcr11/Ndufb5/Usp8/Hnrnpc/P2rx4/Cox6c/Sec61a1/Atp5pb/Cox5a/Arf6/Rpl34/Tubb5/Rpl6/Srgn/Rpl22/Atp5j2/Amfr/Rps6/Eif4h/Atox1/Ppia/Coro1a/Serbp1/Arf1/B2m/Pkm/Rpl18/Actg1/Rps3a1/Rps10/Ppp1ca/Psmb8/Eif4a1/Rps5/Arpc2/Pabpc1/Hsp90aa1/Rps14/Rplp0/Lgals1/Eef2/Cfl1/Rps3/Rack1/Hsp90ab1/Vim","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Immune","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"GSE22886_NAIVE_CD4_TCELL_VS_DC_DN","GSE22886_NAIVE_CD4_TCELL_VS_DC_DN",102,-0.733899463313677,-4.00382074996489,1.45448854937817e-33,1.2237096995435e-30,2.08476692077538e-31,2581,"tags=62%, list=13%, signal=54%","Src/Pygl/Gclc/Stx7/Lap3/Slc31a2/Plod1/Aco2/Psmb5/Prdx1/Rnh1/Ppt1/H2-Eb1/Dusp3/Txnrd1/Bet1/Creg1/Pgam1/Nfe2l2/Aldh3a2/Atp6v1e1/Rab31/Taldo1/M6pr/Tax1bp3/H2-DMa/Atp6v0e/Gde1/Idh1/Timm8b/Ap2s1/Etfa/Ap2m1/Slc1a5/Atp6v0b/Ifngr1/Cebpa/Lipa/Reep5/Ifi30/Cox8a/Sdcbp/Eif4g1/Fgl2/Ghitm/Gsn/Ctsc/Ctnna1/Gpx1/Ctsb/Clta/H2-Ea/Cd74/Sqstm1/Cd63/Ftl1/Vamp8/Anxa5/Canx/S100a11/Atp5b/Ctsh/Vim","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Immune","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"GSE41978_KLRG1_HIGH_VS_LOW_EFFECTOR_CD8_TCELL_DN","GSE41978_KLRG1_HIGH_VS_LOW_EFFECTOR_CD8_TCELL_DN",89,-0.750479225728991,-4.1241141161346,4.08423481148807e-32,2.94531676119883e-29,5.01777419697106e-30,1048,"tags=51%, list=5%, signal=48%","Rpl9/Lsm4/Uqcr11/Cox6c/Rps9/Irf1/Wdr1/Rpl34/Pcna/Dek/Pcbp1/Atp5k/Rpl6/Srgn/Rpl22/Abi1/Eif3a/Glud1/Rps6/Actb/Eif4h/Cap1/Ppia/Slc25a3/Cox4i1/Hspa8/B2m/Aplp2/Rpl18/Actg1/Rps3a1/Rps10/Ppp1ca/Psmb8/Eif4a1/Rps5/Ftl1/Atp5g3/Rps14/Atp5a1/Rplp0/Eef2/Rps19/Rps3/Hsp90ab1","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Immune","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"GSE22886_NEUTROPHIL_VS_DC_DN","GSE22886_NEUTROPHIL_VS_DC_DN",108,-0.700323463353897,-3.84621083943291,1.02325040794851e-31,6.45671007415512e-29,1.09999418854465e-29,3260,"tags=70%, list=16%, signal=59%","Mgst3/Tgif1/Hspa9/Rad50/Atp6v1f/Clns1a/Mrpl40/Psma3/Suclg1/Srsf3/Ndufab1/Dnm1l/Rreb1/Gclc/Mtrex/Echs1/Stip1/Maoa/Gtf2h5/Psmc2/Ndufv2/Nmt1/Ncor2/Vdac2/Prdx1/Rnh1/Vdac3/Ndufb4/Yif1a/Dusp3/Ndufs1/Psmd1/Paip1/Dock10/Dab2/Sec31a/Pea15a/Cyc1/Ran/Cul1/Snrpd3/Pebp1/Cct4/M6pr/H2-DMa/Tufm/Snx2/Banf1/Hspe1/Ndufb8/Atp5h/Srsf7/Cebpa/Psmd14/Txn1/Rbbp7/Rbx1/Atp1b1/Gls/Capn2/Eif4g1/Gsn/Sfpq/Ctnna1/Gpx1/Uqcrh/Mtch2/Cd81/Gpx3/Xbp1/H2-Ea/Anxa5/Canx/Atp5g3/Atp5a1/Atp5b","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Immune","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"GSE22886_NAIVE_BCELL_VS_MONOCYTE_DN","GSE22886_NAIVE_BCELL_VS_MONOCYTE_DN",108,-0.690345318056986,-3.79141037563776,2.27406535198521e-30,1.27549798853571e-27,2.17299578078587e-28,2373,"tags=58%, list=12%, signal=52%","Nagk/Itgam/Itgal/Tnfaip2/Slc31a2/Ext1/Rps6ka1/Cct6a/Cltc/Immt/Gapdh/Glrx/Rnh1/Tmem50a/Tkt/Ppt1/Dusp3/Ndufs1/Tpi1/Tnfrsf1b/Creg1/Arrb2/Capg/Abr/Rab31/Taldo1/Timm8b/Pxn/Plxnb2/Dusp6/Tnfrsf1a/Ifngr1/Ifi30/Atp6v0c/Ndufs6/Rtn3/Uqcrc1/Lgals3/Timp2/Vasp/Sdcbp/Srgn/S100a4/Eif4g1/Mgat1/Atp1a1/S100a10/Ckap4/Anxa1/Ctsd/Gpx1/Rab14/Anxa2/Pkm/Akr1a1/Ctsb/Id2/Clta/Aldoa/Ftl1/Lgals1/S100a11/Vim","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Immune","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_1MONTH_POST_DX_UP","GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_1MONTH_POST_DX_UP",90,-0.725091963297494,-4.06738320950959,7.52624282291386e-29,3.79924737700692e-26,6.47256882770592e-27,3189,"tags=64%, list=16%, signal=54%","Hspa9/Slc35a3/Klf10/Hnrnpr/Nnt/Dr1/Ugcg/Tmem9b/Ier5/Odf2/Aco2/Eif4g3/Stau1/Tob1/Sec31a/Tent5c/Bcap31/Gpi1/Adam10/Hnrnpd/Mapre1/Spcs3/Bag1/Eprs/Hnrnpa3/Hadha/Rpn1/Jun/Tap2/Arl6ip1/Rtn3/Uqcrc1/Galnt1/Bmpr2/Laptm5/Hif1a/Hnrnpa1/G3bp2/Actr2/Kpnb1/Junb/Dpysl2/Glud1/Copa/Sfpq/Hspa5/Txnip/Ezr/Ywhaz/Actg1/Tmed2/Aldoa/Hnrnpu/Anxa5/Canx/Atp5b/Msn/Hsp90b1","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Immune","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
