"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","comparison","database","direction"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",199,-0.6944045357601,-3.40553906276194,1.27708491770424e-43,6.38542458852121e-42,5.37719965349155e-43,3894,"tags=73%, list=20%, signal=60%","Snrpd2/Rnps1/Mcm7/Got2/Aimp2/Nop16/Ncbp2/Usp1/Ssbp1/Prdx3/Impdh2/Prps2/Mcm6/Rps2/Sf3a1/Kars/Ppm1g/Vdac1/Tra2b/Xpo1/Ap3s1/Exosc7/Pold2/Lsm2/Eif2s2/Cstf2/Clns1a/Rsl1d1/Mrpl9/Snrpa1/Uba2/Snrpb2/Iars/Prdx4/Nop56/Hspd1/Phb2/Srm/Nme1/Psmd1/Srsf3/Nolc1/Rrm1/U2af1/Ran/Hnrnpr/Sf3b3/Pgk1/Ilf2/Txnl4a/Ctps/Dut/Ndufab1/Glo1/Psmc4/Rad23b/Eif3d/Hdac2/Vbp1/Cyc1/Tufm/Cul1/C1qbp/Psmd3/Vdac3/Cct7/Rpl14/Ranbp1/Hspe1/Psmb2/Abce1/Snrpg/Eprs/Psma4/Ywhaq/Psma1/Psmd7/Eif2s1/Syncrip/Bub3/Mrpl23/Trim28/Ldha/Srsf7/Hnrnpa3/Kpnb1/Hnrnpc/Cops5/Cox5a/Hnrnpd/Psma2/Eif4g2/Cct4/Nap1l1/Psmd8/Cdk4/Psma7/Psmd14/Snrpd3/Pcna/Hprt/Rpl6/Tcp1/G3bp1/Tardbp/Cct3/Ssb/Srsf2/Rpl34/Eif4e/Hnrnpa1/Dhx15/Cct5/Erh/Psmc6/Eif3b/Dek/Ptges3/Npm1/Rps6/Pcbp1/Cct2/Fam120a/Slc25a3/Rpl22/Ppia/H2az1/Srsf1/Psma6/Rps10/Serbp1/Eef1b2/Rpl18/Rps5/Ywhae/Pabpc1/Eif4h/Cnbp/Eif4a1/Rplp0/Canx/Rps3/Hnrnpu/Rack1/Hnrnpa2b1/Hsp90ab1","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected","Hallmark","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_NO_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",199,-0.683218057905189,-3.35067768823488,2.54591337665251e-41,6.36478344163127e-40,5.35981763505791e-41,3838,"tags=67%, list=19%, signal=55%","Cox17/Cox7a2l/Cox7b/Vdac1/Cycs/Uqcrq/Atp5l/Nnt/Casp7/Idh3a/Atp6v1h/Aifm1/Timm17a/Atp6v1f/Ndufb6/Ndufc2/Suclg1/Eci1/Maob/Sucla2/Mgst3/Ndufb2/Dlat/Dld/Phb2/Afg3l2/Ndufs7/Hspa9/Atp5o/Slc25a4/Uqcrc2/Ndufs3/Tcirg1/Sdhc/Aco2/Ndufs1/Ndufa8/Cpt1a/Atp5c1/Ndufb4/Uqcrc1/Acaa2/Ndufab1/Vdac2/Acadvl/Acadsb/Sdhb/Timm8b/Atp6v1g1/Cyc1/Htra2/Cox6a1/Ndufb3/Mdh1/Grpel1/Ndufa5/Ndufs4/Oat/Ndufv2/Uqcrb/Hsd17b10/Vdac3/Dlst/Ndufa3/Immt/Ndufb5/Timm13/Atp5g2/Ndufa9/Ndufa2/Echs1/Fdx1/Idh3b/Atp6v0e/Bax/Cox7a2/Ndufc1/Ndufb1/Cox5b/Ldha/Ndufb8/Gpi1/Sdha/Cs/Atp6v0c/Uqcr11/Idh1/Acat1/Phyh/Polr2f/Atp6v1e1/Cox5a/Slc25a5/Idh2/Iscu/Ech1/Atp5j/Hadha/Atp5k/Atp5h/Etfa/Uqcrfs1/Atp6v0b/Cox8a/Ndufa7/Cox6c/Ndufa6/Cyb5a/Alas1/Ndufs6/Ogdh/Atp6ap1/Atp5pb/Atp5d/Uqcrh/Etfb/Ndufs2/Por/Glud1/Ndufa4/Atp1b1/Slc25a3/Atp5e/Ndufa1/Ldhb/Mdh2/Gpx4/Atp5j2/Cyb5r3/Cox4i1/Atp5g3/Atp5a1/Atp5b","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected","Hallmark","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_NO_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS",200,-0.613235243409718,-3.00691420220564,1.22311192373463e-28,2.03851987289106e-27,1.71664831401352e-28,3717,"tags=52%, list=19%, signal=43%","Tank/Uqcrq/Itsn1/Idh3a/Adcy6/Hspb8/Aifm1/Suclg1/Baz2a/Mgst3/Dlat/Dhrs7/Ppp1r15b/Dld/Chuk/Map4k3/Gpam/Atp5o/Fzd4/Pim3/Ppm1b/Ndufs3/Nmt1/Pgm1/Sdhc/Dhrs7b/Aco2/Atl2/Cd302/Slc25a10/Cmpk1/Uqcrc1/Cdkn2c/Acaa2/Ndufab1/Dnajc15/Tst/Sdhb/Rreb1/Mgll/Lifr/Dnajb9/Cyc1/Riok3/Cox6a1/Ubqln1/Grpel1/Tkt/Ndufa5/Stom/Taldo1/Hadh/Acox1/Lama4/Immt/Adipor2/Scarb1/Echs1/Acly/Mtarc2/Ywhag/Acadl/Pdcd4/Slc1a5/Scp2/Abca1/Tob1/Esyt1/Cs/Uqcr11/Idh1/Cd151/Phyh/Atp1b3/Dram2/Ech1/Reep5/Cavin2/Cyp4b1/Plin2/Ifngr1/Cox8a/Agpat3/Cavin1/Mylk/C3/Etfb/G3bp2/Por/Rtn3/Ghitm/Mtch2/Mdh2/Cat/Gpx4/Aldh2/Aldoa/Sparcl1/Cd36/Ucp2/Col4a1/Gpx3/Aplp2/Apoe/Sod1","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected","Hallmark","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_NO_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",199,-0.599914437154285,-2.94213523217766,1.71116552857939e-26,2.13895691072423e-25,1.80122687218883e-26,4846,"tags=62%, list=24%, signal=47%","Pdap1/Nfyc/Mcm2/Shmt2/Gla/Plod2/Dhcr24/Abcf2/Hmbs/Slc1a4/Gga2/Sc5d/Niban1/Psme3/Ddx39a/Rrm2/Cacybp/Tmem97/Cdkn1a/Atp6v1d/Pitpnb/Tcea1/Tubg1/Nup205/Ykt6/Pno1/Arpc5l/Gapdh/Eif2s2/Gsr/Stip1/Ddit4/Eno1/Tbk1/Sdf2l1/Hspd1/G6pdx/Ufm1/Hmgcr/Hspa9/Map2k3/Psma3/Txnrd1/Nmt1/Skap2/Pgm1/Sqle/Pgk1/Cxcr4/Gmps/Psmc2/Lta4h/Itgb2/Insig1/Psmc4/Serpinh1/Gclc/Uso1/Psmb5/Ero1a/Prdx1/P4ha1/Glrx/Fads2/Psmd13/Add3/Ldlr/Cct6a/Edem1/Ccng1/Igfbp5/Hspe1/Immt/Adipor2/Nampt/Ebp/Eprs/Psma4/Acly/Sec11a/Slc1a5/Ldha/Gpi1/M6pr/Tpi1/Nupr1/Slc9a3r1/Idh1/Cops5/Fgl2/Gsk3b/Rpn1/Hspa4/Ssr1/Slc6a6/Psmd14/Actr3/Scd1/Bhlhe40/Cyb5b/Hprt/Ifi30/Serp1/Fkbp2/Psmc6/Atp2a2/Rab1a/Btg2/Fads1/Coro1a/Scd2/Ppia/Actr2/Cd9/Hspa5/Ctsc/Xbp1/Aldoa/Sqstm1/Canx/Lgmn/Calr/Hsp90b1","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected","Hallmark","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_NO_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",201,-0.589031773971078,-2.88710576224888,3.61087952801653e-25,3.61087952801653e-24,3.04074065517182e-25,3293,"tags=46%, list=16%, signal=39%","Plod3/Sat1/Plod1/Vcam1/Igfbp2/Serpine1/Col6a2/Notch2/Crlf1/Itgav/Fbln1/Cdh11/Bmp1/Loxl1/Sfrp1/Serpinh1/Slc6a8/Capg/Itgb5/Pdgfrb/Timp1/Wipf1/Gadd45b/Emp3/Slit3/Rhob/Htra1/Dab2/Ccn1/Cald1/Fbn1/Tpm4/Efemp2/Fbln5/Pcolce2/Serpine2/Col5a1/Pmp22/Colgalt1/Dcn/Fuca1/Cadm1/Pcolce/Sdc1/Lamc2/Tnc/Tpm2/Ecm1/Cd44/Sdc4/Qsox1/Lamc1/Myl9/Lox/Mmp2/Copa/Postn/Col6a3/Pmepa1/Mylk/Spp1/Flna/Thbs1/Fermt2/Fstl1/Col5a2/Lrp1/Acta2/Tgm2/Jun/Tagln/Ppib/Vegfa/Tpm1/Id2/Timp3/Col4a2/Mmp14/Calu/Igfbp4/Col4a1/Col1a2/Lgals1/Mgp/Itgb1/Eln/Sparc/Col3a1/Fn1/Bgn/Col1a1/Vim","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected","Hallmark","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_NO_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",160,-0.579946681661191,-2.75570603409827,1.88859235688636e-19,1.57382696407197e-18,1.32532796974481e-19,3516,"tags=48%, list=18%, signal=39%","Casp7/Casp4/Hgf/Gsr/Dnm1l/Sat1/Ccnd2/Plat/Hspb1/Diablo/Rela/Dnaja1/Gch1/Cyld/Bnip3l/Rock1/Tnfsf10/Vdac2/Pdgfrb/Timp1/Gadd45b/Bcap31/Rhob/Ppp3r1/H1f0/Ppt1/Btg3/Ebp/Tap1/Hmox1/Bax/Pdcd4/Ier3/Isg20/Dcn/Pea15a/Emp1/Crebbp/Smad7/Krt18/Cav1/Cd44/Lgals3/Bcl10/Bcl2l1/Mmp2/Cdkn1b/Hmgb2/Ifngr1/Nedd9/Tspo/Add1/Irf1/Btg2/Ccnd1/F2r/Gstm2/Jun/Dnajc3/Timp2/Clu/Lmna/Gpx4/Anxa1/Timp3/Gpx1/Gsn/Txnip/Ctnnb1/Mcl1/App/Sqstm1/Gpx3/Sptan1/Sod1/Bgn","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected","Hallmark","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_NO_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",195,-0.54778329704608,-2.67446714380966,2.42786232148947e-19,1.73418737249248e-18,1.46036831367787e-19,4897,"tags=53%, list=25%, signal=40%","Il18bp/Pml/Rapgef6/Rnf213/Nup93/Irf4/Samd9l/Ifitm3/H2-Aa/Ripk1/Nmi/Ptpn2/Il10ra/Tnfaip2/Cdkn1a/Gzma/Herc6/Nod1/Eif2ak2/Ifit2/Lats2/Gbp3/Ifit3/Trim25/Stat2/Casp8/Trim26/Casp7/Casp4/Arid5b/Adar/Isoc1/Vcam1/Rnf31/Ifi35/Il4ra/Cd274/Zbp1/Ptpn6/Ciita/Psma3/Stat1/Irf7/Irf2/Gch1/Jak2/Lap3/H2-Eb1/Helz2/Pde4b/Ifi27/Tnfsf10/Isg15/Rtp4/C1s1/Parp12/Plscr1/Peli1/Psme2/Mvp/Eif4e3/Psmb2/St8sia4/Nampt/Irf9/Socs3/Nfkb1/Tap1/Irf8/Myd88/Psmb9/Ccl5/Parp14/Isg20/Trafd1/Cfh/H2-DMa/Cmklr1/Psma2/Fgl2/Psmb10/Stat3/Lgals3bp/Ifi30/Icam1/Sppl2a/Samhd1/Nfkbia/Btg1/Irf1/Ifnar2/Hif1a/B2m/Psme1/Tapbp/Sri/Psmb8/Serping1/Cd74/Ly6e/Txnip/Vamp8/H2-D1","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected","Hallmark","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_NO_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",199,-0.545027270760628,-2.67295440231268,2.80318154276656e-19,1.7519884642291e-18,1.47535870671924e-19,4816,"tags=49%, list=24%, signal=37%","Synpo/Rapgef6/Sun2/Pcgf5/Ophn1/Plekhg2/Sos1/Bcr/Llgl1/Cdc42ep4/Ckap5/Nck2/Arfip2/Kif3b/Apc/Prex1/Cdk1/Epb41/Itsn1/Cyth2/Mark4/Lats1/Arhgap5/Pcnt/Rasa1/Nin/Cdc42bpa/Arhgap29/Pcm1/Notch2/Cd2ap/Cttn/Cntrl/Wasl/Clip1/Arl8a/Tlk1/Ppp4r2/Map3k11/Rock1/Dock2/Farp1/Septin9/Clasp1/Cdc42ep1/Arfgef1/Lmnb1/Hook3/Pkd2/Arap3/Arhgef2/Fscn1/Kif1b/Ralbp1/Ssh2/Arhgef3/Dlg1/Net1/Dync1h1/Stau1/Numa1/Flnb/Abl1/Pxn/Taok2/Myh10/Vcl/Dock4/Smc1a/Abr/Arhgef12/Pafah1b1/Csnk1d/Palld/Klc1/Akap13/Dynll2/Mid1ip1/Nedd9/Mapre1/Kif5b/Abi1/Flna/Smc3/Epb41l2/Wasf2/Myh9/Arf6/Actn4/Ezr/Gsn/Cdc42/Capzb/Ywhae/Sptan1/Arhgdia/Sptbn1","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected","Hallmark","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_NO_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",96,-0.669648547210996,-2.924800451777,3.79348054881024e-19,2.10748919378347e-18,1.77472774213345e-19,4262,"tags=70%, list=21%, signal=55%","Tpd52/Scamp1/Ica1/Pam/Igf2r/Snap23/Arfip1/Ykt6/Tsg101/Rab5a/Ap3s1/Sec22b/Galc/Dnm1l/Atp6v1h/Bet1/Arfgef2/Stx12/Arfgap3/Rab22a/Rps6ka3/Tmx1/Sgms1/Anp32e/Uso1/Arfgef1/Ergic3/Napa/Yipf6/Vps4b/Kif1b/Ap3b1/Ppt1/Cltc/Cav2/Mapk1/Stx7/Ap1g1/Tspan8/Ap2s1/Mon2/Rer1/Abca1/M6pr/Lman1/Ap2m1/Snx2/Vamp3/Sec31a/Arcn1/Ap2b1/Krt18/Copb2/Rab2a/Adam10/Copb1/Cope/Tmed10/Rab14/Atp1a1/Ctsc/Clta/Cd63/Tmed2/Gnas/Arf1/Sod1","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected","Hallmark","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_NO_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",192,-0.541380012135563,-2.63600446416668,4.57434089662247e-18,2.28717044831123e-17,1.92603827226209e-18,3075,"tags=40%, list=15%, signal=34%","Plat/Plek/Cd55/Usp15/Serpine1/Gmfb/Stx4a/Irf7/Irf2/Jak2/Lap3/Usp14/Msrb1/Lta4h/Vcpip1/Prep/Raf1/Timp1/Dock10/Prcp/Cr1l/C1s1/Plscr1/Src/Fyn/Mmp15/Ehd1/Usp8/Fdx1/Psmb9/Dock9/Ccl5/Xpnpep1/Pdgfb/Ppp2cb/Cpq/Lipa/Dock4/Cfh/Lyn/Cp/Ppp4c/Gnai3/Adam9/Lgals3/Calm3/Dusp6/C1qc/Irf1/Ctsd/C3/Grb2/Ctsb/Spock2/Ctsl/Lrp1/Serping1/Timp2/Gnai2/Clu/Hspa5/Atox1/Ctss/Ctsc/Col4a2/Mmp14/Csrp1/C1qa/Cd36/Lgmn/Gnb2/Anxa5/Ctsh/Pfn1/Calm1/Fn1","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected","Hallmark","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_NO_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
