"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","comparison","database","direction"
"REACTOME_VIRAL_INFECTION_PATHWAYS","REACTOME_VIRAL_INFECTION_PATHWAYS",424,-0.657120325007842,-3.51354406135238,6.67639963486338e-76,6.73648723157715e-73,1.56719696692056e-73,4818,"tags=71%, list=24%, signal=55%","Fut8/Nup93/Sun2/Nelfe/Vhl/Sos1/Tgfb1/Csnk2a2/Snrpd2/Rnps1/Mtor/Arid4b/Cul5/Map3k7/Mapkap1/Ripk1/Pdcd1/Ncbp2/Nmi/Irak2/Cd14/Rb1/Ezh2/Gtf2f1/Gpc4/Impdh2/St6gal1/Fnta/Nod1/Eif2ak2/Taf13/Rps2/Psip1/Sf3a1/Tcea1/Cd79b/Polr2j/Med24/Nup205/Ercc3/Gja1/Psmc3/Tsg101/Ccr5/H4c14/Phf5a/Ccnt1/Rptor/Rab5a/Supt4a/Vps37b/Xpo1/Trim25/Mapre3/Stat2/Cstf3/P4ha2/Il17ra/Mta1/Nedd4l/Nup153/Dhx16/Gtf2b/Cstf2/Igf1r/Snrpa1/Atp6v1h/Pals1/Fxyd1/Ptpn11/Ikbkg/Snrpb2/Polr2g/Akt3/Tbk1/Taf10/Wdr33/Serpine1/Jak1/Chuk/Zbp1/Irak1/Psmd1/Rela/Srsf3/Slc25a4/Itga4/Csnk2b/Ano1/Runx1/Ptpn6/Arid4a/Psma3/Parp9/Eed/Stat1/U2af1/Irf7/Nmt1/Ran/Hnrnpr/Eif4a3/Sf3b3/Cdk7/Jak2/Nelfb/Cxcr4/Pros1/Chmp1a/Atl2/Cdk9/Txnl4a/Rae1/Ipo7/Psmc2/Sp1/Hdlbp/Retreg1/Gtf2h5/Rock1/Isg15/Dock2/Ifngr2/Psmc4/Akt2/Hdac2/Psmb5/Sar1b/P4ha1/Adrm1/Mvb12a/Ssrp1/Rbm5/C1s1/Uba7/Grpel1/Tufm/Sf3a3/Bcap31/Psmd13/Vps4b/Fyn/Banf1/Psmd3/Eif4g3/Eif4e3/Rpl14/Ranbp1/Psmb2/Cltc/Rbbp7/Supt5/Med13l/Polr2a/Dync1h1/Ifnar1/H2-T23/Ap1g1/Nfkb1/Nfe2l2/Ncor2/Snrpg/Psma4/Ywhaq/Psma1/Psmd7/Sec11a/Ap2s1/Ywhag/Cbx1/Nrp1/Ywhah/Trim28/Spcs3/Rps27l/Sdc3/Srsf7/Parp14/Hnrnpa3/Fasn/Polr2e/Nup98/St3gal4/Rpl9/Ap2m1/Agrn/Kpnb1/Comt/Hnrnpc/Lyn/Vps28/Polr2f/Sdc1/Ywhab/Tjp1/Hnrnpd/Psma2/Crebbp/Eif4g2/Slc25a5/Gsk3b/Atp1b3/Ap2b1/Psmd8/Iscu/Rpn1/Rps9/Rpl36/Ostc/Ube2i/Cav1/Psma7/Psmd14/Sdc4/Axl/Rbx1/Bcl2l1/Fkbp4/Snrpd3/Dynll2/Akt1/Galnt1/Rpl6/Tubb5/Ifngr1/G3bp1/Gpc3/Rac1/Srsf2/Rpl34/Eif4e/Hnrnpa1/Dhx15/Fkbp1a/Nfkbia/Psmc6/Rps12/Ptges3/Cul3/Ifnar2/Mgat1/Furin/Npm1/Eif4g1/Grb2/B2m/H2-Q1/Rps6/G3bp2/Pcbp1/Ctsl/Atp1b1/Rtn3/Ncl/Dnajc3/Rpl22/Srsf6/Ppia/Ppib/Srsf1/Eif4a2/Vegfa/Clu/Atp1a1/Psma6/Hspa5/Spcs1/Rps10/Snrpb/Fus/Ywhaz/Ppp1ca/Rpl18/Rps5/Clta/Ly6e/Ywhae/Rps3a1/Skp1/Pabpc1/Hsp90aa1/C1qa/Cnbp/Ctnnb1/Eif4a1/Rps14/Rplp0/Canx/Arf1/Calr/Rps3/Itgb1/Hnrnpu/Hspa8/Rps19/Hnrnpa2b1/H2-D1/Hsp90ab1/Vim","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected","Reactome","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_NO_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"REACTOME_CELLULAR_RESPONSES_TO_STIMULI","REACTOME_CELLULAR_RESPONSES_TO_STIMULI",430,-0.61397235234532,-3.28150701928776,8.15420181143622e-61,4.11379481386957e-58,9.57045791552778e-59,4734,"tags=62%, list=24%, signal=49%","Hspa2/Vhl/Fos/Csnk2a2/Cox7c/Mtor/Sesn1/Mov10/Mapkap1/Abcf2/Hspa13/Gpx7/Gpx8/Rb1/Preb/Ezh2/Cdk6/Prdx3/Cdkn1a/Rad50/Wipi1/Pgd/Tnrc6b/Atp6v1d/Rps2/Itga5/Pdgfa/Gngt2/Ern1/Nup205/Gja1/Psmc3/Mapk9/H4c14/Cox7a2l/Cox7b/Rptor/Eif2ak3/Kdelr3/Exosc5/Xpo1/Pik3cd/Cycs/Asf1a/Gnb4/Exosc7/Tatdn2/Nup153/Lamtor5/Eif2s2/Foxo3/Ube2c/Gsr/Adcy6/Lonp1/Bach1/Hspb8/Atp6v1h/Stip1/Ikbkg/Atp6v1f/Ncoa6/Akt3/Pik3cb/Dnaja4/Hspd1/Tfdp2/Prkaca/G6pdx/Hspb1/Prdx2/Cbx8/Chuk/Phb2/Hspa9/Psmd1/Rela/Blvrb/Trp53/Hsph1/Csnk2b/Dnaja1/Map2k3/Psma3/Eed/Stat1/Txnrd1/Rps6ka3/Itgav/Yif1a/Srprb/Tcirg1/Hspa4l/Arfgap1/Dnajb1/Shc1/Flt4/Klhdc3/Bcl2/Rae1/Psmc2/Helz2/Sp1/Cdkn2c/Acadvl/Psmc4/Akt2/Serpinh1/Prkar2a/Gclc/Atp6v1g1/Psmb5/Ero1a/Dnajb9/Exosc8/Htra2/Prdx1/Lmnb1/Cox6a1/Sod3/Adrm1/Gclm/Tkt/H2az2/Psmd13/Edem1/Fyn/Taldo1/Mef2d/H1f0/Atf5/Cul1/Mapk14/Hmox2/Rps6ka1/Psmd3/Id1/Notch1/Ets2/Rpl14/Hspe1/Psmb2/Rbbp7/Ube2s/Dync1h1/Mapk1/Nfkb1/Nfe2l2/Ncor2/Dctn4/Atf6/Mdm2/Psma4/Psma1/Psmd7/Eif2s1/Atp6v0e/Hmox1/Gfpt1/Cox7a2/Abl1/Cox5b/Egln2/Rps27l/Srpr/Herpud1/Vcl/Nup98/Atp6v0c/Gng12/Rpl9/Idh1/Akt1s1/Sec31a/Atp6v1e1/Atf4/Pecam1/Prdx6/Cox5a/Psma2/Crebbp/Gsk3b/Bag1/Psmd8/Rps9/Hspa4/Ssr1/Rpl36/Cdk4/Psma7/Psmd14/Stat3/Rbx1/Bcl2l1/Fkbp4/Ets1/Dynll2/Akt1/Cdkn1b/Rpl6/Atp6v0b/Cox8a/Serp1/Gng11/Rpl34/Gsta3/Cox6c/Atp6v0d1/Nfkbia/Add1/Psmc6/Spp1/Rps12/Ptges3/Cul3/Hif1a/Rps6/Eif2s3x/Ndufa4/Prdx5/Jun/Cryab/Dnajc3/Rpl22/Capn2/Khsrp/Cat/Vegfa/Lmna/Psma6/Hspa5/Rps10/Atox1/Mmp14/Txn1/Gpx1/Rpl18/Rps5/Calcrl/Capzb/Ywhae/Rps3a1/Skp1/Anxa2/Csrp1/Hsp90aa1/Pdia6/Xbp1/Cox4i1/Txnip/Ctnnb1/Rps14/Rplp0/Sqstm1/Gnas/Gpx3/Gnb2/Calr/Rps3/Itgb1/Hspa8/Rps19/Igfbp7/Sod1/Hsp90b1/Calm1/Fn1/Hsp90ab1","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected","Reactome","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_NO_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"REACTOME_INNATE_IMMUNE_SYSTEM","REACTOME_INNATE_IMMUNE_SYSTEM",478,-0.582680146243439,-3.14240146473091,8.40231950740206e-56,2.82598012765623e-53,6.5744464917567e-54,3340,"tags=45%, list=17%, signal=39%","Atp6v1h/Ptpn11/Ecsit/Ikbkg/Prkce/Cd3g/Fbxw11/Atp6v1f/Ndufc2/Prdx4/Atp6v0a1/Pik3cb/Tbk1/Prkaca/C3ar1/S100a1/Cd55/Fabp5/Pygb/Chuk/Zbp1/Irak1/Psmd1/Rela/Trp53/Gaa/Csnk2b/Rac2/Traf2/Ptpn6/Map2k3/Pygl/Psma3/Irf7/Tnfrsf1b/Rps6ka3/Itgav/Pgm1/Tcirg1/Sirpa/Shc1/Pros1/Gusb/Ilf2/Usp14/Bcl2/Wasl/Cyld/Arl8a/Psmc2/Lta4h/Cdc34/Rock1/Isg15/Dock2/Slpi/Itgb2/Psmc4/Cyfip2/Raf1/Atp6v1g1/Psmb5/Pgam1/Mef2a/Prcp/Cr1l/Adrm1/Aldh3b1/C1s1/Wipf1/Cnn2/Uba7/Psmd13/Gbp2/Rab31/Peli1/Src/Fyn/Stom/Ppp3r1/Cul1/Mvp/Mapk14/Hmox2/Rps6ka1/Psmd3/Dusp3/Ptprc/Psmb2/Dync1h1/H2-T23/Mapk1/Nfkb1/Creg1/Vapa/Psma4/Psma1/Psmd7/Acly/Hras/Myd88/Atp6v0e/Hmox1/Abl1/Ppp2cb/Gpi1/Plac8/Polr2e/Degs1/Vcl/Fuca1/Atp6v0c/Idh1/Kpnb1/Serpina3n/Cfh/Lyn/Polr2f/Atp6v1e1/Pecam1/Prdx6/Psma2/Crebbp/Fgl2/Cab39/Cd47/Psmd8/B4galt1/Psma7/Cd44/Psmd14/Lgals3/Bcl10/Qsox1/Bcl2l1/Actr3/Calm3/Muc1/Dusp6/Ckap4/Srp14/Tubb5/Atp6v0b/Adam10/Icam2/Rac1/Copb1/Abi1/Atp6v0d1/Actb/Nfkbia/Gm2a/Psmc6/Ctsz/C1qc/Ctsd/C3/Grb2/B2m/Ctsb/Wasf2/Myh9/Ctsl/Myo1c/Cap1/Cct2/Serping1/Sdcbp/Jun/Dnajc3/Timp2/Rab14/Ppia/Pkm/Cat/Clu/Actr2/Huwe1/Psma6/Cd81/Mgst1/Arpc3/Atox1/Jup/Ctss/Ctsc/Txn1/Gsn/Cdc42/Arpc2/Cyb5r3/Skp1/Cd63/Anxa2/Hsp90aa1/Aldoa/C1qa/Txnip/Cd36/Ctnnb1/Actg1/App/Vamp8/Lgmn/Ftl1/Sptan1/Hspa8/S100a11/Rhoa/Ctsh/Cfl1/Hsp90b1/Eef2/Ager/Calm1/H2-D1/Hsp90ab1","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected","Reactome","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_NO_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"REACTOME_ADAPTIVE_IMMUNE_SYSTEM","REACTOME_ADAPTIVE_IMMUNE_SYSTEM",357,-0.600249402092597,-3.16257829238745,1.15397448076207e-46,2.91090062772233e-44,6.77200813710374e-45,3454,"tags=47%, list=17%, signal=39%","Ube2c/Plcg1/Itgal/Mkrn1/Ptpn11/Ikbkg/Cd3g/Fbxw11/Akt3/Tcf7/Vcam1/Pik3cb/Prkaca/Rnf19a/S100a1/Jak1/Cd274/Chuk/Psmd1/Rela/Itga4/Csnk2b/Ptpn6/Psma3/Stx4a/Eed/Stat1/Fbxo9/Itgav/Fbxo6/Rchy1/Csk/Psmc2/H2-Eb1/Cdc34/Itgb2/Psmc4/Akt2/Raf1/Nectin2/Psmb5/Itgb5/Sar1b/Ago2/Cd3e/H2-DMb1/Adrm1/Uba7/Ifitm1/Fcgr2b/H2az2/Bcap31/Psmd13/Src/Fyn/Ppp3r1/Cul1/Psme2/Psmd3/Ptprc/Psmb2/Cltc/Rbbp7/Ube2s/Dync1h1/H2-T23/Socs3/Ap1g1/Nfkb1/Nfe2l2/Dctn4/Tap1/Psma4/Psma1/Psmd7/Hras/Myd88/Psmb9/Wwp1/Ap2s1/Ywhag/Pten/Ppp2cb/Ap2m1/Sec61a1/Vamp3/Xdh/Smurf2/Cops5/H2-DMa/Lyn/Sec31a/Ywhab/Psma2/Crebbp/Gsk3b/Ap2b1/Psmd8/Rpn1/Spop/Cdk4/Ostc/Psma7/Psmb10/Psmd14/Stat3/Rbx1/Bcl10/Klc1/Dynll2/Akt1/Tap2/Ifi30/Icam1/Icam2/Rac1/Kif5b/Vasp/Fkbp1a/Nfkbia/Psmc6/Cul3/Irf1/Ctsd/Hif1a/C3/Grb2/B2m/H2-Q1/Ctsb/Psme1/Ccnd1/Tapbp/Ctsl/Psmb8/Jun/Ppia/Cd34/Huwe1/Cdh1/Psma6/Hspa5/Cd81/Ctss/Ctsc/Ywhaz/Nedd4/H2-Ea/Cdc42/Cd74/Clta/Capzb/Skp1/Cd36/Ctnnb1/Vamp8/Canx/Lgmn/Arf1/Col1a2/Calr/Itgb1/Ctsh/Calm1/Col3a1/H2-D1/Col1a1","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected","Reactome","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_NO_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"REACTOME_NERVOUS_SYSTEM_DEVELOPMENT","REACTOME_NERVOUS_SYSTEM_DEVELOPMENT",255,-0.641266754974246,-3.24521394459674,1.98729409980888e-42,4.01035949341432e-40,9.32982282647116e-41,3124,"tags=52%, list=16%, signal=45%","Pik3cb/Rasa1/Nab2/Prkaca/Hmgcr/Col6a2/Psmd1/Numb/Csnk2b/Fes/Fgfr1/Myh11/Psma3/Rps6ka3/Itgav/Eif4a3/Cxcr4/Shc1/Wasl/Psmc2/Rock1/Psmc4/Hdac2/Prkar2a/Psmb5/Clasp1/Ephb4/Adrm1/Efna1/Col6a1/Psmd13/Slit3/Rhob/Src/Fyn/Rras/Rps6ka1/Psmd3/Nrp2/Rpl14/Prnp/Ptprc/Dlg1/Psmb2/St8sia4/Cltc/Mapk1/Psma4/Psma1/Psmd7/Hras/Abl1/Ablim1/Ap2s1/Nrp1/Col5a1/Rps27l/Psenen/Pmp22/Myh10/Rpl9/Ap2m1/Agrn/Arhgef12/Lyn/Psma2/Ldb1/Gsk3b/Ap2b1/Psmd8/Srebf2/Rps9/Rpl36/Psma7/Psmd14/Rbx1/Actr3/Lamc1/Myl9/Aph1a/Mmp2/Cltb/Rpl6/Adam10/Col6a3/Rac1/Myl12b/Rpl34/Vasp/Actb/Psmc6/Rps12/Eif4g1/Grb2/Rps6/Myh9/Col5a2/Cap1/Sdcbp/Rpl22/Alcam/Actr2/Psma6/Arpc3/Rps10/Ezr/Col4a2/Rpl18/Rps5/Cdc42/Clta/Arpc2/Rps3a1/Pabpc1/Hsp90aa1/Actg1/Rps14/Rplp0/Col4a1/Dpysl2/Myl12a/Sptan1/Rps3/Itgb1/Hspa8/Rhoa/Rps19/Pfn1/Sptbn1/Cfl1/Col3a1/Msn/Hsp90ab1","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected","Reactome","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_NO_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"REACTOME_METABOLISM_OF_RNA","REACTOME_METABOLISM_OF_RNA",225,-0.655270298397626,-3.27586061332604,1.53197035470619e-40,2.20822583985506e-38,5.13728404660871e-39,4139,"tags=65%, list=21%, signal=52%","Lsm1/Polr2d/Ythdc1/Tbrg4/Nhp2/Xpot/Polr2c/Gnl3/Nop14/Nup93/Cdkal1/Snrpd2/Rnps1/Ncbp2/Pan2/Ddx39a/Gtf2f1/Mtrex/Slbp/Rps2/Sf3a1/Polr2j/Nup205/Ercc3/Psmc3/Phf5a/Edc4/Pno1/Exosc5/Tra2b/Xpo1/Cstf3/Ttc37/Prpf4b/Exosc7/Nup153/Lsm2/Dhx16/Cstf2/Clns1a/Snrpa1/Adar/Snrpb2/Polr2g/Nxf1/Upf1/Nop56/Cnot9/Wdr33/Zfp36l1/Hspb1/Psmd1/Srsf3/Psma3/U2af1/Ran/Hnrnpr/Eif4a3/Sf3b3/Cdk7/Txnl4a/Rae1/Dcps/Psmc2/Csnk1e/Gtf2h5/Zfp36/Psmc4/Psmb5/Exosc8/Riok3/Lsm4/Adrm1/Rbm5/Sf3a3/Psmd13/Cnot6/Cnot2/Mapk14/Psmd3/Hsd17b10/Rpl14/Psmb2/Supt5/Polr2a/Snrpg/Eprs/Psma4/Psma1/Psmd7/Paip1/Rps27l/Srsf7/Hnrnpa3/Polr2e/Nup98/Rpl9/Hnrnpc/Luc7l3/Polr2f/Ywhab/Hnrnpd/Psma2/Imp3/Psmd8/Rps9/Csnk1d/Rpl36/Psma7/Psmd14/Snrpd3/Akt1/Rpl6/Srsf2/Rpl34/Eif4e/Hnrnpa1/Dhx15/Psmc6/Rps12/Eif4g1/Rps6/Pcbp1/Ncl/Rpl22/Srsf6/Khsrp/Srsf1/Eif4a2/Psma6/Rps10/Snrpb/Fus/Ywhaz/Ppp1ca/Rpl18/Rps5/Rps3a1/Pabpc1/Eif4a1/Rps14/Rplp0/Rps3/Hnrnpu/Hspa8/Rps19/Hnrnpa2b1","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected","Reactome","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_NO_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION","REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION",453,-0.540127275315763,-2.90133195364445,1.38006633867519e-40,2.20822583985506e-38,5.13728404660871e-39,4323,"tags=48%, list=22%, signal=39%","Jmjd6/Copz2/Usp16/Cdkn1a/Tgfbr1/St6gal1/Nod1/Eif2ak2/Rps2/Gne/Nfkb2/Nagk/Apc/Nup205/Ykt6/Psmc3/H4c14/Cdk1/Vdac1/Rab5a/Kdelr3/Socs2/Trim25/Foxo4/Sec22b/Cetn2/Usp12/Cul4a/Gmppa/Mta1/Nup153/Ube2c/Gmppb/Cish/Pmm2/Ikbkg/Fbxw11/Uba2/Bet1/Axin1/Taf10/Tnip1/Dlat/Rad21/Dnmt1/Cd55/Cbx8/Rad23a/Usp15/Pias2/Ide/Psmd1/Rela/Trp53/Marchf6/Smc6/Nub1/Arfgap3/Rab22a/Traf2/Psma3/Hipk2/Selenos/Fbxo9/Fbxo6/Arfgap1/Pros1/Usp14/Cyld/Rae1/Psmd9/Psmc2/Dcaf11/Vcpip1/Cdc34/Ndufab1/Stx5a/Vdac2/Stag1/Psmc4/Rad23b/Pias1/Hdac2/Uso1/Psmb5/Timp1/Sar1b/Napa/Adrm1/Arrb2/Psmd13/Rab31/Arf4/Edem1/Ccn1/Cul1/Psme2/Cbx5/Psmd3/Vdac3/Dlst/Hk1/Igfbp5/Psmb2/St8sia4/Usp8/Rbbp7/Ube2s/Dync1h1/Socs3/Nfe2l2/Ncor2/Dctn4/Mdm2/Fbn1/Fdx1/Psma4/Psma1/Psmd7/Psmb9/Gfpt1/Pten/Trim28/Lman1/Nup98/St3gal4/Fuca1/Smc1a/Hnrnpc/Smurf2/Cops5/Sec31a/Cp/Psma2/Crebbp/Arcn1/Tnc/Smad7/Psmd8/Rpn1/Csnk1d/Ctbp1/Ostc/Ube2i/B4galt1/Psma7/Psmb10/Psmd14/Copb2/Rbx1/Bcl10/Qsox1/Lamc1/Rab2a/Dynll2/Muc1/Galnt1/Copa/Arrb1/Pcna/Ckap4/Adam10/Gpc3/Copb1/Actb/Nfkbia/Amfr/Psmc6/Spp1/Ctsz/Cul3/Smc3/Thbs1/Mgat1/Rab1a/Furin/Npm1/Hif1a/C3/Fstl1/Etfb/Psme1/Rps6/Cope/Tmed10/Trf/Psmb8/Dnajc3/Rab14/Tgfbr2/Psma6/Ctsc/Spon1/Calu/Ly6e/Capzb/Skp1/Pdia6/Tmed2/Sparcl1/Igfbp4/Ddb1/App/Sqstm1/Canx/Arf1/Calr/Sptan1/Aplp2/Lgals1/Hspa8/Rhoa/Apoe/Sptbn1/Igfbp7/Hsp90b1/Eef2/Calm1/Fn1","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected","Reactome","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_NO_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3","REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3",279,-0.615119668266376,-3.13879825913887,6.35420168098692e-40,8.01423687014476e-38,1.86445654586853e-38,2819,"tags=43%, list=14%, signal=37%","Trip10/Picalm/Arfgap3/Rac2/Myh11/Ndufs3/Cttn/Flot2/Dvl2/Wasl/Clip1/Csk/Map3k11/Rock1/Dock2/Stx5a/Farp1/Cyfip2/Clasp1/Cdc42ep1/Dock10/Lmnb1/Daam1/Wipf1/Arap3/Lbr/Ndufa5/H2az2/Bcap31/Add3/Arhgef2/Cct6a/Rhob/Src/Stom/Mapk14/Hmox2/C1qbp/Ralbp1/Cct7/Arhgef3/Abcd3/Hspe1/Net1/Cltc/Dync1h1/Mapk1/Ywhaq/Tpm4/Aldh3a2/Bub3/Dock9/Abl1/Ywhag/Slc1a5/Ywhah/Ppp2cb/Tmpo/Myh10/Esyt1/Lman1/Nup98/Vamp3/Dock4/Hnrnpc/Abr/Arhgef12/Tax1bp3/Ywhab/Pafah1b1/Cav1/Actr3/Klc1/Myl9/Akap13/Dynll2/Cdc42se2/Cdkn1b/Ckap4/Rac1/Myl12b/Mapre1/Kif5b/Cavin1/Abi1/Actb/Mylk/Cul3/Flna/Fermt2/Atp6ap1/Grb2/Tpm3/Wasf2/Myh9/Cct2/Actr2/Cdh1/Arpc3/Jup/Ywhaz/Cdc42/Arpc2/Capzb/Ywhae/Ctnna1/Hsp90aa1/Ctnnb1/Actn1/Actg1/Sptan1/Itgb1/Arhgdia/Rhoa/Pfn1/Sptbn1/Cfl1/Calm1/Hsp90ab1/Vim","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected","Reactome","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_NO_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM","REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM",455,-0.538756378801092,-2.89289285652646,8.94586246266356e-40,1.00293058053639e-37,2.33324833821517e-38,4215,"tags=49%, list=21%, signal=40%","Fnta/Il18r1/Fgf2/Nod1/Eif2ak2/Il13ra1/Ifit2/Relb/Nfkb2/Nup205/Psmc3/Mapk9/Ccr5/Stx3/Rala/Gbp3/Ccr2/Cdk1/Ifit3/Eif2ak3/Pik3cd/Socs2/Trim25/Ip6k2/Stat2/Il17ra/Casp8/Trim26/Nup153/Eif2s2/Foxo3/Plcg1/Foxo1/Hgf/Snrpa1/Cish/Ptpn11/Adar/Flt3l/Ikbkg/Fbxw11/Akt3/Vcam1/Osmr/Pik3cb/Tbk1/Ifi35/Il4ra/Prkaca/Cbl/Jak1/Chuk/Hspa9/Irak1/Psmd1/Rela/Trp53/Crlf1/Traf2/Ptpn6/Ciita/Map2k3/Ppm1b/Psma3/Stx4a/Stat1/Irf7/Irf2/Tnfrsf1b/Rps6ka3/Ltb/Eif4a3/Jak2/Ptpn14/Shc1/Ilf2/Ilf3/Usp14/Bcl2/Rae1/Csk/Psmc2/H2-Eb1/Ifi27/Isg15/Itgb2/Ifngr2/Psmc4/Akt2/Pias1/Raf1/Lifr/Psmb5/Timp1/Mef2a/Lmnb1/Adrm1/Cntfr/Cnn2/Uba7/Ifitm1/Il2rg/Psmd13/Gbp2/Fscn1/Peli1/Src/Fyn/Maoa/Taldo1/Cul1/Psme2/Mapk14/Rps6ka1/Psmd3/Eif4g3/Eif4e3/Dusp3/Psmb2/Irf9/Ifnar1/H2-T23/Mapk1/Socs3/Adam17/Nfkb1/Atf6/Abce1/Irf8/Psma4/Flnb/Psma1/Psmd7/Eif2s1/Hras/Myd88/Hmox1/Ccl5/Pdcd4/Ppp2cb/Il10rb/Isg20/Nup98/Gsto1/Kpnb1/Lyn/Sdc1/Psma2/Eif4g2/Smad7/Psmd8/Ube2i/Psma7/Cd44/Psmd14/Stat3/Rbx1/Bcl2l1/Mmp2/Tnfrsf1a/Muc1/Akt1/Cdkn1b/Dusp6/Ifi30/Icam1/Tcp1/Ifngr1/Eif4e/Samhd1/Actb/Nfkbia/Psmc6/Irf1/Flna/Ifnar2/Furin/Npm1/Hif1a/Eif4g1/Grb2/B2m/H2-Q1/Ccnd1/Eif2s3x/Psmb8/Jun/Dnajc3/Ppia/Junb/Il6st/Eif4a2/Vegfa/Psma6/Hspa5/Anxa1/Ywhaz/Lcp1/Nedd4/H2-Ea/Cdc42/Skp1/Anxa2/Hsp90aa1/Cd36/Actg1/Mcl1/App/Eif4a1/Rplp0/Sqstm1/Canx/Arf1/Col1a2/Itgb1/Hspa8/Sod1/Cfl1/Hsp90b1/Hnrnpa2b1/Ager/Fn1/H2-D1/Msn/Vim","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected","Reactome","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_NO_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"REACTOME_VESICLE_MEDIATED_TRANSPORT","REACTOME_VESICLE_MEDIATED_TRANSPORT",242,-0.639050132910324,-3.21773981420323,1.03965020894807e-39,1.04900706082861e-37,2.44044206942548e-38,2819,"tags=48%, list=14%, signal=42%","Trip10/Picalm/Hsph1/Arfgap3/Fzd4/Stx4a/Cttn/Arfgap1/Dvl2/Wasl/Denn2b/Stab1/Hbegf/Stx5a/Agfg1/Akt2/Uso1/Prdx1/Sar1b/Napa/Yipf6/Mvb12a/Grk2/Arrb2/Ubqln1/Rab31/Ldlr/Arf4/Vps4b/Src/Kif1b/Dab2/Ap3b1/Gapvd1/Cltc/Dennd5a/Dync1h1/Scarb1/Ap1g1/Dctn4/Tsc2/Ywhaq/Ap2s1/Ywhag/Ywhah/Exoc4/M6pr/Lman1/Ap2m1/Snx2/Vamp3/Cops5/Vps28/Sec31a/Gabarapl2/Ywhab/Tjp1/Arcn1/Pafah1b1/Ap2b1/Csnk1d/Copb2/Actr3/Klc1/Dynll2/Cltb/Akt1/Galnt1/Copa/Arrb1/Naa38/Agpat3/Rac1/Kif5b/Copb1/Actb/Ctsz/Rab1a/Grb2/Myh9/Cope/Tmed10/Myo1c/Lrp1/Arf6/Trf/Rab14/Actr2/Arpc3/Ctsc/Ywhaz/Col4a2/Clta/Arpc2/Capzb/Ywhae/Hsp90aa1/Tmed2/Cd36/Actg1/App/Col4a1/Vamp8/Arf1/Col1a2/Ftl1/Calr/Sptan1/Hspa8/Sparc/Apoe/Sptbn1/Hsp90b1/Calm1/Col3a1/Col1a1","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected","Reactome","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_NO_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
