"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","change"
-4.66109734731966,8.77217973370133,-11.4460910912427,2.24881797022569e-19,1.49643843798718e-15,33.5285720495668,"Hsp90ab1","Higher in Adult_Reinfected"
-4.79677672488124,9.44488727889038,-11.5151733427936,1.61979929156783e-19,1.49643843798718e-15,33.8475020142129,"Tpt1","Higher in Adult_Reinfected"
-4.93858294267496,8.49248541092252,-11.4692953932427,2.0140642429085e-19,1.49643843798718e-15,33.6357447534739,"Vim","Higher in Adult_Reinfected"
-5.39441471633409,10.6929555542224,-11.2079956752327,6.98704820133077e-19,3.48706108107915e-15,32.4262863851281,"Tmsb4x","Higher in Adult_Reinfected"
-4.95806320877721,9.31411274364639,-11.0851555935039,1.2560685360733e-18,5.01497923712625e-15,31.8558130003235,"Fth1","Higher in Adult_Reinfected"
-4.59544278397921,9.73728423393243,-10.9839134299564,2.03839444067587e-18,6.7820780365354e-15,31.3847870139159,"H2-D1","Higher in Adult_Reinfected"
3.84675206460493,6.74450972477826,10.7777118910451,5.47582519958905e-18,1.56162712084852e-14,30.4232018923867,"Vmn1r100","Higher in Neonate_Reinfected_NO_IFN"
-3.9050971752682,7.09956707713652,-10.6816628445413,8.68429616019566e-18,2.16705755307482e-14,29.974335003447,"Lgals1","Higher in Adult_Reinfected"
-4.65784137549141,8.43576680510622,-10.5326128599851,1.77819099437541e-17,3.22709334733784e-14,29.2766700588329,"Msn","Higher in Adult_Reinfected"
-4.12536702755395,7.34444247941753,-10.5372457370292,1.73898754242515e-17,3.22709334733784e-14,29.2983746746204,"Rack1","Higher in Adult_Reinfected"
-4.148700262874,7.64430169772388,-10.5499142380462,1.63615278761969e-17,3.22709334733784e-14,29.3577193319198,"Serf2","Higher in Adult_Reinfected"
-4.36912417708099,8.2969372930822,-10.4939203015476,2.14218846393688e-17,3.54621980160821e-14,29.0953525144866,"Calm1","Higher in Adult_Reinfected"
-4.09061699402305,7.6068781160603,-10.477472889937,2.3187159929248e-17,3.54621980160821e-14,29.0182534224124,"Gm6570","Higher in Adult_Reinfected"
-4.07767557871612,8.31145724848891,-10.4629262540081,2.48695472737139e-17,3.54621980160821e-14,28.9500523407332,"Rps19","Higher in Adult_Reinfected"
-4.15710795155715,8.96557522411922,-10.4276532095059,2.94747490577724e-17,3.9226961029354e-14,28.7846303063539,"Cfl1","Higher in Adult_Reinfected"
-3.94718144213381,7.65052448852418,-10.356572724262,4.15153384916686e-17,3.94652715385324e-14,28.451086704735,"Hnrnpu","Higher in Adult_Reinfected"
-4.23261617990145,8.4280739361089,-10.3698795076163,3.89360926818666e-17,3.94652715385324e-14,28.5135476731925,"Hsp90b1","Higher in Adult_Reinfected"
-3.8225267598395,7.50216248862047,-10.3645262751188,3.99538220629936e-17,3.94652715385324e-14,28.4884210755544,"Rpl12","Higher in Adult_Reinfected"
-3.80145422008185,8.64402089958232,-10.3869505536635,3.58608959454244e-17,3.94652715385324e-14,28.5936649902367,"Rps24","Higher in Adult_Reinfected"
-4.64164169576945,11.7163224439435,-10.3921985948378,3.49653325709099e-17,3.94652715385324e-14,28.6182920196523,"Ubb","Higher in Adult_Reinfected"
-4.12805908673986,8.84788426051041,-10.3672278914273,3.9436916138383e-17,3.94652715385324e-14,28.5011018939687,"Apoe","Higher in Adult_Reinfected"
-3.96435373469644,8.62624635056414,-10.2932084093148,5.63508361297657e-17,4.93115055076849e-14,28.1535429406042,"Fau","Higher in Adult_Reinfected"
