"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","comparison","database","direction"
"GOBP_ENDOMEMBRANE_SYSTEM_ORGANIZATION","GOBP_ENDOMEMBRANE_SYSTEM_ORGANIZATION",173,-0.580966942607238,-3.4286205044018,1.72500260043082e-31,5.54415835778465e-28,2.25158234161496e-28,3139,"tags=53%, list=16%, signal=45%","Snx10/Atp6v1f/Syngr2/Atp6v1h/Rab22a/Cdk1/Ndrg1/Stx4a/Hook3/Casp7/Eif2ak3/Chmp1a/Ugcg/Dnm1l/Vcpip1/Agfg1/Clasp1/Retreg1/Stx5a/Arfgef1/Vps4b/Mapk1/Vdac2/Uso1/Akt2/Ap1g1/Cr1l/Ap3b1/Csnk1d/Plscr1/Col5a1/Mvb12a/Stk25/Bet1/Sec31a/Col6a1/Serpine2/Nectin2/Abca1/Ube2i/Myh10/Pten/Lman1/Rab1a/Esyt1/Cavin2/Des/Snx2/Banf1/Vapa/Cav1/Degs1/Vps28/Usp8/Akt1/Serp1/Lmnb1/Pafah1b1/Rab2a/Atp6v0b/Dmpk/Reep5/F2r/Atp6v0c/Tardbp/Sec61a1/Ptprc/Slc9a3r1/Atp6ap1/Arl6ip1/Rtn3/Emp2/Huwe1/Myh9/Srgn/Cd9/Tmed10/Cdc42/S100a10/Gsn/Anxa2/Atp2a2/Plec/Ywhaz/Ahnak/Lmna/Tmed2/Sqstm1/Sod1/Sptbn1/Clu","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","GO_BP","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"GOBP_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS","GOBP_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS",168,-0.58161300484426,-3.46785611018758,8.86951042700347e-30,1.42533032561946e-26,5.78852259446542e-27,2703,"tags=47%, list=14%, signal=41%","Pink1/Tmx1/Prkaca/Psme3/Rock1/Trib1/Gclc/Rchy1/Psmc4/Psmc2/Stx5a/Pias1/Ubqln1/Psma4/Sf3b3/Psmb5/Usp14/Psmd13/Adrm1/Fyn/Herpud1/Csnk1d/Psme2/Nupr1/Psma7/Psmd1/Tnfrsf1b/Dab2/Ide/Psmb2/Mdm2/Ier3/Serpine2/Psmd3/Psmd7/Timp1/Gsk3b/Nfe2l2/Egln2/Gabarapl2/Bcap31/Psma1/Cdkn1b/Psmd8/Cav1/Vps28/Psmc6/Psma2/Usp8/Akt1/Cebpa/Gpc3/Lrp1/Psmd14/Smad7/Trf/Rbx1/Timp3/Adam9/Timp2/Nedd4/Flna/Furin/Cdh1/Psme1/Psma6/App/Gpx1/Ezr/Anxa2/Cd81/Ddb1/Xbp1/Hsp90aa1/Clu/Rack1/Hsp90ab1/Msn/Apoe","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","GO_BP","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"GOBP_PROTON_TRANSMEMBRANE_TRANSPORT","GOBP_PROTON_TRANSMEMBRANE_TRANSPORT",95,-0.667142941118791,-3.56835996584896,3.4522091494657e-24,3.69846673546092e-21,1.50201380538157e-21,2209,"tags=59%, list=11%, signal=53%","Ndufs7/Ndufa3/Ndufa5/Ndufv2/Tcirg1/Ndufb2/Slc11a2/Atp6v1g1/Ndufs4/Ndufs3/Ndufb4/Ndufs1/Ndufb1/Cox5b/Cyc1/Ndufa2/Atp6v1e1/Atp6v0d1/Ndufv3/Ndufa9/Atp5g2/Atp6v0e/Atp5j/Ndufc1/Ndufb5/Ndufb8/Atp5h/Atp6v0b/Slc25a5/Uqcrfs1/Ndufa6/Ndufs2/Atp6v0c/Ndufs6/Atp5pb/Cox5a/Ndufa7/Atp6ap1/Uqcrc1/Atp1b1/Atp5k/Ndufa1/Ndufa4/Cox8a/Atp5d/Atp5j2/Atp1a1/Ghitm/Atp5e/Slc25a3/Uqcrh/Cox4i1/Ucp2/Atp5g3/Atp5a1/Atp5b","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","GO_BP","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"GOBP_VIRAL_PROCESS","GOBP_VIRAL_PROCESS",167,-0.534263850424568,-3.18422580321529,8.28668837545595e-24,6.65835410967886e-21,2.70407725935931e-21,3040,"tags=50%, list=15%, signal=43%","Zfp36/Cdk1/Gtf2b/Ch25h/Smc6/Npc1/Fut8/Notch1/Chmp1a/Eif2ak2/Trp53/Ilf3/Src/St6gal1/Adar/Stat1/Nrp1/Tnip1/Nup153/Parp9/Itgav/Cd55/Ccr5/Vps4b/Hexim1/Eif3d/Stom/Stau1/Itgb5/Cr1l/Trim28/Plscr1/Mvb12a/Grk2/Irf7/Slpi/Ide/Wwp1/Ran/Nectin2/Scarb1/Gsk3b/Isg15/Ifitm1/Myh10/Ctbp1/Rab1a/Axl/Banf1/Vapa/Cav1/Ccl5/Spcs3/Vps28/St3gal4/Isg20/Slc1a5/Jun/Ssb/Dek/Icam1/Eif3b/Galnt1/Pcbp1/Myh9/Ctsl/Nedd4/Mgat1/Eif3a/Furin/Spcs1/Ppia/Slc3a2/Cd81/Ctsb/Ddb1/Bsg/Pabpc1/Vamp8/Canx/Itgb1/Lgals1/Hsp90ab1/Apoe","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","GO_BP","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"GOBP_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY","GOBP_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY",176,-0.512164143568105,-2.93186044555681,2.55998375608863e-23,1.64555755841377e-20,6.68290496326295e-21,2821,"tags=47%, list=14%, signal=41%","Ckap5/Dr1/Flii/Arpc5l/Pink1/Mark4/Svil/Eif2ak2/Trp53/Src/Hcls1/Fes/Clasp1/Ralb/Hax1/Fscn1/Mapre3/Dnajc15/Traf2/Arfgef1/Cdc42ep1/Napa/Abl1/Gapdh/Ssh2/Plek/Numa1/Ppp2cb/Dut/Bak1/Myd88/Capg/Raf1/Sar1b/Cyfip2/Dlg1/Cttn/Gsk3b/Nek7/Abca1/Isg15/Cdkn1b/Gbp2/Mapre1/Bax/Stmn1/Psmc6/Syncrip/Eprs/Cryab/Hes1/Fkbp4/Fermt2/Rac1/Add1/Abca3/Vegfa/Grb2/Arf6/Lgals3/Vasp/Eif4g1/Cd36/Cdc42/Arpc3/Gsn/Hspa5/Coro1a/Hspa8/Capzb/Rhoa/Arpc2/Sptan1/Hsp90aa1/Eln/Pfn1/Sptbn1/Cfl1/Rps3/Clu/Rack1/Msn/Apoe","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","GO_BP","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"GOBP_CYTOPLASMIC_TRANSLATION","GOBP_CYTOPLASMIC_TRANSLATION",56,-0.781861859473704,-3.78789554647507,4.27779648506394e-23,2.03577396783152e-20,8.26764392660754e-21,1989,"tags=62%, list=10%, signal=56%","Gapdh/Akt2/Eif3d/Paip1/Rpl36/Rpl9/Hnrnpd/Syncrip/Eprs/Rps9/Rpl34/Eif3b/Rpl6/Rpl22/Eif4g1/Eif3a/Eif4a2/Rps6/Eif2s3x/Rps12/Pkm/Rpl18/Rps3a1/Rps10/Cnbp/Eif4a1/Rps5/Pabpc1/Hnrnpu/Rps14/Rplp0/Eef2/Rps19/Rps3/Rack1","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","GO_BP","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"GOBP_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION","GOBP_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION",167,-0.527739979884506,-3.1453433729442,5.06726563243688e-23,2.03577396783152e-20,8.26764392660754e-21,2821,"tags=43%, list=14%, signal=37%","Ckap5/Flii/Arpc5l/Arfip1/Svil/Rock1/Arhgef2/Nrp1/Vbp1/Hcls1/Tjp1/Fes/Clasp1/Hax1/Mapre3/Arfgef1/Cdc42ep1/Sorbs3/Abl1/Ssh2/Rnh1/Plek/Tgfb3/Numa1/Ppp2cb/Mid1ip1/Capg/Cyfip2/Dlg1/Cttn/Akap13/Cdkn1b/Sdc4/Cd47/Mapre1/Stmn1/Pxn/Cryab/Usp8/Fkbp4/Wasf2/Sfrp1/Fermt2/Rac1/Add1/Wdr1/Grb2/Arf6/Vasp/Flna/Cdc42/S100a10/Arpc3/Gsn/App/Coro1a/Gpx1/Hspa8/Arf1/Actg1/Capzb/Rhoa/Tpm1/Arpc2/Sptan1/Eln/Pfn1/Sptbn1/Cfl1/Rps3/Clu/Apoe","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","GO_BP","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"GOBP_PROTEIN_LOCALIZATION_TO_NUCLEUS","GOBP_PROTEIN_LOCALIZATION_TO_NUCLEUS",141,-0.560292223609354,-3.0693899142515,4.71500434034826e-23,2.03577396783152e-20,8.26764392660754e-21,3588,"tags=52%, list=18%, signal=43%","Phb2/Xpo1/Nupl1/Mtor/Syne1/Rap1gds1/Ufm1/Hhex/Tsc2/Jak1/Ect2/Jak2/Cdk1/Ppp3r1/Ei24/Notch1/Eif2ak3/Src/Adar/Hcls1/Nup153/Parp9/Ipo7/Mapk14/Cd2ap/Cct6a/Ipo4/Fyn/Trim28/Ywhab/Mark3/Crebbp/Mdm2/Ran/Gsk3b/Cct7/Cct4/Gusb/Nup98/Gbp2/Cct5/Akt1/Lmnb1/Fermt2/Tcp1/Nfkbia/Cct3/Tardbp/Jup/Cct2/Flna/Stat3/Npm1/Kpnb1/Cd36/Glul/Cdh1/Srsf1/Skp1/Ctnna1/App/Txnip/Ywhaz/Ywhae/Lmna/Xbp1/Cldn18/Sqstm1/Hsp90aa1/Hnrnpu/Calr/Cfl1/Col1a1","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","GO_BP","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"GOBP_OXIDATIVE_PHOSPHORYLATION","GOBP_OXIDATIVE_PHOSPHORYLATION",93,-0.653602772031587,-3.49916130341118,6.28376713684269e-23,2.24400306420138e-20,9.11329970723385e-21,3024,"tags=69%, list=15%, signal=59%","Ndufc2/Sdhc/Cycs/Cdk1/Sdhb/Atp5c1/Ndufb3/Pink1/Ndufab1/Slc25a23/Msh2/Dnajc15/Dld/Ndufs7/Ndufa3/Ndufa5/Ndufv2/Ndufb2/Cox6a1/Uqcrc2/Ndufs4/Ndufs3/Uqcrb/Ndufb4/Nupr1/Ndufs1/Ndufb1/Cox5b/Cyc1/Sdha/Ndufa2/Cox7a2/Ndufv3/Ndufa9/Atp5j/Ndufc1/Uqcr11/Ndufb5/Ndufb8/Atp5h/Cox6c/Uqcrfs1/Ndufa6/Ndufs2/Ndufs6/Atp5pb/Cox5a/Ndufa7/Iscu/Uqcrc1/Atp5k/Ndufa1/Ndufa4/Cox8a/Atp5d/Atp5j2/Ghitm/Atp5e/Uqcrh/Cox4i1/Mtch2/Rhoa/Atp5a1/Atp5b","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","GO_BP","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"GOBP_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS","GOBP_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS",163,-0.519932400609055,-3.13022044761035,1.01301222949784e-22,3.25582130560607e-20,1.32224754166034e-20,2785,"tags=46%, list=14%, signal=40%","Sdhb/Atp5c1/Ndufb3/Pink1/Ndufab1/Dnm1l/Prkaca/Eno1/Nme1/Ndufs7/Ndufa3/Ndufa5/Guk1/Ndufv2/Ndufb2/Ctps/Gapdh/Ndufs4/Ndufs3/Ndufb4/Smpdl3a/Dut/Nupr1/Ndufs1/Tpi1/Pgk1/Hk1/Ndufb1/Col6a1/Ier3/Ran/Sdha/Ndufa2/Pgam1/Ndufv3/Ldha/Ndufa9/Atp5g2/Gpi1/Ak1/Atp5j/Ndufc1/Ndufb5/Ndufb8/Atp5h/Gnai3/Samhd1/Lipa/Ndufa6/Ndufs2/Ogdh/Atp6v0c/Ndufs6/Tspo/Atp5pb/Ndufa7/Igf1/Atp1b1/Atp5k/Ndufa1/Hif1a/Atp5d/Atp5j2/Stat3/Fis1/Atp5e/App/Ucp2/Hspa8/Mtch2/Pkm/Aldoa/Atp5g3/Atp5a1/Atp5b","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","GO_BP","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
