"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","comparison","database","direction"
"REACTOME_SARS_COV_INFECTIONS","REACTOME_SARS_COV_INFECTIONS",189,-0.639385305605174,-3.90322285419505,9.88108792289772e-43,9.76251486782295e-40,3.4531802004232e-40,3078,"tags=60%, list=15%, signal=51%","Sos1/Jak1/Jak2/Nup205/Pdcd1/Fut8/Runx1/Ano1/Akt3/Irak1/Arid4b/Arid4a/Rock1/St6gal1/Stat1/Nrp1/Tjp1/Ywhaq/Chuk/Nup153/Zbp1/Parp9/Ptpn6/Cd79b/Sp1/Hdac2/Agrn/Rae1/Serpine1/Parp14/Itga4/Akt2/Ifngr2/Ywhab/Ywhag/Irf7/Crebbp/Sdc3/Ifnar1/Sar1b/Nfkb1/Fkbp1a/Bcl2l1/Gsk3b/Nfe2l2/Snrpd3/Snrpg/Isg15/Ywhah/Ube2i/Nup98/Tufm/Sdc4/Cav1/Sdc1/Rps27l/Ap2s1/St3gal4/Atp1b3/Psmc6/Rpn1/Ap2m1/Akt1/Comt/Ap2b1/Fkbp4/Ifngr1/G3bp1/Gpc3/Nfkbia/Rps9/Vegfa/H2-T23/Grb2/Iscu/Rbbp7/Tubb5/Rbx1/Atp1b1/Galnt1/Ctsl/Ifnar2/Ostc/Hnrnpa1/G3bp2/Cul3/Mgat1/Npm1/Ptges3/Kpnb1/Furin/Atp1a1/Rps6/Snrpb/Rps12/Ppia/Ppib/B2m/Ywhaz/Rps3a1/Ywhae/H2-Q1/Rps10/Cnbp/Rps5/Hsp90aa1/Canx/Rps14/Itgb1/Rps19/Rps3/Hsp90ab1/H2-D1","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Reactome","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"REACTOME_DENGUE_VIRUS_INFECTION","REACTOME_DENGUE_VIRUS_INFECTION",150,-0.628707820070175,-3.8113680456792,3.03578276796964e-33,1.499676687377e-30,5.30463094192589e-31,2733,"tags=55%, list=14%, signal=48%","Srsf3/Grpel1/Nek2/Rbm5/Tjp1/Snrpa1/Eif4a3/Pros1/Retreg1/Ipo7/Mapre3/Nmt1/Agrn/P4ha1/Sf3b3/Txnl4a/Uba7/Hdlbp/Eif4g3/Sf3a3/Fasn/U2af1/Polr2a/Sdc3/Lyn/Polr2e/Snrpd3/Snrpg/Ube2i/Eif4e3/Sdc4/Axl/Hnrnpd/Eif4g2/Sdc1/Spcs3/Ap2s1/Hnrnpa3/C1s1/Hnrnpc/Rpn1/Ap2m1/Srsf7/Ap2b1/Sec11a/Gpc3/Nfkbia/Polr2f/Srsf2/Dhx15/Rtn3/Pcbp1/Srsf6/Dnajc3/Ostc/Eif4e/Hnrnpa1/Eif4g1/Kpnb1/Eif4a2/Furin/Spcs1/Snrpb/Srsf1/Hspa5/Ctnnb1/Ncl/Hspa8/Fus/Rpl18/Ly6e/Eif4a1/Pabpc1/Hsp90aa1/Hnrnpu/Canx/Calr/Hnrnpa2b1/Clu/Hsp90ab1/C1qa/Vim","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Reactome","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"REACTOME_RHO_GTPASE_CYCLE","REACTOME_RHO_GTPASE_CYCLE",170,-0.564263072992665,-3.41871805616832,1.33641768865816e-27,4.40126892131421e-25,1.55680937766495e-25,3280,"tags=48%, list=16%, signal=41%","Daam1/Rhoh/Wasl/Def6/Add3/Picalm/Sos1/Ect2/Farp1/Vamp3/Flot2/Csk/Ralbp1/Racgap1/Rock1/Src/Lbr/Arhgef2/Stip1/Trip10/Arhgef3/Net1/Stx5a/Ndufa5/Cdc42ep1/Map3k11/Arhgef12/Wipf1/Arfgap3/Jag1/Cct6a/Cltc/Ndufs3/Dock2/Stom/Dock4/C1qbp/Hmox2/Tmpo/Dock10/Cyfip2/Abr/Aldh3a2/Akap13/Cct7/Tpm4/Bcap31/Lman1/Rac2/Esyt1/Abcd3/Cav1/Hspe1/Hnrnpc/Slc1a5/Lmnb1/Wasf2/Fermt2/Cavin1/Rac1/Cdc42se2/Tpm3/Jup/Grb2/Atp6ap1/Cct2/Abi1/Cul3/Cdc42/Actb/Ckap4/Actg1/Capzb/Rhoa/Sptan1/Hsp90aa1/Arhgdia/Itgb1/Actn1/Sptbn1/Hsp90ab1/Vim","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Reactome","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",198,-0.518051690439044,-3.23500828762707,8.70289411196272e-27,2.14961484565479e-24,7.60358117150427e-25,2367,"tags=42%, list=12%, signal=37%","Itgam/Itgal/Lama4/Itgav/Pdgfb/Plod1/Bmp1/Agrn/Sgce/Mfap5/Fbn1/Htra1/Serpinh1/P4ha1/Serpine1/Itga4/Tgfb3/Actg2/Itgb5/Fbln1/Adam17/Col5a1/Itga3/Sdc3/Fbln5/Cast/Col6a1/Itgb2/Efemp1/Timp1/Vwf/Icam2/Colgalt1/Adam15/Efemp2/Lamc2/Sdc4/Adam10/Cd47/Dcn/Sdc1/Cd151/Lamc1/Ltbp2/Lox/Pecam1/Tnc/Pcolce/Col6a3/Icam1/Mmp2/Adam9/Timp2/Ctsl/Capn2/Col5a2/Cd44/Furin/Col4a2/Actb/Cdh1/Ctsd/Col4a1/App/Ppib/Plec/Actg1/Ctsb/Acta2/Bsg/Mmp14/Spp1/Eln/Itgb1/Thbs1/Sparc/Actn1/Ctss/Col1a2/Fn1/Bgn/Col3a1/Col1a1","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Reactome","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION","REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION",157,-0.569108888501378,-3.45299200195907,2.48579265617584e-26,4.91192628860346e-24,1.73743823547448e-24,2238,"tags=43%, list=11%, signal=38%","Ptpn6/Mapk14/Pdgfb/Mgll/Mapk1/Serpine1/Plek/Tgfb3/Fyn/Arrb1/Arrb2/Vcl/Raf1/Gng12/Lyn/Ecm1/Gng11/Timp1/Vwf/Rac2/Pdpn/Gnai3/Akt1/Rac1/F2r/Pecam1/Vegfa/Wdr1/Grb2/Trf/Igf1/Timp3/Selenop/Srgn/Cd9/Actn4/Flna/Cd36/Cdc42/Gnai2/Lgals3bp/Cap1/Hspa5/Qsox1/Ppia/App/Serpina3n/Calu/Serping1/Aplp2/Ywhaz/Rhoa/Gnb2/Aldoa/Cd63/Sod1/Anxa5/Thbs1/Sparc/Actn1/Pfn1/Cfl1/Col1a2/Clu/Calm1/Fn1/Col1a1","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Reactome","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"REACTOME_TRANSLATION","REACTOME_TRANSLATION",113,-0.633981270660121,-3.71290356121745,9.63432177453609e-26,1.35981570189166e-23,4.80991703630975e-24,2468,"tags=58%, list=12%, signal=51%","Rpl14/Rchy1/Psmc4/Psmc2/Srprb/Psma4/Psmb5/Psmd13/Eif3d/Adrm1/Psma7/Psmd1/Psmb2/Psmd3/Eif2s1/Srpr/Psmd7/Srp9/Rpl36/Abce1/Psma1/Tufm/Rpl9/Psmd8/Spcs3/Rps27l/Mrpl23/Psmc6/Eprs/Psma2/Rpn1/Ssr3/Sec11a/Srp14/Psmd14/Rps9/Sec61a1/Rpl34/Rbx1/Eif3b/Ssr1/Rpl6/Rpl22/Eif4e/Eif4g1/Eif3a/Eif4a2/Spcs1/Rps6/Eif2s3x/Rps12/Eif4h/Psma6/Rpl18/Rps3a1/Rps10/Eif4a1/Rps5/Eef1b2/Pabpc1/Rps14/Rplp0/Eef2/Rps19/Rps3","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Reactome","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT","REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT",140,-0.585821607323912,-3.4174512129992,8.87312897265016e-26,1.35981570189166e-23,4.80991703630975e-24,3746,"tags=65%, list=19%, signal=53%","Cox7c/Uqcrq/Atp5l/Sucla2/Pcx/Ndufb6/Ndufa8/Etfdh/Atp5o/Idh3a/Hspa9/Gstz1/Ndufc2/Sdhc/Cycs/Pdk3/Nnt/Sdhb/Suclg1/Fh1/Slc25a4/Atp5c1/Ndufb3/Ndufab1/Mdh1/Dld/Ndufs7/Ndufa3/Ndufa5/Ndufv2/Ndufb2/Cox6a1/Uqcrc2/Mpc2/Ndufs4/Aco2/Dlat/Ndufs3/Uqcrb/Ndufb4/Ndufs1/Ndufb1/Acat1/Idh3b/Dlst/Cox5b/Cyc1/Sdha/Ndufa2/Cs/Cox7a2/Ndufv3/Ldha/Ndufa9/Atp5g2/Atp5j/Ndufc1/Uqcr11/Etfa/Ndufb5/Ndufb8/Atp5h/Cox6c/Uqcrfs1/Ndufa6/Ndufs2/Ogdh/Idh2/Ndufs6/Atp5pb/Cox5a/Ndufa7/Iscu/Uqcrc1/Atp5k/Ndufa1/Ndufa4/Cox8a/Atp5d/Atp5j2/Mdh2/Etfb/Atp5e/Uqcrh/Ldhb/Cox4i1/Ucp2/Pkm/Atp5g3/Atp5a1/Atp5b","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Reactome","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"REACTOME_SARS_COV_2_INFECTION","REACTOME_SARS_COV_2_INFECTION",127,-0.610501543572922,-3.60826702447113,1.3864065929846e-25,1.71221214233598e-23,6.05640774830115e-24,2655,"tags=53%, list=13%, signal=46%","Akt3/Irak1/St6gal1/Stat1/Nrp1/Tjp1/Ywhaq/Chuk/Nup153/Parp9/Ptpn6/Agrn/Rae1/Parp14/Akt2/Ywhab/Ywhag/Irf7/Crebbp/Sdc3/Ifnar1/Sar1b/Gsk3b/Snrpd3/Snrpg/Isg15/Ywhah/Ube2i/Nup98/Tufm/Sdc4/Cav1/Sdc1/Rps27l/St3gal4/Rpn1/Akt1/G3bp1/Gpc3/Rps9/H2-T23/Iscu/Galnt1/Ctsl/Ifnar2/Ostc/G3bp2/Mgat1/Furin/Rps6/Snrpb/Rps12/B2m/Ywhaz/Rps3a1/Ywhae/H2-Q1/Rps10/Cnbp/Rps5/Hsp90aa1/Canx/Rps14/Rps19/Rps3/Hsp90ab1/H2-D1","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Reactome","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS","REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS",126,-0.596063778042779,-3.52559408256203,8.26128275954869e-24,9.06905262937123e-22,3.20788991364932e-22,2757,"tags=53%, list=14%, signal=46%","Notch1/Prdx2/Eif2ak3/Akt3/Gclc/Psmc4/Psmc2/Sp1/Ncor2/Cox6a1/Psma4/Helz2/Psmb5/Prdx1/Akt2/Psmd13/Adrm1/Tkt/Ero1a/Gclm/Psma7/Psmd1/Txnrd1/Crebbp/Hmox2/Cox5b/Psmb2/Sod3/Psmd3/Hmox1/Cul1/Nfkb1/Psmd7/Bcl2l1/Gsk3b/Nfe2l2/Cox7a2/Taldo1/Psma1/Atf4/Prdx6/Psmd8/Idh1/Psmc6/Psma2/Akt1/Cat/Cox6c/Psmd14/Gsta3/Txn1/Cox5a/Rbx1/Ndufa4/Cox8a/Cul3/Stat3/Skp1/Atox1/Psma6/Txnip/Gpx1/Cox4i1/Gpx3/Prdx5/Sqstm1/Sod1","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Reactome","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"REACTOME_CELL_CELL_COMMUNICATION","REACTOME_CELL_CELL_COMMUNICATION",163,-0.532408125714579,-3.24053897847296,1.26378905551163e-23,1.24862358684549e-21,4.41661017294591e-22,2334,"tags=43%, list=12%, signal=38%","Psmc4/Psmc2/Ptpn6/Cd2ap/Sp1/Ago2/Hdac2/Cadm1/Psma4/Mapk1/Psmb5/Sirpa/Parva/Psmd13/Kmt5a/Adrm1/Fyn/Actg2/Psma7/H2az2/Psmd1/Vcl/Psmb2/Mdm2/Psmd3/Nectin2/Psmd7/Ctbp1/Psma1/Lamc2/Psmd8/Cd47/Cd151/Spcs3/Pxn/Psmc6/Psma2/Rpn1/Sec11a/Fermt2/Psmd14/Jup/Grb2/Rbbp7/Vasp/Cldn5/Ctsl/Ostc/Actn4/Flna/Furin/Spcs1/Actb/Cdh1/Ctnna1/Psma6/Ctnnb1/Plec/Pkm/Actg1/Ctsb/Cldn18/Acta2/Sptan1/Canx/Itgb1/Actn1/Sptbn1/Ctss/Rack1","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected","Reactome","INRR_vs_ARR = Neonate_Reinfected_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
