"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","comparison","database","direction"
"GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN","GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN",104,0.701920839560767,2.18726052999088,2.77119218729758e-23,1.40360884286622e-19,3.10665229418097e-20,4513,"tags=80%, list=23%, signal=62%","Hspa8/Txn1/Arf1/Ets1/Hnrnpu/Actg1/Ndufa1/Eif4a1/Anxa2/Selenop/Rps19/Cyb5a/Atp5g3/Arpc3/Cct5/Rpl22/Cnbp/Tpm3/Stmn1/Rack1/Atp5pb/Rps3a1/Serbp1/Capzb/Rps3/Ctsl/Rpl18/Rpl36/Rps14/Psma6/Rpl14/Selenow/Hint1/Rps5/Ywhaz/Hadha/H2az1/Akr1a1/Ppia/Arpc2/Hsp90aa1/Psmc3/Rab2a/Srsf2/Rplp0/Eef1b2/Ldhb/Eif4g2/Npm1/Rpl34/Actr3/Fabp5/Cox6b1/Rps10/Csnk2b/Rps6/Tubb5/Rpl9/Pcna/Arl6ip1/Ldha/Psme1/Atp5o/Atp5c1/Rps9/Hnrnpc/Rpl6/Cox6a1/Uqcrb/Snrpg/Cnp/Tkt/Rps27l/C1qbp/Ndufb6/Actb/Psma1/Atp6v1g1/Cxcl12/Prdx1/Sdhd/Srsf3/Cox5a","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN","Immune","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Neonate_Reinfected_NO_IFN"
"NAKAYA_PLASMACYTOID_DENDRITIC_CELL_FLUMIST_AGE_18_50YO_7DY_UP","NAKAYA_PLASMACYTOID_DENDRITIC_CELL_FLUMIST_AGE_18_50YO_7DY_UP",433,0.503423157948754,1.66587582932054,4.04924307753299e-22,1.02547080938523e-18,2.2697073039856e-19,7186,"tags=67%, list=36%, signal=44%","Fhl1/Dpysl2/Cat/Calcrl/Scd2/Thbd/Bmpr2/Ucp2/Ctnna1/Sptbn1/Glul/Srsf6/Anxa2/Csnk1d/Alcam/Tsc22d1/Flnb/Tmbim6/Nrp1/Cct2/Pmp22/Bcl2l1/Igfbp7/Adam10/Atrx/Ywhaq/Ywhae/Capzb/Hspa5/Hadh/Clic3/Echs1/Add3/Add1/Sec31a/Glo1/Gspt1/Btg2/Dusp6/Serp1/Daam1/Spop/Scp2/Ralbp1/Ppp3r1/Luc7l3/Tmed10/Clta/Btg1/Ppp2cb/Mon2/Lamc1/Il4ra/Hmgcr/Nfat5/Exosc8/Acat1/Copb1/Cct4/Gde1/Rps6ka3/Vcl/St3gal6/S100a10/Tcp1/Smurf2/Grpel1/Fech/Cmklr1/Eif3b/Tmpo/Prdx6/Insig1/Mapk1/Mapk14/Scd1/Tax1bp3/Plvap/Tmem50a/Ech1/Npm1/Mef2a/Snapc5/Lamp2/Ptpn11/Mpp1/Cdk13/Dync1h1/Gnai3/Pdia6/Anxa4/Lonp2/Cap1/Ar/Gmfb/Prnp/Paip1/Numa1/Acsl4/Ptp4a3/Abhd2/Ewsr1/Marchf6/Ap2b1/Arhgef7/Psmd14/Csrp2/Atp2c1/Atxn1/Tubb5/Psma2/Cct6a/Ubr7/Apaf1/Irf2/Afg3l2/Clip1/Nup98/Pafah1b1/Uba2/M6pr/Ebp/Hspa4/Ptbp2/Stam2/Wsb1/Oat/Jak2/Metap1/Timm17a/Gosr2/Rock1/Slc11a2/Pgm1/Bcl2l11/Eif2s1/Galnt1/Pten/Ago2/Atp5c1/Arfgef2/Dusp3/Napa/Cmpk1/Fyn/Sik1/Uqcr10/Flot2/Rasa1/Cbx1/Appbp2/Wdr1/Glrx/Dars/Sec22b/Dr1/Ezh1/Ncoa6/Sesn1/Eif3j1/Evi5/Gnpat/Fdft1/Glce/Dgka/Comt/Nr3c1/Uqcrb/Nop56/Pcm1/Tpm4/Eif2s2/Sc5d/Bub3/Isg20/Enpp2/Topbp1/Gls/Cited2/C1qbp/Snca/Zc3h14/Notch4/P4ha1/Gtf2h5/Amigo2/Cntrl/Ykt6/Gpd1l/Cul4a/Rcan1/Idi1/Gpx7/Psma1/Oas1a/Ak2/Iars/Nck2/Ifrd1/Rbck1/Dnajb9/Ipo7/Usp15/Cenpj/Kars/Dab2/Sidt2/Oxsr1/Adam9/Arf4/H2az2/Nfyb/Tpd52/Ccng1/Nfx1/Ccnd2/Sidt1/Rabgap1l/Ocrl/Arl3/Mill2/Asf1a/Ranbp1/Dad1/Psen1/Slc1a4/Ada/Lsm1/Bmp2k/Psmb8/Rnf11/Btbd3/Itpr2/Slc39a6/Hmgcs1/Rxrb/Ube2d3/Ndst2/Itgav/Fcmr/Wdr37/Isca1/Dcp2/Cse1l/Acta2/Dap3/Cnot9/Cul5/Elf1/Egr1/Xpo1/Prkca/Rad51ap1/Mios/Nsdhl/Ube2j1/Map3k7/Msra/Nod1/Gpr183/Ccnd3/Tor1b/Opa1/Fut4/Eprs/Ttc37/E2f5/Mrps15/Mcm4/Mtx2/Srprb/Atp2a2/Dguok/Hspa13/Ncf4/Abcb1a/Zfp277/Plaat3/Tprkb/Pde4dip/Snap23/Ctsb/Avl9/Cndp2/Il13ra1/Csf2ra/Fkbp5/Akt3/Apc/Aff1/Dnttip2","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN","Immune","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Neonate_Reinfected_NO_IFN"
"HARALAMBIEVA_PBMC_FLUARIX_AGE_50_74YO_CORR_WITH_28D_MEM_B_CELL_RESPONSE_AT_28DY_POSITIVE","HARALAMBIEVA_PBMC_FLUARIX_AGE_50_74YO_CORR_WITH_28D_MEM_B_CELL_RESPONSE_AT_28DY_POSITIVE",446,0.490467184326301,1.62335234905045,6.22636663682689e-20,1.05121823385094e-16,2.32669490113005e-17,6020,"tags=56%, list=30%, signal=40%","Vim/Aplp2/Cat/Arf1/Aldh2/App/Eif4h/Jun/Mcl1/Vamp3/Vegfa/Rab1a/Thbd/Mid1ip1/Gpx3/Alas1/Gabarapl1/Atp5b/Ndst1/Epb41l2/Tspan13/Glul/Eif4a1/Timp2/Ftl1/Dnajc3/Rhob/Cd34/Nrp1/Atp1b1/Klf6/Sdcbp/Mapre1/Sqstm1/Sec14l1/Anxa1/Ldlr/Atox1/Mknk2/Gnai2/Notch3/Ywhae/Emp1/Eif3a/Nfkbia/Cbfa2t3/Khsrp/Dock4/Dusp6/Sfpq/Plpp3/Pim3/Id1/Herpud1/Nedd9/Lyn/Plagl1/Ifngr1/Hmgcr/Ncor2/Atp6v0b/Fbn1/Riok3/Angpt1/Ripk2/Hif1a/Map3k20/Lats2/Slc6a6/Hes1/Bcl10/Src/Ccrl2/Skap2/Plk2/Grina/Cxcl16/Hbegf/Rad23b/Flii/Ifi30/Abcd1/Ywhag/Nampt/Sgk1/Plvap/Ets2/Zfp36/Eif4g2/Dctn4/Bhlhe40/Mef2a/Sipa1l1/Cox5b/Fscn1/H2-DMa/Bcat1/Eif4ebp1/H2-Ea/Ier2/Ier3/Zmiz1/Gmfb/Acsl4/Myd88/Kif5b/Nlrp3/Atf5/Klf2/Ext1/Esrra/Ifit2/Klf4/Med13l/Adam17/Mertk/Abca1/Ppp1r15b/Slc30a1/Cebpd/Trim26/Icam1/Rreb1/Hspa4/Serinc1/Oat/Snx2/Bnip3l/Hmox1/Fosb/Arl6ip1/Jak2/Id2/Epha2/Swap70/Blvrb/Rock1/Bcl2l11/Dlc1/Cbx8/Cebpb/Plaur/Mdm2/Ier5/Atp5c1/Ddx21/Ppp1r15a/Sik1/Akt1s1/Stx12/Ap3b1/Ell2/Cdc42ep1/Trp53inp2/Sirt1/Pfkfb3/Ikbkg/Scarf1/Picalm/Sat1/Sowahc/Sap30/Bach1/Ell/Trio/Tkt/Ctsz/Myo1e/Nfe2l2/Scarb1/Relb/Mafb/Ube2d1/Slc35b1/Slc29a1/Zc3h12a/Gnb4/Ptges/Foxo3/Elf4/Bcl6/Adrm1/Idi1/Bmf/Etf1/Adipor1/Hdac6/Tnfrsf21/Vav2/G0s2/Map3k11/Pak4/Ypel5/Sidt2/Pnpla8/Numb/Adam9/Psmd3/Nab2/Ereg/Ubc/Arf4/Smtn/Peli1/Top1/Tsg101/Eif4a3/Itga9/Cavin3/Rara/Gpr18/Arl8a/Bak1/Ocrl/Bcl2l2/Nadsyn1/Klf10/Cdc42ep4/Usp16/Ugcg/Map2k3/Btbd3/Ccnk/Slc1a5/Hmgcs1/Atp6v0c/Nrip1/Atp6v1f/Ifngr2/Clip2/Kdm6b/Kdm4b/Acvr1b/Elf1/Pno1/Gab2/Mapk12/Dock2/Pdlim7/Cd302/Cd38/Spi1/Rad51ap1/Heyl/Adgra2/Oasl1/Ube2j1/Ncoa4","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN","Immune","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Neonate_Reinfected_NO_IFN"
"NAKAYA_PBMC_FLUMIST_AGE_18_50YO_7DY_UP","NAKAYA_PBMC_FLUMIST_AGE_18_50YO_7DY_UP",441,0.471144642870281,1.55922320555524,1.09296246251284e-15,1.38396371815688e-12,3.06317111204255e-13,7833,"tags=67%, list=39%, signal=42%","Dpysl2/Aplp2/Arf1/Jun/Sh3bp5/Dock9/Huwe1/Ctnna1/Eif4a1/Icam2/Anxa2/Ahnak/Timp2/Psma7/Rhob/Cct5/Klf6/Ctsc/Akap13/Snrpd3/Eif1/Ogdh/Hsd17b4/Fads1/Crebbp/Samhd1/Vamp8/Canx/Serbp1/Lgals1/Ssr3/Hadh/Clic3/Atp6ap1/Smc1a/Srsf1/Xiap/Sec31a/Stx7/Ppp1r2/Spop/Cdk4/Luc7l3/Mgst1/Tmed10/Clta/Fus/Cyb5b/G3bp1/Syngr2/Ppp2cb/Mon2/Dcps/Acat1/Cct4/Map3k20/Rps6ka3/Hadha/Adcy9/Cct3/Ugp2/Eif3b/Tmpo/Tardbp/Fbxo9/Septin9/Hook3/Mapk1/Flii/Acsl5/Immt/Pitpnb/Ndufa8/Cltc/Cpm/Rps6ka1/Ctsh/Ech1/Hs2st1/Bcl2/Ncstn/Dram2/Rbm5/Flt4/Mef2a/Actr3/Klhdc3/Evl/Sigmar1/Pdia6/Anxa4/Lonp2/Pura/Mta1/Copb2/Ewsr1/Rab27a/Psmd14/Med13l/Atp2c1/Esyt1/Parn/Cct6a/Apaf1/Reep5/Pafah1b1/M6pr/Vdac3/Stam2/Wsb1/Vbp1/Pam/Idh1/Pdha1/Aifm1/Metap1/Cab39/Acly/Aldh3a2/Sdhc/Prkag1/Eif2s1/Galnt1/Atrn/Arhgap27/Fyn/Kat2b/Uqcr10/Rasa1/Notch2/Stx12/Cbx1/Mtch2/Appbp2/Psmc4/Cnot6/Dars/Slc26a2/Uba7/Atxn2/Ezh1/Ncoa6/Agpat3/Uchl5/Eif3j1/Xpo7/Mapkap1/Lonp1/Gnpat/Acadm/Mrpl34/Comt/Gsr/Sucla2/Sap30/Fbxw11/Pcm1/Timm13/Dhps/Ldlrap1/Eif2s2/Fnta/Gls/Hdac2/Zc3h14/Retreg1/Hmox2/Wdr33/Gtf2h5/Cntrl/Abcf2/Gpd1l/Cul4a/Exoc4/Rcan1/Nelfb/Scamp1/Lgals3/Atp6v0e/Ak2/Iars/Prdx1/Rala/Tars/Ipo7/Cenpj/Srsf7/Cpox/Numb/Srsf3/Sp1/Ssr1/Uso1/Rap1gds1/Prdx3/Samm50/Hexa/Gart/Trp53/Gstk1/Plcb1/Nadsyn1/Cul1/Vamp4/Cdk8/Psen1/Prep/Coq5/Bmp2k/Eci2/Rapgef6/Cct7/Pmm2/Fzd2/Ostc/Ss18/Hyou1/Fcmr/Adh5/Mccc2/Mbp/Atp2b4/Akap10/Syncrip/Tm7sf3/Papss2/Sdad1/Got2/Ip6k2/Cops5/Xpo1/Coq9/Cacybp/Sult1a1/Rer1/Rad1/Map3k7/Copa/Slc46a3/Ptpn6/Polr1d/Rabgap1/Ccnd3/Ap4b1/Nmt1/Hdlbp/Eprs/Rnf213/Crtam/Ttc37/Mtif2/Clns1a/Abcd3/Mtx2/Cdc25b/Pex11b/Wrap73/Ext2/Dock10/Gmpr2/Srprb/Ndufv3/Aars/Gtf2h1/Casp2/Pde4dip/Ctsb/Avl9/Acaa1a/Sf3b3/Tes/Galm/Csf2ra/Fkbp5/Dclre1b/Slc25a11/Lck/Gcdh/Nipbl/Ipcef1/Il17ra/Psmg1/Shmt2/Prmt2/Dhx16/Cd2/Capg/Cog2/Sec11a/Slc30a5/Gnpda1/Dnmt1/Nek7/Atp6v1d/Cox15/Rasgrp1","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN","Immune","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Neonate_Reinfected_NO_IFN"
"THAKAR_PBMC_INACTIVATED_INFLUENZA_AGE_21_30YO_RESPONDERS_28DY_UP","THAKAR_PBMC_INACTIVATED_INFLUENZA_AGE_21_30YO_RESPONDERS_28DY_UP",144,0.58370841803403,1.85081577196202,3.85977915570396e-15,3.90995628472811e-12,8.65403115963099e-13,4296,"tags=60%, list=22%, signal=48%","Fhl1/Gucy1a1/Nfib/Sod1/Hpgd/Bmpr2/Cldn5/Sparc/Mylk/Tsc22d1/Psmc6/Bcl2l1/Rps3a1/Vwf/Add3/Srsf1/Bmp6/Cavin2/Serp1/Ppp1r2/Antxr2/G3bp1/Psma4/Copb1/Dek/Mast4/Prdx6/Eef1b2/Bcl2/Eif4g2/Rpl34/Lamp2/Slc39a8/St8sia4/Prnp/Meis1/Vasp/Pura/Ccser2/Erh/Ndufv2/Tmem140/Kifc3/Psmd14/Foxn3/Psma2/Ptges3/Nap1l1/Cgrrf1/Rad21/Tlk1/Ywhah/Vdac3/Mmd/Serinc1/Ndufab1/Cald1/Agfg1/Galnt1/Pten/Stom/Ubqln1/Glrx/Cdkn2aip/Cox7a2l/Psma3/Abce1/Mgll/Inpp4b/Dnajc15/Snca/Retreg1/Tpm1/Rcan1/Idi1/Etf1/Atp6v1g1/Nck2/Ifrd1/Lclat1/Ypel5/Dnajb9/Bax/Pros1/Dab2/Tbk1/Dmtn","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN","Immune","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Neonate_Reinfected_NO_IFN"
"NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_3DY_UP","NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_3DY_UP",216,0.536285155436437,1.73343997772188,5.52584646817892e-15,4.66473539355437e-12,1.03246078747554e-12,4481,"tags=54%, list=22%, signal=42%","Dpysl2/Cd36/Cat/Bmpr2/Fkbp1a/Arrb1/Icam2/Csrp1/Cyb5a/Arf6/Dbi/Cct5/Ctsc/Igfbp7/Bsg/Hsd17b4/Naa38/Vamp8/Yipf6/Hadh/Ctsl/Clic3/Stx7/Lta4h/Cdk4/Clta/Selenow/Cyb5b/G3bp1/Ppp2cb/Tpi1/Fuca1/Ctnnd1/Rras/Polr1h/Ppp1ca/Cct3/Tmpo/Ndufb3/Mapk1/Ndufa8/Cltc/Rps6ka1/Ech1/Plac8/Acaa2/Snapc5/Bcat1/Anxa4/Cap1/Pura/Il10rb/Ap2b1/Rab27a/Psmd14/Tubb5/Ubr7/Mertk/Apaf1/Reep5/Pcna/M6pr/Coro1a/Cbl/Stam2/Hmox1/Idh1/Agfg1/Cdkn1c/Aldh3a2/Sdhc/Eif2s1/Galnt1/Adgrg1/Stom/Uqcr10/Cbx1/Lfng/Mtch2/Ap3b1/Glrx/Slc26a2/Sec22b/Prcp/Fcer1g/Tmx1/Fbxw11/Gngt2/Psmb2/Mgll/Rps27l/Ndufb7/Vdac1/Hmox2/Slc25a20/Gtf2h5/Cntrl/Rcan1/Scamp1/Pecam1/Atp6v0e/Epb41l3/Psmc2/Ak2/Cln5/Prdx1/Mrps12/Mrps11/Rala/Tars/Ipo7/Fzd1/Mgst3/Supt4a/Ap2s1/Lipa/Sp1","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN","Immune","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Neonate_Reinfected_NO_IFN"
"NAKAYA_PBMC_FLUMIST_AGE_18_50YO_7DY_DN","NAKAYA_PBMC_FLUMIST_AGE_18_50YO_7DY_DN",288,0.500805287329675,1.63828816770588,9.65521073148182e-15,6.11295529436943e-12,1.35299992487212e-12,5852,"tags=56%, list=29%, signal=40%","Mcl1/Per1/Rab1a/Thbd/Cdc42/Gabarapl1/Skp1/Ndst1/Gsn/Cox4i1/Sparc/Glul/Pde4b/Dnajc3/Atp1b1/Tpm3/Eif1/Sec14l1/Cdkn1b/Id3/Phlda1/Cavin2/Sec31a/Klf7/Dock4/Gspt1/Btg2/Slc3a2/Ppp1r2/Pim3/Herpud1/Nedd9/Btg1/Ifngr1/Chpt1/Dynll2/Riok3/Ripk2/Hif1a/Eif1b/Mkrn1/Hint1/Bcl10/Net1/G3bp2/Klf3/Grpel1/Guk1/Rab2a/Arpp19/Prdx6/Hbegf/Insig1/Rad23b/Mef2d/Nampt/Actr3/Ap1g1/Cxcr4/Gmfb/Paip1/Ern1/Nudt4/Arhgef7/Dhrs3/Med13l/Abca1/Rcl1/Ppp1r15b/Nup98/Prpf4b/Amfr/Icam1/Mmd/Bnip3l/Timm17a/Dusp5/Vcpip1/Bcl2l11/Plaur/Aen/Nr1d2/Ddx21/Sik1/Arhgap5/Mpc2/Nub1/Mxd4/Ell2/Snn/Pfkfb3/Ppm1b/Hspa9/Ilf3/Tfrc/Btg3/Bach1/Ell/Khnyn/Prok2/Braf/Usp12/Nfe2l2/Ptpn2/Bag3/Ids/Zfp36l1/Vps37b/Snca/Ifitm2/Foxo3/Bcl6/Idi1/Etf1/Adipor1/Mapkapk2/Socs1/Vav2/G0s2/Ifrd1/Pkd1/Ypel5/Dnajb9/Arid4a/Usp15/Pdcd4/Pnpla8/Ppp2r1b/B4galt1/H2az2/Ppm1a/Peli1/Jmjd6/Gpr18/Arl8a/Ddit3/Hbq1b/Birc3/Ythdc1/Cul1/Zfp639/Rabif/Mxi1/Ugcg/Rnf11/Vapa/Map2k3/Ccnk/Hmgcs1/Svil/Dnajb1/Ero1a/Isca1/Nrip1/Kdm6b/Syncrip/Kdm7a/Elf1/Pno1/Gab2/Ip6k2","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN","Immune","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Neonate_Reinfected_NO_IFN"
"ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_1DY_UP","ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_1DY_UP",443,0.463864443874869,1.53523038639565,9.09711247115069e-15,6.11295529436943e-12,1.35299992487212e-12,6249,"tags=54%, list=31%, signal=38%","Dpysl2/Gucy1a1/Cd36/Tns1/Jup/Vamp3/Rab1a/Alas1/Anxa5/Gnb2/Atp6v0d1/Ctnna1/Ces1d/Glul/Tmem176b/Anxa2/Csrp1/Timp2/Agrn/Rhob/Atp1b1/Sec14l1/Ldlr/Atox1/Psmb10/S100a11/Parp14/Sppl2a/Ctsl/Ly6e/Dusp6/Rnh1/Cbr1/Dennd5a/Tgm2/Irf1/Pim3/Psma6/Tcn2/Lyn/Axl/Ssb/Gadd45b/Psma4/Ripk2/Pea15a/Ctnnd1/H1f0/Src/Akr1a1/Rras/Ccrl2/Sdc3/Cmklr1/Dram1/Cd63/Skap2/Grina/Cxcl16/Tnfsf10/Ifi30/Tap2/Abcd1/Nampt/Ncstn/Zfp36/Plac8/Tapbp/Bag1/Sipa1l1/Lamp2/Prkce/Tmem176a/H2-DMa/Atp1b3/H2-Ea/Anxa4/Alyref/Zmiz1/St8sia4/Ifi35/Tagln/Acsl4/Myd88/Sdhb/Nqo2/Nlrp3/Dnaja1/Atf5/Tmem140/Rtp4/Gsto1/Ext1/Lmo2/Trafd1/Ifit2/Klf4/Creg1/Adam17/Mertk/Abca1/Irf2/Trim26/Rxra/Icam1/Stam2/Wsb1/Mt1/Snx2/Pam/Gm2a/Hmox1/Jak2/Idh1/B4galt5/Cd151/Rsad2/Psme1/Stx3/Serping1/Nmi/G6pdx/Cdkn1c/Dusp5/Vcpip1/Xaf1/Sqor/Cebpb/Plaur/Dusp3/Stom/Napa/Arhgap27/Ifit3/Slc37a1/Nub1/Notch2/Stx12/Psme2/Arhgef11/Ifitm3/Glrx/Uba7/Fcer1g/Pfkfb3/Agpat3/Sntb1/Sat1/Lamp3/Bach1/Cnp/Gch1/Ralb/Mpzl2/Isg20/Ctsz/Snca/Ifi27/Ifitm2/Mafb/Ube2d1/Chst12/Slc29a1/Plscr1/Gnb4/Elf4/Sec24d/Bcl6/Gmppa/Glipr2/Oas1a/Dhrs7b/Epb41l3/Socs1/Parp12/Itpk1/Map3k11/Rbck1/Plxnb2/Fas/Stat1/Usp15/Sidt2/Tbk1/Ptpa/Rnf19b/Acp2/Il12rb1/Adam9/Ctsd/Ubc/Tap1/Peli1/Prdx3/Top1/Sh2b3/Rara/Stat2/Arl8a/Lap3/Bak1/Mt2/Mill2/Cul1/Trim25/Fbxo6/Usp18/Mvb12a/Hhex/Hgf/Psmb8/Fes/Pml/Slc1a5/Ltbr/Hmgcs1/Nrip1/Ifngr2/Parp9/Cd2ap/Acta2/Bst2/Kdm7a/Kptn/Cd38/Spi1/Helz2/Emp3/Casp4/Oasl1/Msrb1/Clec5a/Ogfr/Nod1/Tcirg1/Pdcd1lg2/Tor1b/Stat3/Eif4e3","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN","Immune","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Neonate_Reinfected_NO_IFN"
"GSE2405_HEAT_KILLED_LYSATE_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_24H_UP","GSE2405_HEAT_KILLED_LYSATE_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_24H_UP",106,0.616129504735906,1.92043934929623,1.85084122262817e-14,1.04161231029019e-11,2.30543380362457e-12,3944,"tags=58%, list=20%, signal=47%","Aplp2/Hpgd/Alas1/Ctnna1/Lrp1/Col4a2/Gng11/Anxa2/Ahnak/Alcam/Tsc22d1/Palld/Pmp22/Plpp1/Gpx1/Fn1/Cdh1/Anxa1/Plin2/Stx7/Rnh1/Slco2a1/Plagl1/Syngr2/Axl/Atp6v0b/Gadd45b/Map3k20/Vcl/Mgp/Skap2/Lamc2/Ifi30/Igfbp3/Tmem176a/Fscn1/Fabp5/Anxa4/Prnp/Tagln/Slc6a8/Nrp2/Grk5/Csrp2/Htra1/Pard6g/Icam1/Swap70/Hey1/Dusp3/Ifitm3/Trp53inp2/Fcer1g/Abhd4/Hsd3b7/Relb/Gnb4/Gpc1/Tpm2/Ccl5/Iscu/Lgals3","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN","Immune","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Neonate_Reinfected_NO_IFN"
"THAKAR_PBMC_INACTIVATED_INFLUENZA_AGE_21_30YO_RESPONDERS_7DY_UP","THAKAR_PBMC_INACTIVATED_INFLUENZA_AGE_21_30YO_RESPONDERS_7DY_UP",231,0.519093197451092,1.68120102020961,4.44140091338992e-14,2.249569562632e-11,4.97904418185291e-12,5655,"tags=59%, list=28%, signal=43%","Hspa8/Hopx/Cdc42/Gnb2/Ces1d/Itgb1/Alcam/Dnajc3/Dbi/Cct2/Calr/Ogdh/Ndufa4/Naa38/Ndufa6/Canx/Serbp1/Calu/Hsp90b1/Tmed2/Eif3a/Cox6c/Glo1/Etfa/Cdk4/Rpl14/Hmgcr/Acat1/Vezf1/Psmd8/Hint1/Cav1/Net1/Polr1h/Cct3/Glud1/Hsp90aa1/Bola2/Arpp19/Ndufb3/Atp5e/Ndufa8/Ywhag/Ldhb/Arcn1/Mgat1/Ptpn11/Rpn1/Gnai3/Pef1/Fis1/Pdia6/Gmfb/Cdc42se2/Cox17/Marchf6/Mdh1/Ap2b1/Abi1/Cct6a/Reep5/Pcna/Prim1/Cox7b/Vbp1/Gm2a/Arl6ip1/Cdkn2c/Ndufs4/Vcpip1/Paics/Eif2s1/Cmpk1/Slc38a2/Fkbp2/Eef1e1/Prmt5/Cnot6/Ell2/Dr1/Sirt1/Ppm1b/Tra2b/Acadm/Tmx1/Rbx1/Uqcrb/Dynlt3/Pebp1/Snrpg/Idh2/Tatdn2/Ifnar1/Atp5k/Rps27l/Rpl39l/Hdac2/Spcs3/Ndufb7/Myl9/Wdr33/Gtf2h5/Srp19/Snx14/Scamp1/Gpx7/Psmc2/Ak2/Cln5/Rala/Tars/Pnpla8/Psmb5/Psip1/Slc25a4/Cish/Selenos/Ssr1/Uso1/Dctpp1/Birc2/Gart/Bak1/Rabgap1l/Hbq1b/Asf1a/Dad1/Lsm1/Coq5/Eif3d/Hmgcs1/Dcp2/Nrip1/Tomm70a/Cse1l/Bst2/Lepr","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN","Immune","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Neonate_Reinfected_NO_IFN"
