"feature.feature","feature.group","feature.avgExpr","feature.logFC","feature.statistic","feature.auc","feature.pval","feature.padj","feature.pct_in","feature.pct_out"
"Adm2","0",1.17871222890394,0.812329267579945,28439697713.2812,0.671569057611866,0,0,49.5516661111608,16.4728710317403
"Cd274","0",1.13230317563378,0.792013410360556,28344299002.4258,0.669316332460126,0,0,48.239588329499,15.4750873605354
"Cd68","0",1.17895734988752,0.675174160733969,27248409487.0078,0.643438227265911,0,0,49.8532651551487,22.1057737834156
"Dst","0",1.11574171750925,0.661355174726026,27191511877.0859,0.642094659037415,0,0,47.7591434912325,20.3632106848543
"Hdac11","0",1.10039525908661,0.738632804494645,27891781717.5469,0.658630684193995,0,0,47.1470031135427,16.3665569637167
"Mmp9","0",0.937849637614854,0.624948343815413,26967857707.0469,0.636813336369419,0,0,41.1312809423547,14.2080328121233
"Myc","0",1.10744727790277,0.732159363899693,27833171119.9258,0.657246665833206,0,0,47.4103941923893,16.9855604581381
"Parp1","0",1.1949567029627,0.795917580965995,28300184383.4492,0.668274619099046,0,0,50.2345318711335,17.9072395232714
"Ror1","0",1.18791224566047,0.780804553311703,28197409661.25,0.665847718362284,0,0,50.1597418117079,18.2810816149281
"Sox4","0",1.32536354643868,0.719559504044439,27521937082.4102,0.649897250541303,0,0,54.4869970978205,26.22268440117
"B2m","1",1.81137286923783,0.567660028376066,23521520229.3633,0.611797497980296,0,0,58.6866175711806,48.3379958356322
"C1qb","1",0.467507828324069,0.365351576063691,21680194853.5,0.563904409143526,0,0,17.1471457385431,4.78181430025036
"Ccl5","1",0.628046924763345,0.537328685304222,22446890423.5,0.583846250778958,0,0,20.2617383554576,3.88406311429276
"Cd74","1",1.65534533965486,0.795253945228565,23912948215.0195,0.621978585764112,0,0,49.6467939396782,30.2077470548604
"H2-Ab1","1",0.753670136763626,0.389276846199447,21675305694.0273,0.563777241532613,0,0,26.7226417749425,15.7999218141339
"H2-D1","1",1.07324765099459,0.389995925005656,21978407161.9961,0.571660946239163,0,0,39.4136685585628,30.1165302110741
"H2-Eb1","1",0.707970900458844,0.437632655109428,22034004879.3125,0.573107049382834,0,0,25.1006144753506,11.7786175518952
"H2-K1","1",1.00938543715729,0.376735919749488,21805629505.9648,0.56716697915557,0,0,36.7212345794831,26.0145447891338
"Il15ra","1",0.736352830176015,0.381338064936635,21819368155.25,0.567524323033701,0,0,27.7114311177823,15.9981590278336
"Uba52","1",1.3280117011046,0.363737099388482,21909977572.6562,0.569881084600217,0,0,47.0068952577513,39.2068847922945
"Atp5b","10",1.4488256562483,1.06706623892126,435749601.824219,0.719336274992264,0,0,58.7692307692308,17.3425985140802
"Cryab","10",1.80211328422624,1.44220550726037,467613961.613281,0.771938020994372,0,0,66.3846153846154,15.7092455802255
"Mb","10",1.65253182778931,1.44669997280022,467645524.5,0.771990125068054,0,0,61.5384615384615,9.87072240082065
"Myh6","10",3.65960711054934,3.58351807393771,585592379.5,0.966697018585718,0,0,94,3.51736362973041
"Myl4","10",2.39037706221532,2.1324216396481,528280351,0.872086212469431,0,0,80.0769230769231,12.3526205324761
"Myl7","10",3.36889966454691,3.30794385586837,581864587,0.960543171606471,0,0,92.8461538461538,2.76539034366724
"Tcap","10",2.64474314872962,2.53810841325794,554768880,0.915813526736883,0,0,85.3846153846154,4.79061063492813
"Tnnc1","10",1.67483096282734,1.42462604232415,469255326,0.774647588459046,0,0,63.3076923076923,11.7813440234863
"Tpm1","10",3.45548527853671,2.85066414669636,566787262.238281,0.935653495091475,0,0,93.6153846153846,25.4945554902205
"Ttn","10",1.23859954442065,1.175876486965,444705111,0.734120046645059,0,0,49.3076923076923,2.98857876190517
"Adgrg6","11",2.09606282493261,1.91680122244074,895195,0.95789497337739,3.25789978379394e-06,0.000324812608444256,100,8.43577188446986
"Bcl2","11",1.79031928034321,1.64116092695601,887836.5,0.950021079799346,2.89959445471777e-07,5.78179134270723e-05,100,6.57967950144669
"Cxcl12","11",2.52800747361368,2.29648486048878,893151,0.955707810440172,1.49436560824415e-05,0.00106420179387101,100,9.78980122926261
"Efnb2","11",2.58234860881899,2.38542888106815,911655.5,0.975508376277628,2.27043371602289e-06,0.000284053861958508,100,8.85308770908593
"H2-Eb1","11",2.09606282493261,1.72589877914527,840457,0.899323092331661,0.00154805009854012,0.0302628617302843,100,14.8172798712527
"Jag1","11",2.09606282493261,1.81165773647637,871368.5,0.932399651594788,0.000332571752379226,0.0106959366813577,100,13.3072386104881
"Notch3","11",2.09606282493261,1.97009856403837,906069.5,0.969531129620435,1.39306816230754e-08,5.46080626017053e-06,100,5.80818024619494
"Pdgfrb","11",2.41197929419075,2.02499165901898,866718.3984375,0.927423854240678,0.00147421028222294,0.0299956663546178,100,17.264034652194
"Pnoc","11",1.79031928034321,1.70973963572034,909625,0.973335658888185,6.18714910424147e-13,6.16858765692875e-10,100,3.58784605112226
"Ptger4","11",1.79031928034321,1.66699461404331,897177.5,0.960016328819189,1.64317139222784e-08,5.46080626017053e-06,100,5.6204951291753
"Ace","2",1.35107113723571,0.989851965031093,20361707185.4062,0.689403066480384,0,0,50.6833682757889,16.5976035436527
"Acvrl1","2",1.18780755117915,0.827504044144121,19593159685.0859,0.663381721677016,0,0,46.248772590961,16.9522750005103
"Cd93","2",1.35257459094323,0.86619449447375,19604242287.9805,0.663756954478004,0,0,49.7558451208832,21.7781032476678
"Cdh5","2",2.25013528407406,1.66563585441589,23568479668.2695,0.797977399814052,0,0,73.9895438019161,24.883647349405
"Col4a1","2",1.7604461259362,0.935149744505502,19782078517.7891,0.669778101970451,0,0,60.527852233221,32.1380820184123
"Eng","2",1.6472873077545,1.22397147908579,21475124163.1758,0.727100940816568,0,0,59.1783657546244,18.5199738716855
"Esam","2",1.30969245029896,0.8583162678,19729427733.4609,0.667995461063287,0,0,50.0013269286909,20.6525954806181
"Itm2b","2",2.35659398790437,0.76536803301906,19588277973.0469,0.663216437537589,0,0,77.329423316791,58.9622160076752
"Ramp2","2",1.70280487173224,1.37328855846153,22193439790.4375,0.751421543781036,0,0,60.7109683925586,14.4777399007941
"Tie1","2",1.17212542923964,0.918946719397591,20047121713.5156,0.678751887430573,0,0,45.35973036809,11.6306721917165
"Bgn","3",1.96317161042032,1.28740637342529,17899181624.1992,0.745557546951639,0,0,69.5831206397822,28.6501478565693
"Cd81","3",1.26237825020974,0.762243321214007,15701134501.2578,0.654001929746843,0,0,50.3454143270376,21.7792237040519
"Col1a1","3",1.52233720407407,1.14021676851065,16811566911.7656,0.700254953008784,0,0,53.2312404287902,17.2296966492372
"Col1a2","3",1.93395296525217,1.36371298371771,17795301371.6562,0.741230605760208,0,0,65.3292496171516,24.5889881127235
"Col3a1","3",0.93587249842311,0.78291050948037,15661783104.5,0.652362819565615,0,0,36.7670580228007,7.18793451226916
"Fn1","3",0.978708468561097,0.737888438318137,15462764167,0.644073051130682,0,0,38.4481878509444,11.0618255879991
"Gsn","3",2.61069061425482,1.60382955339278,18321255142.7695,0.763138244424036,0,0,75.8669389144121,37.3908211425102
"Itga8","3",1.43624893198766,1.08916230709888,16680618348.7109,0.694800531041475,0,0,50.8235494299813,14.6696237980534
"Mgp","3",1.59586817878183,1.03674097506013,16555471440.7852,0.689587766366492,0,0,56.6156202143951,23.8355071186573
"Rarres2","3",0.858283012211068,0.698780512053829,15450233603,0.643551113493872,0,0,35.538540071465,7.2985821436265
"Alcam","4",1.0748245928562,0.774577942241189,8862730828.03516,0.670157018070785,0,0,47.1581521379948,13.4447109003872
"Cd74","4",2.84720696406238,1.93074182492585,10781794730.8867,0.815267387275962,0,0,89.3067213006411,30.8568185770642
"Chil1","4",2.26478920222422,1.88419608908067,11074919495.1328,0.837432070119366,0,0,78.0615954001718,16.2444051879582
"Ctnnb1","4",1.51904835265254,0.926923666396683,9163820201.36719,0.692923946291906,0,0,62.2133368581059,25.3928953896003
"Etv5","4",1.70458609804353,1.46091545147526,10471500504.7383,0.791804432419832,0,0,66.8528187165422,11.3790925649639
"Fasn","4",0.936004761232974,0.825210134925308,9081094965,0.686668662362074,0,0,42.3402286696187,5.30992283964742
"Fgfr2","4",1.31079796175039,1.12829199821434,9729027354,0.735662188866363,0,0,54.5006939395942,8.44919590308733
"Gas6","4",1.10334395972481,0.780159279801407,8865440963,0.670361945423522,0,0,47.9974885995638,14.9112610180041
"Lamp3","4",2.12603703431402,1.92808112504844,11394778212,0.861618245696492,0,0,78.3325622893398,8.7128042250556
"Tpm1","4",1.53921074766473,0.990613781667349,9311310724.16016,0.704076469240699,0,0,62.5371753354041,23.1320879060529
"Cryab","5",1.39976339297684,1.09886514775293,8642713315.18359,0.732167175066268,0,0,58.8641367215195,13.233214143822
"Icam1","5",2.28804943808382,1.78151618921822,9842837271.98828,0.833835636710061,0,0,80.6597261091832,21.9508485158068
"Ier3","5",1.15178440045398,0.906477447701358,8170331124,0.692149333231472,0,0,48.8376431956416,10.7288722401952
"Igfbp7","5",2.89773252079835,1.26519545846469,8883953789.58594,0.752603853944013,0,0,90.0966453972163,58.3692604574607
"Il18r1","5",1.13767573945627,0.950464551643298,8332580464,0.70589428074876,0,0,49.2555692376581,8.28242238492536
"Krt7","5",1.38681727983765,1.25549881586512,9051320502,0.766782319497539,0,0,58.7335348333893,6.06322719791135
"Rgcc","5",1.4728806135534,1.19125440274752,8714993343.64453,0.738290375306982,0,0,58.3044143438188,12.6304557579885
"S100a6","5",2.01388612217555,1.46327074691164,9161960871.37891,0.776155214761128,0,0,72.9766036046121,23.1720301946762
"Spock2","5",2.17565634936593,1.95189327852141,10035606317.5,0.85016606007891,0,0,76.3909101085861,9.77331290084568
"Vegfa","5",3.30542050481079,2.63136503762463,10608913012.8672,0.898733717975897,0,0,88.6376357326766,27.1901924059254
"Cd24a","6",1.27760060406819,1.16122013919006,5226029854.5,0.728311699386433,0,0,50.0912121783984,5.50249569650204
"Glul","6",1.33082813346718,0.946687407294902,4931896294.875,0.687320561061303,0,0,51.8902937661194,17.2044654468438
"Hsp90aa1","6",1.32550741244413,1.08366856887256,5068440473.5,0.70634967600026,0,0,50.0471787129647,11.3330984963789
"Hsp90ab1","6",1.45215812890719,1.02471466626083,5045073347.66797,0.703093178889006,0,0,55.8533056551551,19.332619960698
"Krt8","6",1.30427287709087,1.0938995309037,5134712729.5,0.715585532038849,0,0,51.0851103981883,9.34939086395629
"Mt1","6",1.15775238618186,1.00851121142368,4942796421.5,0.688839628109676,0,0,43.4295779077813,6.63104234376142
"Ppia","6",2.67193355789236,1.31147437957555,5450850987.82812,0.759643296455515,0,0,83.6824558092722,50.7659894057517
"Sod1","6",2.647734982124,1.65108120895477,5880531284.03906,0.819524543872575,0,0,83.6069698685287,41.1981558652745
"Tpt1","6",2.17847627079557,1.16167287931425,5181296894.01172,0.722077609766039,0,0,74.2215512360823,40.0062475491662
"Tubb4b","6",1.91365001922168,1.47875670774205,5475639451.48047,0.763097874517727,0,0,64.7669371579543,19.8415072101591
"Cd19","7",0.707715413860179,0.671806731985477,4486896227.5,0.631709236345521,0,0,27.8321678321678,1.64502241199086
"Cd37","7",1.34196632420814,1.15102858841014,5030254951.5,0.708208604103568,0,0,48.2326764144946,8.73868327339085
"Cd74","7",2.72799040387445,1.74523534240127,5505329785.86719,0.775094296486136,0,0,79.3070565797838,33.086255160073
"Cd79a","7",0.822355974709558,0.74895332122158,4583123181.5,0.645257010250928,0,0,32.0534011443102,3.4574703683362
"H2-Ab1","7",1.17868886590055,0.750766670023513,4523155049.64062,0.636814108774898,0,0,42.822631913541,17.4370603972149
"H2-DMb2","7",1.10724255322691,1.00595723910173,4860871918,0.684361200170673,0,0,40.6293706293706,4.69500203745371
"H2-Eb1","7",1.14518372801505,0.802010646129085,4590482129.78125,0.646293075130379,0,0,41.7482517482517,13.8794890420424
"Ighd","7",1.01397285145378,0.657666624772783,4399227297.60156,0.619366344968194,0,0,37.2155117609663,16.4531031305919
"Ighm","7",2.27649418222224,2.18850992809712,5964350903,0.839719789180448,0,0,69.9618563254927,3.83639246673635
"Igkc","7",3.19800572683706,3.0781990215508,6511600347,0.916766930641165,0,0,85.2828989192625,4.87615824814415
"Cd9","8",1.56606418306309,0.95895856546862,3167641385.24609,0.685615915726439,0,0,57.866613892737,26.4878556679383
"Cotl1","8",1.29399426000767,1.07658764310642,3339872777.5,0.722894309760247,0,0,53.4533940233525,9.37489063101529
"Csf2ra","8",1.55326867092724,1.05749118717012,3300243443.75781,0.714316791462301,0,0,61.1122105679794,22.1938105904175
"Ctsd","8",2.55229751324598,1.95700710416808,3640651000.39844,0.787995851141663,0,0,69.6912725113794,24.9383158926259
"Gpx1","8",1.66020374035793,1.09116133710499,3327514655.19531,0.720219472456993,0,0,65.3868988719573,24.3604101774402
"Lgals3","8",1.05101825942234,0.943898792649655,3260152346.5,0.705639327375956,0,0,45.7648921432812,5.04541000244987
"Mrc1","8",1.03743832290095,0.961231843400911,3214218030,0.695697135492399,0,0,42.2422323372254,3.4319987400693
"Psap","8",3.18739471508203,2.17387710581565,4078961694.21484,0.882865424797735,0,0,90.9657629131209,40.7027613481259
"Tyrobp","8",1.83223389151976,1.63133944046598,3766907394.5,0.815323248005918,0,0,70.0178112012666,8.73180100094495
"Vim","8",1.72061684409423,1.05088939624077,3255128375.90234,0.704551920759179,0,0,64.7140312685533,27.4909879956602
"Csf3r","9",1.49027851499316,1.4337328662874,1186082597,0.743350967407044,0,0,50.4360465116279,2.73007153421267
"Il1b","9",0.927114102235069,0.718996383262165,993174437,0.622450055683514,0,0,32.3255813953488,9.95118943415101
"Il36g","9",0.477501392663625,0.422170038022166,921847282,0.57774734289964,0,0,17.9360465116279,2.62378350875529
"Ptprc","9",0.74393601881873,0.526583033339793,946828474.5,0.593403751364637,1.10172479979252e-297,1.09841962539314e-295,27.1511627906977,9.53746383404408
"S100a8","9",3.41403764366657,3.01893607111197,1439161404.17188,0.901962498018208,0,0,84.4186046511628,17.9059749824291
"S100a9","9",3.75350499175345,3.65502270651062,1536031376,0.962673604861242,0,0,93.1976744186046,4.46150993674461
"Sell","9",0.681676930672045,0.460475455768857,927011869,0.580984133282045,7.27651237016848e-213,5.18191630932712e-211,25.1162790697674,10.1441463972024
"Selplg","9",0.685776107951545,0.505515047649275,942014163,0.590386488384828,0,0,25.2325581395349,8.01105567940254
"Srgn","9",1.3449445748667,0.892830843733284,1045871912.50391,0.65547702993878,0,0,45.8720930232558,19.7956596541004
"Tyrobp","9",1.15779584376005,0.928454630298947,1059607994.5,0.664085814745171,0,0,40.9011627906977,9.82851623641216
