"","feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"Tpi1","Tpi1","neonate",1.4725991099583,0.586541040524118,36443.5,0.571635844587706,0.000489278725373693,0.0147821481575022,34.9442379182156,21.5189873417722
"Lamp3","Lamp3","neonate",0.722496003278727,0.581865771790003,36263.5,0.568812448041661,6.12599745295244e-07,0.000122152389211872,17.1003717472119,3.37552742616034
"Hcar2","Hcar2","neonate",0.680543638507973,0.533624519739172,35944,0.563800919172431,3.12245424747358e-06,0.000283007898611924,16.3568773234201,3.79746835443038
"H2-Ab1","H2-Ab1","neonate",2.23809061819058,0.522933450784884,35282.5,0.553424936865716,0.0206482726368054,0.126347881591176,47.2118959107807,35.8649789029536
"Il15ra","Il15ra","neonate",1.80324344037718,0.50934173331451,36010,0.564836164572648,0.00362655088903908,0.0531716358289994,41.635687732342,31.6455696202532
"Ifitm2","Ifitm2","neonate",1.36805175169485,0.507547847464788,35770.5,0.561079478612771,0.00230468882590635,0.0417777228987024,31.9702602230483,20.6751054852321
"Gstp1/2","Gstp1/2","neonate",1.28752737727153,0.477463486166616,35567.5,0.557895314730287,0.00340863120259111,0.0522831585997437,30.8550185873606,19.831223628692
"Ccl17","Ccl17","neonate",0.84408870553698,0.468830297370041,35437.5,0.555856195002588,0.000384637695050191,0.0135945317557427,19.7026022304833,8.43881856540084
"Eno1/b","Eno1/b","neonate",1.10763265769155,0.453574443106772,35407.5,0.555385628911581,0.00287124056258108,0.0489020824188747,26.7657992565056,16.0337552742616
"Acp5","Acp5","neonate",0.85355090376156,0.451545385787406,35369.5,0.554789578529638,0.000661581807936335,0.0178269476354737,20.4460966542751,9.28270042194093
"Ccrl2","Ccrl2","neonate",0.657155543304208,0.393085827511338,34866.5,0.546899753737079,0.00108162361539119,0.0237690858307017,15.9851301115242,6.75105485232067
"H2-D1","H2-D1","neonate",2.68956138396347,0.389388173100212,35450,0.556052264207175,0.022279861366294,0.131130120270188,57.6208178438662,51.4767932489451
"Apoc1","Apoc1","neonate",0.731831292890565,0.389269163947136,34927.5,0.547856571455461,0.00160218299510785,0.0307187778100485,17.8438661710037,8.0168776371308
"Lcn2","Lcn2","neonate",0.89278213046932,0.381236546666427,34691,0.544146942104685,0.00846232441292875,0.0795937494310374,20.817843866171,12.2362869198312
"Ccr7","Ccr7","neonate",0.728604239811207,0.380977192083508,34703,0.544335168541088,0.0032577586958681,0.0520728923408288,17.1003717472119,8.43881856540084
"Cd74","Cd74","neonate",3.38442016805453,0.380665719422315,33848.5,0.530931877715558,0.212782480067991,0.453299428691853,62.0817843866171,54.8523206751055
"Cd1d1","Cd1d1","neonate",1.25227506273313,0.380440510786873,34735.5,0.544844948473013,0.0229395585612396,0.132200808587028,29.368029739777,21.0970464135021
"Ramp1","Ramp1","neonate",0.738279980546761,0.376121600141723,34788,0.545668439132276,0.00350241759732878,0.0529077324929816,18.2156133828996,9.70464135021097
"Rnf43","Rnf43","neonate",0.563725394069779,0.374440296250202,34791,0.545715495741377,0.000478416332340564,0.0147821481575022,13.7546468401487,4.64135021097046
"Marcksl1","Marcksl1","neonate",0.782796816872765,0.363990124166635,34692,0.544162627641052,0.00551875795729945,0.0687091157491036,18.9591078066914,10.126582278481
"Clec10a","Clec10a","neonate",0.42330499886346,0.361401156348794,34675.5,0.543903816290998,5.30356249491444e-05,0.00311038341613511,10.4089219330855,1.68776371308017
"Ube2c","Ube2c","neonate",0.540819148733346,0.358383342778558,34680,0.543974401204649,0.000694826112408758,0.0182300430018824,13.3828996282528,4.64135021097046
"Ighm","Ighm","neonate",0.5949961464799,0.355241810179496,34431,0.540068702649287,0.00289390457644293,0.0489020824188747,13.7546468401487,5.90717299578059
"Dusp1","Dusp1","neonate",0.920168732148644,0.35470598721186,34644,0.54340972189544,0.0137233367296834,0.104538925704349,22.6765799256506,14.7679324894515
"Ccl9","Ccl9","neonate",0.463483357237412,0.351076511863018,34741.5,0.544939061691215,0.000160558353596996,0.00695985558853067,11.8959107806691,2.9535864978903
"Ccr9","Ccr9","neonate",0.518990923883502,0.340480742771811,34478.5,0.540813765626716,0.0013252911999989,0.0275274026333105,12.639405204461,4.64135021097046
"Ffar2","Ffar2","neonate",0.622040435639514,0.337602007736898,34575,0.542327419886123,0.00318089753184437,0.0520728923408288,15.6133828996283,7.17299578059072
"Itgae","Itgae","neonate",0.663977687527979,0.333953609619474,34430,0.54005301711292,0.00631032113304808,0.069639032123131,15.9851301115242,8.0168776371308
"Chek2","Chek2","neonate",0.45096115664587,0.33065921256179,34489.5,0.540986306526752,0.000420656210921056,0.0139798080762764,11.1524163568773,2.9535864978903
"Il17d","Il17d","neonate",0.385736106988008,0.330391763737276,34420,0.539896161749251,9.2063101404399e-05,0.00483089011053609,9.29368029739777,1.26582278481013
