"","feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"Tpi1","Tpi1","neonate",1.4725991099583,0.586541040524118,36443.5,0.571635844587706,0.000489278725373693,0.0147821481575022,34.9442379182156,21.5189873417722
"Lamp3","Lamp3","neonate",0.722496003278727,0.581865771790003,36263.5,0.568812448041661,6.12599745295244e-07,0.000122152389211872,17.1003717472119,3.37552742616034
"Hcar2","Hcar2","neonate",0.680543638507973,0.533624519739172,35944,0.563800919172431,3.12245424747358e-06,0.000283007898611924,16.3568773234201,3.79746835443038
"Ifitm2","Ifitm2","neonate",1.36805175169485,0.507547847464788,35770.5,0.561079478612771,0.00230468882590635,0.0417777228987024,31.9702602230483,20.6751054852321
"Ccl17","Ccl17","neonate",0.84408870553698,0.468830297370041,35437.5,0.555856195002588,0.000384637695050191,0.0135945317557427,19.7026022304833,8.43881856540084
"Eno1/b","Eno1/b","neonate",1.10763265769155,0.453574443106772,35407.5,0.555385628911581,0.00287124056258108,0.0489020824188747,26.7657992565056,16.0337552742616
"Acp5","Acp5","neonate",0.85355090376156,0.451545385787406,35369.5,0.554789578529638,0.000661581807936335,0.0178269476354737,20.4460966542751,9.28270042194093
"Ccrl2","Ccrl2","neonate",0.657155543304208,0.393085827511338,34866.5,0.546899753737079,0.00108162361539119,0.0237690858307017,15.9851301115242,6.75105485232067
"Apoc1","Apoc1","neonate",0.731831292890565,0.389269163947136,34927.5,0.547856571455461,0.00160218299510785,0.0307187778100485,17.8438661710037,8.0168776371308
"Rnf43","Rnf43","neonate",0.563725394069779,0.374440296250202,34791,0.545715495741377,0.000478416332340564,0.0147821481575022,13.7546468401487,4.64135021097046
"Clec10a","Clec10a","neonate",0.42330499886346,0.361401156348794,34675.5,0.543903816290998,5.30356249491444e-05,0.00311038341613511,10.4089219330855,1.68776371308017
"Ube2c","Ube2c","neonate",0.540819148733346,0.358383342778558,34680,0.543974401204649,0.000694826112408758,0.0182300430018824,13.3828996282528,4.64135021097046
"Ighm","Ighm","neonate",0.5949961464799,0.355241810179496,34431,0.540068702649287,0.00289390457644293,0.0489020824188747,13.7546468401487,5.90717299578059
"Ccl9","Ccl9","neonate",0.463483357237412,0.351076511863018,34741.5,0.544939061691215,0.000160558353596996,0.00695985558853067,11.8959107806691,2.9535864978903
"Ccr9","Ccr9","neonate",0.518990923883502,0.340480742771811,34478.5,0.540813765626716,0.0013252911999989,0.0275274026333105,12.639405204461,4.64135021097046
"Chek2","Chek2","neonate",0.45096115664587,0.33065921256179,34489.5,0.540986306526752,0.000420656210921056,0.0139798080762764,11.1524163568773,2.9535864978903
"Il17d","Il17d","neonate",0.385736106988008,0.330391763737276,34420,0.539896161749251,9.2063101404399e-05,0.00483089011053609,9.29368029739777,1.26582278481013
"Icos","Icos","neonate",0.443381392146803,0.327999857910022,34278,0.537668815585149,0.000881518407458653,0.0221156781977301,10.4089219330855,2.9535864978903
"Tfeb","Tfeb","neonate",0.395649779187236,0.319632800011537,34418,0.539864790676517,0.000242620228741569,0.0100788486689727,10.0371747211896,2.10970464135021
"Pnoc","Pnoc","neonate",0.451971137618744,0.313634029006113,34240.5,0.53708060797139,0.00141960617340583,0.0283069470977123,10.7806691449814,3.37552742616034
"Phlda2","Phlda2","neonate",0.453541887296611,0.31332591373877,34244,0.537135507348674,0.00139657050969062,0.0283069470977123,10.7806691449814,3.37552742616034
"Hpgds","Hpgds","neonate",0.359835148628177,0.31325033547654,34330,0.538484463476229,0.000124259294753973,0.00581231948193693,8.92193308550186,1.26582278481013
"Mxra8","Mxra8","neonate",0.457739590372657,0.307869654362398,34244,0.537135507348674,0.00181676542228929,0.0341757570947626,11.1524163568773,3.79746835443038
"Xcl1","Xcl1","neonate",0.498391998012531,0.307771507772002,34302,0.538045268457955,0.00249975348547119,0.0437237583335926,12.2676579925651,4.64135021097046
"Cd200r3","Cd200r3","neonate",0.348367498401938,0.306565437751967,34316,0.538264865967092,7.57721450807927e-05,0.00419693492475279,8.55018587360595,0.843881856540084
"Ccr10","Ccr10","neonate",0.427935324810062,0.304814480454454,34370,0.539111884930905,0.000653386759086618,0.0178269476354737,10.7806691449814,2.9535864978903
"Tyms","Tyms","neonate",0.385593560335363,0.301719474911093,34294,0.53791978416702,0.000395427704028624,0.0135945317557427,9.66542750929368,2.10970464135021
"Ifit3/b","Ifit3/b","neonate",0.399930132362378,0.300241751679464,34165,0.535896349975687,0.000951372990783389,0.0221156781977301,9.66542750929368,2.53164556962025
"Myl7","Myl7","neonate",0.399545975427305,0.295451551291129,34164.5,0.535888507207504,0.000953835669510929,0.0221156781977301,9.66542750929368,2.53164556962025
"Il23a","Il23a","neonate",0.342747032894352,0.280690188267765,34077,0.534516022775399,0.000577933791149861,0.0169470585228356,8.55018587360595,1.68776371308017
