"","feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"Il15ra","Il15ra","neonate",1.47974550747538,0.518385363951428,800890,0.563409907105497,6.30302887936983e-11,1.57102994818293e-08,35.0537634408602,24.3375858684985
"Col4a1","Col4a1","neonate",1.33123989488254,0.342780066605714,769055.5,0.541014980601546,1.6457323559917e-05,0.000442306942312124,32.3297491039427,24.1413150147203
"Cd1d1","Cd1d1","neonate",0.883255928052914,0.340521569448719,770002,0.54168082419689,2.22054904427089e-07,1.84490616428173e-05,21.7921146953405,13.8370951913641
"H2-D1","H2-D1","neonate",2.57614442863186,0.326028485178991,785812,0.552802839244322,3.43863660511506e-06,0.000138010468951743,57.7777777777778,53.0912659470069
"Acp5","Acp5","neonate",0.690026058934523,0.311865723533412,765191.5,0.538296734798682,1.23321617204918e-07,1.11774229412093e-05,17.4193548387097,10.0098135426889
"Lcn2","Lcn2","neonate",0.938330026145775,0.303548971185957,760867.5,0.535254888305001,2.22794008872127e-05,0.000541769821574417,22.7240143369176,16.2904808635918
"Col4a2","Col4a2","neonate",0.773773671960555,0.292267382887815,762873.5,0.536666068708868,1.94569913164793e-06,9.69931017126495e-05,19.5698924731183,12.4631992149166
"Ifitm2","Ifitm2","neonate",1.21169840349757,0.270206128344737,758884.5,0.533859887935674,0.000293790828920831,0.00424506458600099,30.0358422939068,23.846908734053
"Glul","Glul","neonate",0.856091175803009,0.260766310984306,757238.5,0.532701960246359,6.42599483664408e-05,0.00125621899061454,21.6487455197133,15.8979391560353
"Ccl17","Ccl17","neonate",0.713435532048497,0.25246792853526,752677,0.529493037309049,5.16664261233697e-05,0.00107315472593749,16.9175627240143,11.1874386653582
"Gstp1/2","Gstp1/2","neonate",1.01869948083657,0.249339820781257,754356,0.530674179830532,0.000495168985761868,0.00574050556749514,25.3763440860215,20.3140333660451
"Ffar2","Ffar2","neonate",0.882421976971655,0.248500541594775,752230,0.529178581855146,0.000415441758783432,0.00493089801794145,21.7921146953405,16.8792934249264
"Cd3d","Cd3d","neonate",0.623728403154474,0.245426182016488,754006,0.530427961913606,1.2830995477691e-05,0.000365500071178797,15.6272401433692,9.61727183513248
"Pgk1","Pgk1","neonate",0.62533777146178,0.23205263052491,753509,0.530078332471571,2.7893425682018e-05,0.000659301803522951,16.4874551971326,10.5986261040236
"Il18","Il18","neonate",0.469856394155721,0.21823018951579,748344.5,0.526445211237386,1.55192517414522e-05,0.000429797055172995,11.8996415770609,6.77134445534838
"Ccl11","Ccl11","neonate",0.678102347119797,0.212356666062407,748896.5,0.526833532066366,0.000331321237736035,0.00446388208138955,17.6344086021505,12.3650637880275
"Ifitm1","Ifitm1","neonate",0.75143230899116,0.20638055807839,748921.5,0.526851119060432,0.000575393471859178,0.0063040361697099,19.3548387096774,13.9352306182532
"Sla","Sla","neonate",0.913449101697082,0.199415111124658,745584,0.524503255352602,0.00385347491564132,0.0246276569929128,22.7956989247312,18.6457311089303
"Dusp1","Dusp1","neonate",0.81523295994622,0.194778511836322,745493,0.524439238694201,0.00249825403138646,0.0174178969880581,20.6451612903226,15.8979391560353
"Igkc","Igkc","neonate",0.726354101714459,0.19331833247375,740530,0.520947868632189,0.00339804727535306,0.0222885074574145,15.6272401433692,11.4818449460255
"Gpbar1","Gpbar1","neonate",0.285273690460538,0.18950497008952,743790.5,0.523241564398296,4.90012333891617e-07,3.48958783492816e-05,7.24014336917563,2.64965652600589
"Ccl8","Ccl8","neonate",0.387687780153527,0.188478066095229,741668.5,0.521748780341961,8.70743663653959e-05,0.0016379838352132,9.60573476702509,5.39744847890088
"Efna4","Efna4","neonate",0.44906555989385,0.187484571481683,742883.5,0.522603508253576,0.000221242366084045,0.00361604326206218,11.5412186379928,7.26202158979392
"Pnoc","Pnoc","neonate",0.34755230280201,0.184518251342185,743122,0.522771288176967,1.6858238523431e-05,0.000442306942312124,8.96057347670251,4.51422963689892
"Tyms","Tyms","neonate",0.30667751018201,0.183166502804702,741614,0.521710440694897,7.66432192157168e-06,0.000254710965193565,7.67025089605735,3.43473994111874
"Il10","Il10","neonate",0.45935863986938,0.181070868204578,742119,0.522065697975034,0.000336999132983429,0.00447984180779305,11.6845878136201,7.36015701668302
"Itga6","Itga6","neonate",0.488865701649816,0.179210345873496,742465.5,0.52230945371279,0.000538613328775919,0.00610224419079081,12.7598566308244,8.4396467124632
"Bcl6","Bcl6","neonate",0.692414093177446,0.178828687510921,744097.5,0.523457532685428,0.00209333910285903,0.0154596969300033,18.1362007168459,13.4445534838077
"Elane","Elane","neonate",0.468488252856059,0.175268535249179,742226,0.522140970309637,0.00040324039955382,0.00490281315067266,12.0430107526882,7.75269872423945
"Ramp2","Ramp2","neonate",0.632950112805155,0.17304512390289,741890.5,0.521904952849269,0.00239614334184473,0.0169429426370156,16.0573476702509,11.5799803729146
"Spry4","Spry4","neonate",0.430141577775132,0.16931084733838,740641,0.521025954885843,0.000412068867788146,0.00493089801794145,10.8960573476703,6.77134445534838
"Ccr7","Ccr7","neonate",0.435215796983302,0.16927024955905,740843,0.521168057797897,0.000386927463931049,0.00490281315067266,10.9677419354839,6.77134445534838
"Ccr9","Ccr9","neonate",0.41944057050813,0.168956207565756,742161.5,0.522095595864946,0.000176383460261906,0.00293090516468534,10.8243727598566,6.37880274779195
"Myl12b","Myl12b","neonate",0.782854181436742,0.168676361358293,741023.5,0.521295035895055,0.00836655097592826,0.0419168408190978,20.2867383512545,16.2904808635918
"Ms4a4b","Ms4a4b","neonate",0.443579675051705,0.166669192550614,739415.5,0.52016384043672,0.000878335243330983,0.0084708252279521,11.1827956989247,7.26202158979392
"Top2a","Top2a","neonate",0.487612818958433,0.165949383498105,739797,0.52043221796617,0.00149885422614746,0.0121967132038447,12.5448028673835,8.63591756624141
"Xcl1","Xcl1","neonate",0.398384068934316,0.1659122529085,740202.5,0.520717479009923,0.000326409681107123,0.00445795139813426,10.2508960573477,6.18253189401374
"Marcksl1","Marcksl1","neonate",0.654243541259031,0.165164424292088,738155,0.519277104195905,0.00901720086173397,0.0447245864422961,16.415770609319,12.9538763493621
"Icos","Icos","neonate",0.360878346963631,0.163931479428754,740546.5,0.520959476048273,0.000139204258773687,0.00243485343855027,9.46236559139785,5.29931305201178
"Tnfrsf13c","Tnfrsf13c","neonate",0.309881365698124,0.162684102126035,739230.5,0.520033696680631,5.72252335675393e-05,0.00116435832381299,7.88530465949821,3.92541707556428
"Vpreb3","Vpreb3","neonate",0.244577386973871,0.162630983941043,738877,0.519785016584535,3.80479138151728e-06,0.000145899115668182,6.16487455197133,2.25711481844946
"Cd276","Cd276","neonate",0.404392916244259,0.158706342660553,738221.5,0.519323885600121,0.00106308047996146,0.00929729156597877,10.5376344086022,6.86947988223749
"Wif1","Wif1","neonate",0.258613136914456,0.156088683559894,738861.5,0.519774112648214,1.10632513625288e-05,0.00032441357671886,6.66666666666667,2.74779195289499
"Sod2","Sod2","neonate",0.616114339210775,0.155287082720509,738246,0.519341120854306,0.0081692000494187,0.0414284595602288,16.1290322580645,12.5613346418057
"Ccl19","Ccl19","neonate",0.392353813946198,0.154079519850015,737876,0.519080833342127,0.000984346622818511,0.00898139343790576,10.179211469534,6.47693817468106
"Tnfrsf10b","Tnfrsf10b","neonate",0.398345380356316,0.152459542493222,737007.5,0.518469861168269,0.00160410725128877,0.0125928734609048,10.3225806451613,6.77134445534838
"Bcl2","Bcl2","neonate",0.499289699179898,0.152425449235489,737250.5,0.518640806750592,0.00432100030578978,0.0263852247196052,12.7598566308244,9.22473012757605
"Calm1","Calm1","neonate",0.559540394193705,0.151805201133666,739385.5,0.520142736043841,0.00373028326193943,0.0241499507282702,14.6953405017921,10.5986261040236
"Angptl1","Angptl1","neonate",0.362675024536608,0.151335340431952,738566,0.519566234378352,0.000388800904143623,0.00490281315067266,9.39068100358423,5.49558390578999
"Pdcd1lg2","Pdcd1lg2","neonate",0.327617930299045,0.149013653194533,737589,0.518878934650247,0.000322156067185461,0.00445795139813426,8.53046594982079,4.80863591756624
"Rnf43","Rnf43","neonate",0.314471174782213,0.148323845660781,735746.5,0.517582773187572,0.000588637577996907,0.00637903983981431,8.02867383512545,4.61236506378803
"Ccl3","Ccl3","neonate",0.331531135580353,0.148011767110357,736731,0.518275349013897,0.0003983250898974,0.00490281315067266,8.24372759856631,4.61236506378803
"Ms4a1","Ms4a1","neonate",0.311056395347206,0.147767346646192,736893,0.518389312735446,0.000275346928836514,0.00403707188308831,7.95698924731183,4.31795878312071
"Ifit3/b","Ifit3/b","neonate",0.357669516642166,0.146010235253029,737356,0.518715023865551,0.000649443297848319,0.00675202236660761,9.24731182795699,5.49558390578999
"Cd27","Cd27","neonate",0.457517697928387,0.145866327243341,735756.5,0.517589807985199,0.00456035704534433,0.0275556119648988,11.4695340501792,8.04710500490677
"Cd200r3","Cd200r3","neonate",0.216014358610391,0.144876792470413,736329,0.517992550149314,7.15976645600504e-06,0.000252542223439906,5.44802867383513,1.86457311089303
"Aicda","Aicda","neonate",0.354457946611713,0.144405271383754,737004.5,0.518467750728981,0.000837202311928503,0.00818324220581095,9.31899641577061,5.6918547595682
"Ccl9","Ccl9","neonate",0.468047791284229,0.14206765367999,736669,0.518231733268613,0.00434019744635431,0.0263852247196052,12.258064516129,8.63591756624141
"Hspa1a","Hspa1a","neonate",0.364619720099516,0.140822266459518,735603,0.517481823841633,0.00182973091104364,0.0136137441664963,9.46236559139785,6.08439646712463
"Gh","Gh","neonate",0.314845091587744,0.140737704268179,735394.5,0.517335148311121,0.000755213329077354,0.00776234731020745,8.10035842293907,4.71050049067713
"Apod","Apod","neonate",0.42172768179517,0.140420731865374,734559,0.51674739096943,0.00507871973522294,0.0289599593677481,10.6093189964158,7.36015701668302
"Adgra2","Adgra2","neonate",0.497183211372235,0.140347932842888,734949.5,0.517022099816744,0.0102049578313964,0.0487674113903593,12.9749103942652,9.8135426889107
"Col6a2","Col6a2","neonate",0.5419090912653,0.139774956020555,735979.5,0.517746683972269,0.0102938606762787,0.0487674113903593,14.2652329749104,10.8930323846909
"Pigr","Pigr","neonate",0.272785277411661,0.138327714520967,736603.5,0.51818565534416,0.0001308545405112,0.00232967815874404,7.16845878136201,3.53287536800785
"Chek2","Chek2","neonate",0.327845098379839,0.137373246173084,735001.5,0.517058680764401,0.00122842871674292,0.0103791816151923,8.45878136200717,5.10304219823356
"Vwa1","Vwa1","neonate",0.328593447778972,0.137188254923535,736185,0.517891249063493,0.000772213970062626,0.00785609518522896,8.67383512544803,5.10304219823356
"Cpa3","Cpa3","neonate",0.277198871528428,0.137026078549395,734412,0.516643979444321,0.000507818988509885,0.00581948886832593,7.09677419354839,3.82728164867517
"Lum","Lum","neonate",0.317276301125062,0.13599686777637,735323,0.517284849508092,0.000990926056338649,0.00898139343790576,8.38709677419355,5.00490677134446
"Cd79a","Cd79a","neonate",0.346148289009317,0.135368739495212,735350,0.517303843461683,0.00153081811459256,0.0122610925145903,9.03225806451613,5.5937193326791
"Ube2c","Ube2c","neonate",0.358935023471765,0.133596372868016,732701,0.515440325570434,0.00522825269192941,0.029616863260532,9.03225806451613,6.08439646712463
"Cd6","Cd6","neonate",0.376691444777016,0.131332796811548,735230.5,0.517219777630047,0.00246741931305713,0.0173240637684363,9.74910394265233,6.28066732090285
"Cyp2u1","Cyp2u1","neonate",0.262232722863946,0.130352881932776,731480,0.514581376780244,0.00153724830925154,0.0122610925145903,6.45161290322581,3.63101079489696
"Ramp3","Ramp3","neonate",0.277507450217663,0.129352012087439,733068.5,0.515698854383207,0.00104110790614992,0.00928325026134357,7.02508960573477,3.92541707556428
"Ackr4","Ackr4","neonate",0.345835250974549,0.129338089613236,733212.5,0.515800155469028,0.00399004566156863,0.0253380606661396,8.96057347670251,5.88812561334642
"Il23a","Il23a","neonate",0.25864687171485,0.129149358765645,733068.5,0.515698854383207,0.000562367354795296,0.00622978058589901,6.45161290322581,3.33660451422964
"Ccl21a/b/d","Ccl21a/b/d","neonate",0.334825684370369,0.127078443165011,732734.5,0.515463892142483,0.00384116491003036,0.0246276569929128,8.53046594982079,5.49558390578999
"Gpnmb","Gpnmb","neonate",0.342043606563021,0.12652570948929,732739,0.515467057801415,0.0047236316732103,0.0279566162181958,8.88888888888889,5.88812561334642
"Tnfsf8","Tnfsf8","neonate",0.386580062994828,0.124931999102007,732911.5,0.515588408060471,0.00801032637720053,0.0411664711240666,10.179211469534,7.16388616290481
"Cldn4","Cldn4","neonate",0.26382564629588,0.124456821371894,732842.5,0.515539867956849,0.000956799240524621,0.00883267447039858,6.81003584229391,3.72914622178607
"Mzb1","Mzb1","neonate",0.219771251739429,0.122383230470135,732795,0.515506452668123,0.000257742217507532,0.00391770167017018,5.73476702508961,2.64965652600589
"Itga2","Itga2","neonate",0.263528777672516,0.120311419121171,732674,0.515421331616843,0.00113496670303619,0.00983966785153984,6.88172043010753,3.82728164867517
"Cxcr5","Cxcr5","neonate",0.353517433491491,0.117323825589008,731009.5,0.514250389551919,0.0103208864627541,0.0487674113903593,9.03225806451613,6.28066732090285
"Ntrk2","Ntrk2","neonate",0.387372560468186,0.116894286896981,733406.5,0.515936630542981,0.00706266222428984,0.0384780012984534,10.3942652329749,7.16388616290481
"Ccr10","Ccr10","neonate",0.361617208518735,0.116863838338651,731617,0.514677753507726,0.0103802153468853,0.0488163900983237,9.60573476702509,6.77134445534838
"Il17d","Il17d","neonate",0.246031980299558,0.116517687236072,731632,0.514688305704166,0.00147799917792636,0.0121782246313436,6.52329749103943,3.63101079489696
"Tnfrsf4","Tnfrsf4","neonate",0.288807848930829,0.116316828656531,732608,0.515374901952508,0.00214704094465796,0.0156248162176933,7.59856630824373,4.51422963689892
"Prtn3","Prtn3","neonate",0.218398936322054,0.116102180777053,731069.5,0.514292598337677,0.00079814375434948,0.00797647021628577,5.66308243727599,2.8459273797841
"Ctsg","Ctsg","neonate",0.189743072327347,0.113754378787241,730923,0.51418953855245,0.000259346349279069,0.00391770167017018,4.87455197132617,2.06084396467125
"Col6a1","Col6a1","neonate",0.328488979201975,0.113559384914971,731330.5,0.514476206555728,0.008185964426645,0.0414284595602288,8.81720430107527,5.98626104023552
"Phlda2","Phlda2","neonate",0.23888216164737,0.111347826520423,729966,0.513516308419598,0.00255999182190904,0.017724387822523,6.09318996415771,3.43473994111874
"Ppara","Ppara","neonate",0.209674721394147,0.110830779542648,728902.5,0.512768157692024,0.00178986444774508,0.0135189004121352,5.16129032258065,2.64965652600589
"Cd209e","Cd209e","neonate",0.261637369143362,0.110547251042272,728812,0.512704492773504,0.00753977551145551,0.0395314547307415,6.66666666666667,4.2198233562316
"Cd28","Cd28","neonate",0.26075983327866,0.108813095944409,729723.5,0.513345714577156,0.00500240903222847,0.0289599593677481,6.73835125448029,4.12168792934249
"Cd163","Cd163","neonate",0.194741790732105,0.108343526852586,730311.5,0.513759360677592,0.000597509995695912,0.00640556414740671,5.08960573476702,2.35525024533857
"Ptk6","Ptk6","neonate",0.194315631521108,0.108248971362212,729381,0.51310477275845,0.000956527945993961,0.00883267447039858,4.94623655913978,2.35525024533857
"Upk3a","Upk3a","neonate",0.201146004915221,0.104314825947063,729730,0.513350287195613,0.00121938001162046,0.0103791816151923,5.30465949820788,2.64965652600589
"Scgb3a1","Scgb3a1","neonate",0.246321987470678,0.10335098939134,728227,0.512292957112356,0.0073526140661467,0.0393249925583884,6.23655913978495,3.82728164867517
"Ephb6","Ephb6","neonate",0.276527924263238,0.102328532590535,729419,0.51313150498943,0.00835022019463924,0.0419168408190978,7.31182795698925,4.71050049067713
"Myh11","Myh11","neonate",0.22735488663518,0.100304705006528,728396,0.512411845192243,0.00470912118720242,0.0279566162181958,5.80645161290323,3.33660451422964
"Oasl1","Oasl1","neonate",0.228282806552949,0.09933485223741,727685,0.511911671081002,0.00737590131235569,0.0393249925583884,5.87813620071685,3.53287536800785
"Il1r2","Il1r2","neonate",0.145586682286702,0.0961122486022808,727474.5,0.511763588590965,0.000562022122097043,0.00622978058589901,3.79928315412186,1.4720314033366
"Casp3","Casp3","neonate",0.239558169500792,0.0942917258664177,728660.5,0.512597915589463,0.006797114756205,0.0372347440216285,6.45161290322581,3.92541707556428
"Klra17","Klra17","neonate",0.242451052373918,0.0934353762038438,728334.5,0.512368581186841,0.00721284170254364,0.0390826259643261,6.30824372759857,3.82728164867517
"Ephb2","Ephb2","neonate",0.20440832005536,0.0930602289184765,727852,0.512029152201364,0.0049545812006307,0.0288872365908118,5.51971326164875,3.14033366045142
"Cd19","Cd19","neonate",0.198628328651796,0.0919223098586201,726956,0.511398834334033,0.00508324261720754,0.0289599593677481,5.01792114695341,2.74779195289499
"Erbb2","Erbb2","neonate",0.196047894592284,0.0913781139418179,726762,0.51126235926008,0.00661507954701641,0.0364377586098086,5.16129032258065,2.94406280667321
"Npr3","Npr3","neonate",0.141790852705781,0.0908171370256502,726418.5,0.511020713961611,0.00104285258703157,0.00928325026134357,3.65591397849462,1.4720314033366
"Itm2a","Itm2a","neonate",0.198124179343186,0.0851367739261906,727007,0.511434711801928,0.00606319663254382,0.0337709890650625,5.23297491039427,2.94406280667321
"Sox9","Sox9","neonate",0.144997935034061,0.0829740671407304,724508,0.509676715875076,0.00426483473005118,0.0263852247196052,3.584229390681,1.66830225711482
"Il17a","Il17a","neonate",0.13275899702944,0.0698438236596325,723385,0.508886708101625,0.00773298934739854,0.0399471223374242,3.44086021505376,1.66830225711482
"Ddr2","Ddr2","neonate",0.147898077260742,-0.0876941873431045,694150,0.488320477240671,0.00887981208513759,0.0442658632444109,3.9426523297491,6.28066732090285
"Tlr8","Tlr8","neonate",0.120311535495225,-0.0909202732381676,694076.5,0.488268771478116,0.00429513672457244,0.0263852247196052,3.15412186379928,5.49558390578999
"Krt7","Krt7","neonate",0.246190612589847,-0.122685877634192,689255,0.484876943802519,0.00598253648138383,0.0335089262468521,6.45161290322581,9.42100098135427
"Fhit","Fhit","neonate",0.33097093020038,-0.136954878185305,686878.5,0.483205124146591,0.00749475326170607,0.0395314547307415,8.96057347670251,12.1687929342493
"Hdac4","Hdac4","neonate",0.544234218613737,-0.144524483945516,682670,0.480244529565496,0.0095671079773008,0.0467568953596515,14.4802867383513,18.4494602551521
"Vcan","Vcan","neonate",0.540366998329948,-0.155310634050859,682057.5,0.479813648210875,0.00757322753618017,0.0395314547307415,14.2652329749104,17.9587831207066
"Ccr5","Ccr5","neonate",0.335879975555534,-0.156730838632588,681622.5,0.479507634514124,0.00105843284354191,0.00929729156597877,8.45878136200717,12.6594700686948
"Vegfc","Vegfc","neonate",0.433453639706291,-0.160121378087714,679202.5,0.477805213488521,0.0015047098536338,0.0121967132038447,11.2544802867384,15.7998037291462
"Cd8b1","Cd8b1","neonate",0.426712114323897,-0.163306210052755,684972.5,0.481864291718988,0.00773299359189856,0.0399471223374242,10.9677419354839,14.3277723258096
"Ar","Ar","neonate",0.582850328431971,-0.163759410720887,681849.5,0.479667324420245,0.00906155111468788,0.0447245864422961,15.4838709677419,19.1364082433759
"Igha","Igha","neonate",0.599401895998806,-0.165027874636224,681017,0.479081677517842,0.00737197898720302,0.0393249925583884,15.4838709677419,19.3326790971541
"Sell","Sell","neonate",0.617509438107641,-0.16701849762617,681997.5,0.479771439425116,0.0101417048125969,0.0487674113903593,15.84229390681,19.6270853778214
"Il18r1","Il18r1","neonate",0.378597638981698,-0.168336619506449,683287.5,0.48067892831893,0.00334405673209839,0.0220796328602788,9.96415770609319,13.5426889106968
"Rag1","Rag1","neonate",0.645266372797172,-0.173147345769946,679087.5,0.477724313315817,0.00589746072154461,0.0332190301659886,16.9175627240143,21.099116781158
"Ddr1","Ddr1","neonate",0.546520390270961,-0.178042446988074,677668,0.476725723792741,0.00234277700212301,0.0166839190794046,14.336917562724,18.9401373895976
"Foxf1","Foxf1","neonate",0.723734680981174,-0.17893915182349,678795.5,0.477518897225124,0.00754034102599256,0.0395314547307415,18.9247311827957,22.963689892051
"Cd8a","Cd8a","neonate",0.402088358193457,-0.180185569904794,682141,0.479872388771056,0.00227440295307254,0.0164317372769082,9.89247311827957,13.738959764475
"Rigi","Rigi","neonate",0.659567166670482,-0.181176235675444,676950.5,0.476220977063042,0.0036307020085799,0.023658888251988,17.2043010752688,21.8842001962709
"Nlrp2","Nlrp2","neonate",0.620541061457811,-0.182740289630443,678386,0.477230822262321,0.00418748755681278,0.0263852247196052,16.2007168458781,20.215897939156
"Klrk1","Klrk1","neonate",0.626549399303782,-0.182865889372275,678204,0.477102788945519,0.00422141960453283,0.0263852247196052,16.3440860215054,20.7065750736016
"Ryk","Ryk","neonate",0.637473737572782,-0.18816488730876,676807.5,0.476120379456984,0.00316040905326794,0.0211471666181754,16.8458781362007,21.1972522080471
"Dhrs2","Dhrs2","neonate",0.579002982649133,-0.188467927153694,675857.5,0.47545207368247,0.00166369540177837,0.0128581729889383,15.0537634408602,19.9214916584887
"Itgam","Itgam","neonate",0.894874281126201,-0.188468075289229,677853,0.47685586754883,0.0103122961523214,0.0487674113903593,22.9390681003584,27.3797841020608
"Krt6a","Krt6a","neonate",0.605176815485248,-0.192753133981092,676960.5,0.476228011860669,0.00261500456832842,0.0178572572234482,15.7706093189964,20.1177625122669
"Esr1","Esr1","neonate",0.690290207673403,-0.193049760702032,676161,0.475665579790433,0.00329120403716539,0.021875536167026,17.8494623655914,22.4730127576055
"Cidea","Cidea","neonate",0.636556605678743,-0.193787554793526,675325,0.475077470708861,0.00212321541916385,0.0155650424478408,16.9175627240143,21.3935230618253
"Col18a1","Col18a1","neonate",0.487909255314204,-0.195095104403039,674806,0.474712364712048,0.000650144580937142,0.00675202236660761,13.0465949820789,17.9587831207066
"H2-Ob","H2-Ob","neonate",1.38030697356447,-0.196781445471141,672717,0.473242795487881,0.00931417094077433,0.0457449676253793,34.910394265233,39.450441609421
"Smarcb1","Smarcb1","neonate",0.555459045692704,-0.198219453821224,674128,0.474235405432974,0.000921182347881456,0.00866432830979067,14.8387096774194,19.8233562315996
"Vegfa","Vegfa","neonate",1.02298059681996,-0.198720778337289,676441.5,0.475862905863856,0.00981179118554559,0.0477188088389705,25.5197132616487,29.9313052011776
"Cxcl2","Cxcl2","neonate",0.615938241162988,-0.200022920186804,674563.5,0.474541770869607,0.00142289695988417,0.0118219022417043,15.9856630824373,20.9028459273798
"Thbs1","Thbs1","neonate",0.533529160237687,-0.205052715302699,672206,0.472883317329169,0.000397728104883269,0.00490281315067266,14.0501792114695,19.4308145240432
"Serpinh1","Serpinh1","neonate",0.955019824241913,-0.205572542868549,673200,0.473582576213239,0.00433786887649773,0.0263852247196052,24.5161290322581,29.6368989205103
"Smad3","Smad3","neonate",0.77758534015032,-0.208494051904285,671738.5,0.472554440540132,0.00157929894411043,0.0124965162482389,20,25.711481844946
