"feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"Il12rb1","Adult RSV infected",0,-0.656538481194838,100.5,0.375,5.54003810775565e-05,0.00690427249179048,0,25
"Spry2","Adult RSV infected",0,-0.656538481194838,100.5,0.375,5.54003810775565e-05,0.00690427249179048,0,25
"Cdh11","Adult RSV infected",0,-0.675153805653673,100.5,0.375,5.54003810775565e-05,0.00690427249179048,0,25
"Ptk2","Adult RSV infected",0,-0.675153805653673,100.5,0.375,5.54003810775565e-05,0.00690427249179048,0,25
"Ephb6","Adult RSV infected",0,-0.734222943382764,100.5,0.375,5.54003810775565e-05,0.00690427249179048,0,25
"Il1r2","Adult RSV infected",0,-0.734222943382764,100.5,0.375,5.54003810775565e-05,0.00690427249179048,0,25
"Rgs2","Adult RSV infected",0,-0.811538667930299,100.5,0.375,5.54003810775565e-05,0.00690427249179048,0,25
"Hspb1","Adult RSV infected",0.121059321847683,-1.21063296500083,72,0.26865671641791,0.00054525774882729,0.0494201795982552,4.47761194029851,50
"Map1lc3b","Adult RSV infected",0.115808261518215,-1.26621284760624,72,0.26865671641791,0.00054525774882729,0.0494201795982552,4.47761194029851,50
"Epha2","Adult RSV infected",0,-1.33169228684851,67,0.25,7.22482580689944e-09,7.20315132947874e-06,0,50
"Spn","Adult RSV infected",0.111613383024727,-1.45501640464427,71,0.264925373134328,0.000441917157612049,0.0489546006821348,4.47761194029851,50
