"feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"Adgrg3","Adult RSV infected",0.0237854362963036,-0.542193551662419,172,0.380530973451327,0.000351469985665571,0.0250296839791839,0.884955752212389,25
"Hif1a","Adult RSV infected",0.0218060353541883,-0.544172952604535,172,0.380530973451327,0.000351469985665571,0.0250296839791839,0.884955752212389,25
"Col5a3","Adult RSV infected",0,-0.565978987958723,169.5,0.375,1.37890421626285e-07,3.43691875903515e-05,0,25
"Ms4a1","Adult RSV infected",0.0262952538277614,-0.66920821184708,172,0.380530973451327,0.000351469985665571,0.0250296839791839,0.884955752212389,25
"S100b","Adult RSV infected",0.0256963947068303,-0.669807070968011,172,0.380530973451327,0.000351469985665571,0.0250296839791839,0.884955752212389,25
"Cldn4","Adult RSV infected",0.0248752883764772,-0.670628177298364,172,0.380530973451327,0.000351469985665571,0.0250296839791839,0.884955752212389,25
"Trmt5","Adult RSV infected",0.0238992497576521,-0.671604215917189,171,0.378318584070796,0.000271709056109901,0.0250296839791839,0.884955752212389,25
"Mzb1","Adult RSV infected",0.0186144427461636,-0.676889022928677,171,0.378318584070796,0.000271709056109901,0.0250296839791839,0.884955752212389,25
"Srebf1","Adult RSV infected",0,-0.695503465674841,169.5,0.375,1.37890421626285e-07,3.43691875903515e-05,0,25
"Fkbp5","Adult RSV infected",0,-0.725923150467956,169.5,0.375,1.37890421626285e-07,3.43691875903515e-05,0,25
"Col16a1","Adult RSV infected",0.0267758560898462,-0.834152870823443,171,0.378318584070796,0.000271709056109901,0.0250296839791839,0.884955752212389,25
"Prox1","Adult RSV infected",0.0231357709096559,-0.860893403980726,171,0.378318584070796,0.000271709056109901,0.0250296839791839,0.884955752212389,25
"Cd69","Adult RSV infected",0.0481113102254559,-1.37879640464656,116,0.256637168141593,1.81470550874197e-07,3.61852278443148e-05,1.76991150442478,50
"Ier3","Adult RSV infected",0.167314476305466,-1.38911771628267,125.5,0.277654867256637,0.000607379430282176,0.0403704861327553,5.30973451327434,50
"Adgrg1","Adult RSV infected",0.0291213735918962,-1.39778634128012,115,0.254424778761062,1.41866593410126e-09,1.41440993629895e-06,0.884955752212389,50
