"feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"Ighd","Adult reinfected",1.47238428069598,0.751477492280301,7696,0.646505376344086,4.73390809836322e-05,0.00786617729011355,55.6451612903226,32.2916666666667
"Cd55","Adult reinfected",0.952581351112254,0.541396945429186,7222.5,0.606728830645161,0.000769380177828932,0.0284100754553868,37.9032258064516,18.75
"Col4a1","Adult reinfected",0.751789995966699,0.517749934844514,7132,0.599126344086022,0.000489854894113231,0.0250662295367577,29.8387096774194,11.4583333333333
"Cotl1","Adult reinfected",0.647042633229975,-0.540999048274225,4592,0.385752688172043,0.000856547897474866,0.0285765246743955,27.4193548387097,51.0416666666667
"Il15ra","Adult reinfected",0.354620407750617,-0.547828304371148,4441.5,0.373109879032258,3.93576704014911e-05,0.00786617729011355,16.1290322580645,41.6666666666667
"Hmgb2","Adult reinfected",0.247091215664612,-0.567607987791582,4602.5,0.386634744623656,5.82881480330577e-05,0.0083018976555655,12.0967741935484,33.3333333333333
"Cd52","Adult reinfected",0.581098455729675,-0.612726263935159,4427.5,0.371933803763441,0.000140851116552209,0.0127662330184139,25,48.9583333333333
"H2-D1","Adult reinfected",1.01207663970516,-0.647374250279014,4178,0.350974462365591,7.27439181462198e-05,0.00843429019245221,45.1612903225806,68.75
"Gpx1","Adult reinfected",0.617734616473234,-0.682187615506245,4196,0.352486559139785,2.29182618407668e-05,0.00761650235174815,26.6129032258064,57.2916666666667
"Apoe","Adult reinfected",0.493236741163161,-0.693226515728152,4375,0.367523521505376,4.6218620096773e-05,0.00786617729011355,20.9677419354839,45.8333333333333
