"feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"Ptger4","Adult reinfected",0.117405579330229,-0.510267526668691,477.5,0.350073313782991,0.000543318173220314,0.0300937899278141,5.64516129032258,36.3636363636364
"Dusp1","Adult reinfected",0.131377961503258,-0.53735208592469,480,0.351906158357771,0.00102670817401152,0.0352975189479132,6.45161290322581,36.3636363636364
"Vpreb3","Adult reinfected",0.0579320318164547,-0.547210822326598,513,0.376099706744868,0.000147396989831857,0.0162633108821142,2.41935483870968,27.2727272727273
"Mt1","Adult reinfected",0.179444365542832,-0.610904960954465,440,0.32258064516129,0.00037076739723137,0.024643673002645,8.06451612903226,45.4545454545455
"S100a4","Adult reinfected",0.0305881541584398,-0.627552146363405,447,0.327712609970674,1.27749325758885e-07,6.36830388908043e-05,1.61290322580645,36.3636363636364
"C1qb","Adult reinfected",0.0705306296664152,-0.650887991988616,515,0.377565982404692,0.000491669504289341,0.0288349703397925,3.2258064516129,27.2727272727273
"Mzb1","Adult reinfected",0.123416912142922,-0.651015270742048,475.5,0.348607038123167,0.000478801502959082,0.0288349703397925,5.64516129032258,36.3636363636364
"Bmp5","Adult reinfected",0.133856642448075,-0.68307870879985,474,0.347507331378299,0.00072258345790659,0.0319313231831059,6.45161290322581,36.3636363636364
"Ccl11","Adult reinfected",0.106956895312974,-0.715600504563306,411,0.301319648093842,4.52207196374415e-06,0.00112712643696323,4.83870967741935,45.4545454545455
"Runx3","Adult reinfected",0.311019618708155,-0.843117792000113,406.5,0.298020527859238,0.00058307011401346,0.0305958370353379,12.9032258064516,54.5454545454545
"Ccl8","Adult reinfected",0.031165283887425,-0.970734046855539,441,0.323313782991202,6.05416461517486e-08,6.03600212132933e-05,1.61290322580645,36.3636363636364
"Cotl1","Adult reinfected",0.647042633229975,-1.07145951383014,340,0.249266862170088,0.000892996389641752,0.0319313231831059,27.4193548387097,81.8181818181818
"Nfkbia","Adult reinfected",0.562608421024062,-1.08956569905664,354,0.259530791788856,0.000896767351180505,0.0319313231831059,24.1935483870968,72.7272727272727
"Mgp","Adult reinfected",0.565300416973604,-1.24293436367993,318,0.233137829912023,0.000227691347457101,0.0162633108821142,23.3870967741935,81.8181818181818
"H2-D1","Adult reinfected",1.01207663970516,-1.53940413387208,212,0.155425219941349,5.26913185568079e-05,0.00836880997558485,45.1612903225806,100
