"feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"Ccl5","Adult RSV infected",1.04160741028592,0.737902224202741,7766.5,0.616584630041283,0.000361456058808633,0.00312878178027424,34.0425531914894,11.9402985074627
"Cd74","Adult RSV infected",0.955581656445679,0.696045142566847,7670.5,0.60896316290886,0.000715836953063906,0.00502598198735714,31.9148936170213,13.4328358208955
"B2m","Adult RSV infected",2.60788090990273,0.695429994973373,8576,0.680851063829787,1.05832851740632e-05,0.000198787257870935,85.6382978723404,74.6268656716418
"Uba52","Adult RSV infected",1.94177495616935,0.633777897056143,8028,0.637345188948873,0.000638099437779216,0.00464368714938597,68.0851063829787,53.7313432835821
"H2-K1","Adult RSV infected",1.9502099784393,0.567560547594264,7893.5,0.626667195935218,0.00167694172695669,0.0104494431360989,68.6170212765958,56.7164179104478
"Nkg7","Adult RSV infected",0.819997753761255,0.553786130655351,7698,0.611146395681169,0.000673088135044117,0.00479334907599275,33.5106382978723,13.4328358208955
"Ncr1","Adult RSV infected",0.212988231465123,-0.508626555983325,4640,0.368370911400445,9.45980672020261e-07,3.24295424488892e-05,9.57446808510638,37.3134328358209
"Rgs5","Adult RSV infected",0.0700265264177973,-0.508683988599834,4382,0.347888218482058,2.03364487438366e-11,5.06885984940127e-09,3.19148936170213,34.3283582089552
"Gata3","Adult RSV infected",0.174530216526599,-0.517651429307985,4530.5,0.359677675452525,7.22866915331022e-08,4.80465543056686e-06,7.97872340425532,37.3134328358209
"Ly6d","Adult RSV infected",0.174817896934035,-0.535153396487393,4535,0.360034931724357,1.05646055129685e-07,5.85161760912753e-06,8.51063829787234,37.3134328358209
"Ffar2","Adult RSV infected",0.124134611651603,-0.538861026955303,4916.5,0.390322324547475,6.08481960307243e-07,2.42662605770529e-05,4.78723404255319,26.865671641791
"Sox4","Adult RSV infected",0.591363510120087,-0.557820038650485,4634.5,0.367934264845983,0.000131148078114214,0.00140596380515991,25.531914893617,55.2238805970149
"Il20ra","Adult RSV infected",0.114780495895966,-0.558574929968102,4507,0.357812003810734,3.17620011981991e-09,3.51852391051161e-07,5.31914893617021,34.3283582089552
"Adm2","Adult RSV infected",0.295858139354322,-0.57203234024171,4514.5,0.358407430930454,1.470928816686e-06,4.3132824418704e-05,13.2978723404255,43.2835820895522
"Fzd8","Adult RSV infected",0.181333683794943,-0.587735116841218,4431,0.351778342330899,2.48214055670621e-08,2.06224511253008e-06,8.51063829787234,38.8059701492537
"Il1b","Adult RSV infected",0.0299923072765628,-0.598701165302199,4327.5,0.343561448078755,1.76666959222717e-13,5.87123194483495e-11,1.59574468085106,32.8358208955224
"Myc","Adult RSV infected",0.368844901066465,-0.607206728586413,4399,0.349237853286758,1.7281866545253e-06,4.65676241773439e-05,17.0212765957447,49.2537313432836
"Ror1","Adult RSV infected",0.252818958603271,-0.618679567160016,4376.5,0.347451571927596,8.97103045531256e-08,5.57003933783395e-06,11.1702127659574,43.2835820895522
"Parp1","Adult RSV infected",0.394070153779055,-0.671309889709983,4243.5,0.336892664337885,4.07748901452007e-07,1.69385689478188e-05,18.0851063829787,52.2388059701493
"Il20","Adult RSV infected",0.0840303700056151,-0.729175811125476,3949.5,0.31355192124484,7.35290395681555e-14,3.66542262247255e-11,4.25531914893617,41.7910447761194
