"feature.feature","feature.group","feature.avgExpr","feature.logFC","feature.statistic","feature.auc","feature.pval","feature.padj","feature.pct_in","feature.pct_out"
"Adm2","0",1.17491878101466,0.79140183455913,27162907514.4883,0.666154538578622,0,0,49.0695152182895,17.2798035226878
"Areg","0",0.803330055059841,0.578619113086696,25709927255.0508,0.630521041178789,0,0,36.3319446357251,10.5692029790702
"Cd274","0",1.12790370880656,0.770672952884737,27063226375.9727,0.663709916521965,0,0,47.7361933617959,16.2826013869657
"Cd4","0",0.807594817813271,0.602657001110785,25926097793.0469,0.635822498134981,0,0,36.5049579947666,9.72414539776969
"Cd68","0",1.17252869286756,0.653432171184962,26019180340.6836,0.638105293580851,0,0,49.2786806225038,22.8387780569944
"Cenpf","0",0.834751894968816,0.58639856139367,25667417009.4688,0.629478502083316,0,0,37.0308841757334,11.6256674131437
"Dst","0",1.10566809728381,0.634968822815293,25923051599.1406,0.635747791997762,0,0,47.0932034155075,21.1218808941769
"H2-Q10","0",0.903745331493216,0.600470624651912,25709172132.0469,0.630502522225471,0,0,39.4375774686682,13.9186624955126
"Hdac11","0",1.09436067176341,0.716173011977437,26624232995.7227,0.652943858709356,0,0,46.6309736950833,17.1393404789989
"Il20","0",0.804772128185373,0.575081661515039,25677853777.4531,0.629734457759533,0,0,36.3913372813662,10.7774757679881
"Klrb1","0",0.897936145118648,0.585967321034926,25578253654.3984,0.627291822560025,0,0,39.1707409447734,14.2594207110336
"Ly75","0",0.894518493976995,0.582166375687947,25560496338.207,0.626856334688648,0,0,39.1561079741083,14.3807944566958
"Mmp9","0",0.938557033205145,0.613691535286961,25825528704.3672,0.633356099616009,0,0,40.8965707202865,14.8115857793277
"Myc","0",1.09946112004073,0.707227804808504,26543729390.957,0.650969554535256,0,0,46.7824679796171,17.7886615268019
"Ncr1","0",0.829120350518967,0.591481657153931,25805121453.2344,0.632855623628496,0,0,37.2934168847266,11.0566923659903
"Parp1","0",1.18943290700529,0.772990479255403,27013241957.8867,0.662484077684631,0,0,49.6866822751687,18.7217578109419
"Ror1","0",1.18079504738519,0.756047034210936,26901557172.1836,0.659745073148882,0,0,49.5739223247487,19.0995549629326
"Sox4","0",1.31470359438782,0.69123797725561,26239626982.4922,0.643511619500743,0,0,53.7666988018179,27.0170550056698
"Stat6","0",1.10531680641206,0.597195884968778,25565548534.25,0.626980236863775,0,0,46.8530505440022,22.6800804599666
"Tlr2","0",0.914300620550778,0.576523286420195,25499130393.3672,0.625351370514713,0,0,39.9118578708167,15.4723034229676
"Apoe","1",0.681384626714329,0.327736601046027,21215097534.4453,0.546104835694897,0,0,23.2521827504966,15.9947955411049
"B2m","1",1.82613224773164,0.589427635941797,23926349684.9336,0.615896073174049,0,0,59.1924978057006,48.141244779521
"C1qb","1",0.48001687727676,0.383346519489656,22057563184,0.567791022354264,0,0,17.70499376357,4.55557320093725
"Ccl5","1",0.622592443883431,0.53277753809534,22673761336.5,0.583652782606846,0,0,20.187554857486,3.82839773433299
"Cd1d1","1",0.456905732459352,0.256251695764328,21218929877,0.54620348529091,0,0,17.908255185476,9.27608428548742
"Cd52","1",0.388183187518203,0.305928721063705,21813353879.5,0.561504749953555,0,0,15.9292280685545,3.78019798118259
"Cd74","1",1.67549789215311,0.825192681925873,24354792405.3594,0.62692475880997,0,0,50.288723610662,29.9234097564102
"Cotl1","1",0.511275514237686,0.35223123770232,22096034373.5,0.568781321955139,0,0,20.5839146302028,7.23442075319776
"H2-Aa","1",0.413002842678371,0.248668138714188,21242487750.5,0.546809896296853,0,0,16.4909687254585,7.50913148502604
"H2-Ab1","1",0.767091115652786,0.408515958607233,22060009140.0508,0.567853984517179,0,0,27.3257264286044,15.5687988788682
"H2-D1","1",1.08164582270712,0.402785513695719,22317851738.9375,0.574491196053519,0,0,39.866956160207,29.9367830983247
"H2-Eb1","1",0.719692137162253,0.455012391672035,22412180188.8477,0.57691933585141,0,0,25.6580588534208,11.5462090754842
"H2-K1","1",1.01877085551588,0.390637580281318,22148056352.5898,0.570120436908406,0,0,37.1922206310343,25.8258735160466
"H2-T23","1",0.470186414579784,0.247463647083037,21243078084.5,0.54682509227941,0,0,19.0723887836652,10.2743485371514
"Il15ra","1",0.740671268544662,0.38875482815255,22124600736.9297,0.569516658155307,0,0,28.0214348408555,15.8499176703638
