"","feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"Col4a1","Col4a1","neonate",1.7731046718951,1.05031850251685,266419.5,0.614875718341065,2.2852757013663e-18,7.59473291420732e-16,38.3449883449883,16.039603960396
"Col4a2","Col4a2","neonate",1.15622257105443,0.829121079896353,257378,0.594008631632394,3.94613452159639e-17,9.835740295079e-15,26.3403263403263,7.52475247524752
"Ighm","Ighm","neonate",4.60713850153651,0.684607913990263,252934.5,0.583753375337534,2.05274210856782e-07,2.92369126034588e-05,83.2167832167832,72.2772277227723
"Gsn","Gsn","neonate",1.90353201906716,0.583611743305449,244044.5,0.563235938978513,5.80942599664889e-06,0.00038613318124393,40.7925407925408,28.7128712871287
"Igfbp7","Igfbp7","neonate",2.63758051727818,0.515776412569969,237015.5,0.547013547508597,0.00216019009546481,0.0398835097255262,57.4592074592075,45.1485148514852
"Sox4","Sox4","neonate",1.53553880232832,0.502489035071392,240879,0.555930208405456,2.52654399108975e-05,0.00125075910231324,35.3146853146853,23.7623762376238
"Stmn1","Stmn1","neonate",1.09202112086128,0.455233096938888,239286,0.552253686907152,7.5163775837904e-06,0.000468364278189939,25.6410256410256,14.8514851485149
"Ctnnb1","Ctnnb1","neonate",1.45529718719044,0.446805320291999,238851.5,0.551250894320201,9.11175277066693e-05,0.00378517396348122,33.5664335664336,23.3663366336634
"Tsc22d1","Tsc22d1","neonate",0.672308129252044,0.426056020422045,238240,0.54983959934455,8.27661744319298e-08,1.37529793181057e-05,16.0839160839161,6.33663366336634
"Col1a2","Col1a2","neonate",1.18004235594529,0.421956103076694,238078,0.549465715802349,4.45493066203624e-05,0.00193111559567397,27.5058275058275,17.8217821782178
"Cd93","Cd93","neonate",1.22591855005718,0.408844876779889,236736.5,0.546369636963696,0.000156551939438704,0.00578082531927364,27.972027972028,19.2079207920792
"Ms4a1","Ms4a1","neonate",2.0273209668391,0.402211221557523,235431.5,0.543357797318193,0.00266317448099575,0.045779050992289,44.1724941724942,35.4455445544554
"Mgp","Mgp","neonate",0.979453625274298,0.39661543560776,236687,0.546255394770246,3.86232333341181e-05,0.00175033471064163,23.0769230769231,13.8613861386139
"Ly6d","Ly6d","neonate",1.16121332352978,0.390189836531114,236176.5,0.545077200027695,0.000195650736607704,0.00696656372849574,27.039627039627,18.4158415841584
"Hsp90b1","Hsp90b1","neonate",1.4471790043786,0.375197121603914,235021,0.542410394885642,0.0012954226242884,0.0274794969450113,33.5664335664336,24.950495049505
"Col1a1","Col1a1","neonate",0.812159383350259,0.374796222947297,235833,0.544284428442844,2.11375676673863e-05,0.00110916605075706,19.4638694638695,10.8910891089109
"Itga8","Itga8","neonate",0.749098880256148,0.355622878788753,234367,0.540901013178241,2.63449760768085e-05,0.00125075910231324,17.016317016317,8.51485148514852
"Hmgb2","Hmgb2","neonate",0.868045255654058,0.338241502325725,232932,0.537589143529738,0.000412161295763031,0.0127854636821687,19.8135198135198,12.6732673267327
"Glul","Glul","neonate",0.762681844631878,0.335590637777972,233529.5,0.538968127581989,0.000109458346734291,0.00436519886776352,17.8321678321678,10.2970297029703
"Mif","Mif","neonate",1.38701291246456,0.328895327884162,233735,0.539442405779039,0.00257838910864765,0.045779050992289,32.2843822843823,25.3465346534653
"Dusp6","Dusp6","neonate",0.932482450626564,0.32688848641454,232512,0.536619815827737,0.000923098135315026,0.0216031618048044,21.4452214452214,14.4554455445545
"Serpinh1","Serpinh1","neonate",0.880348908143651,0.314458232128414,232509.5,0.536614046019987,0.000794279864587484,0.0197138969197201,20.8624708624709,13.8613861386139
"Cd9","Cd9","neonate",0.827775810086057,0.303613686551558,232290,0.536107456899536,0.000706556441663227,0.0185378097983747,19.9300699300699,12.6732673267327
"Mmp2","Mmp2","neonate",0.461410198577236,0.301369967562773,232143,0.535768192203836,3.87436953426792e-06,0.000297134340435779,10.955710955711,3.76237623762376
"Dpp4","Dpp4","neonate",0.664587889527241,0.286855660484931,230941.5,0.532995222599183,0.00056922491067807,0.0154480281462973,15.7342657342657,9.30693069306931
"Hck","Hck","neonate",0.530700411878018,0.267650694877995,229594,0.52988529622193,0.000442593821355159,0.0127854636821687,12.3543123543124,6.53465346534654
