"","feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"Col4a1","Col4a1","neonate",1.45871545783837,1.01669019143301,9154.5,0.619216720779221,3.25020576253958e-05,0.0108015171508399,33.7662337662338,11.4583333333333
"Cd3g","Cd3g","neonate",1.85588709787118,0.86860287939182,8837,0.597740800865801,0.00232948190950658,0.232249346377806,42.8571428571429,22.9166666666667
"Ppia","Ppia","neonate",3.1338300362573,0.853963854081157,8529,0.576907467532468,0.0338756696919902,0.558968792597894,65.5844155844156,46.875
"Selplg","Selplg","neonate",1.79983814428039,0.826801967792197,8754,0.592126623376623,0.00385195264637819,0.295415137572235,42.2077922077922,21.875
"Plcg1","Plcg1","neonate",1.42056657546443,0.825026290714121,8820,0.596590909090909,0.000816336182029385,0.162777434696659,33.1168831168831,13.5416666666667
"Hsp90ab1","Hsp90ab1","neonate",1.29091167821141,0.814483230741835,8859,0.599228896103896,0.000395724176136231,0.0986342509019555,31.1688311688312,11.4583333333333
"Ccr7","Ccr7","neonate",1.3834389051527,0.784901387150645,8735.5,0.590875270562771,0.00153969634462927,0.205319483730706,31.8181818181818,14.5833333333333
"Rack1","Rack1","neonate",1.99169719395263,0.770643722717197,8642,0.584550865800866,0.0100356315402936,0.462534781705739,44.8051948051948,27.0833333333333
"Bcl2","Bcl2","neonate",1.13215822536803,0.691558969012933,8533.5,0.577211850649351,0.00283560563325627,0.235591568029709,25.3246753246753,9.375
"Cd47","Cd47","neonate",1.75620759307322,0.666153176713191,8514,0.575892857142857,0.0176861097677911,0.51861915995552,40.9090909090909,25
"Sox4","Sox4","neonate",2.23287088639748,0.653770384114397,8462.5,0.572409361471861,0.0360582812006578,0.560642317100702,51.9480519480519,36.4583333333333
"Clec2d","Clec2d","neonate",2.23079242013095,0.650149650523794,8563,0.579207251082251,0.0218386071582174,0.539180704756747,51.2987012987013,37.5
"Sod1","Sod1","neonate",2.46325548278711,0.636641340247486,8456.5,0.572003517316017,0.0421499504561368,0.560642317100702,57.1428571428571,42.7083333333333
"Cd2","Cd2","neonate",1.57103041231011,0.632884733778325,8479,0.573525432900433,0.0164027639438785,0.507524199852671,36.3636363636364,20.8333333333333
"Tnfrsf14","Tnfrsf14","neonate",1.53907842607838,0.631089271016981,8374,0.56642316017316,0.0257834676921055,0.539180704756747,33.7662337662338,18.75
"Ctnnb1","Ctnnb1","neonate",1.43186981370423,0.610566005817694,8454,0.571834415584416,0.0159012334592446,0.507524199852671,33.1168831168831,19.7916666666667
"Il27ra","Il27ra","neonate",1.13836931767509,0.600538787391345,8452,0.571699134199134,0.00857855155727326,0.462534781705739,27.2727272727273,13.5416666666667
"Cd52","Cd52","neonate",1.54169162700784,0.59339500979979,8355,0.565137987012987,0.0335082362142866,0.558968792597894,36.3636363636364,20.8333333333333
"Gsn","Gsn","neonate",1.50887107631255,0.593030755018014,8419.5,0.569500811688312,0.0226982455125387,0.539180704756747,35.7142857142857,20.8333333333333
"Fyb","Fyb","neonate",1.71729586962027,0.590753009562915,8385,0.567167207792208,0.033814516117326,0.558968792597894,38.961038961039,25
