"","gene","general_celltype","logFC","padj"
"1","Alcam","Alveolar_bipotent_progenitor",0.980646958063412,1.09215197044614e-95
"2","Anxa2","Alveolar_bipotent_progenitor",0.98622974345508,2.05499833789954e-96
"3","App","Alveolar_bipotent_progenitor",0.820181269070506,1.95892928897057e-40
"4","Ccnd1","Alveolar_bipotent_progenitor",0.694396057288496,1.46222190178075e-67
"5","Cd63","Alveolar_bipotent_progenitor",1.32822319308782,1.8697885826224e-199
"6","Cd74","Alveolar_bipotent_progenitor",4.17696638246043,0
"7","Cd9","Alveolar_bipotent_progenitor",0.692098483673346,5.59898451004803e-32
"8","Cdh1","Alveolar_bipotent_progenitor",0.883195504449874,4.20069602268942e-107
"9","Chil1","Alveolar_bipotent_progenitor",0.867792378475344,9.87319343293927e-57
"10","Clu","Alveolar_bipotent_progenitor",1.23893945904135,0
"11","Ctnnb1","Alveolar_bipotent_progenitor",0.804975542937322,9.79478797797257e-42
"12","Cystm1","Alveolar_bipotent_progenitor",0.838321006895706,1.60050885294174e-89
"13","Etv5","Alveolar_bipotent_progenitor",1.05023875467767,2.49204926732714e-108
"14","Ezr","Alveolar_bipotent_progenitor",0.883625976921398,6.70501085587546e-84
"15","Gpx1","Alveolar_bipotent_progenitor",0.78875258044744,1.56571906090696e-42
"16","H2-Aa","Alveolar_bipotent_progenitor",0.770656467216969,9.74093356937104e-96
"17","H2-Ab1","Alveolar_bipotent_progenitor",1.1867032801605,5.36092232262909e-116
"18","H2-Eb1","Alveolar_bipotent_progenitor",0.855968950378093,2.92798723467215e-75
"19","H2-K1","Alveolar_bipotent_progenitor",1.07552608842976,8.84039868061363e-67
"20","Icam1","Alveolar_bipotent_progenitor",1.16044685845915,6.30863323909154e-88
"21","Krt18","Alveolar_bipotent_progenitor",1.03057760291673,1.01775388419815e-124
"22","Krt8","Alveolar_bipotent_progenitor",1.87821476820402,0
"23","Lamp3","Alveolar_bipotent_progenitor",1.50862697626766,5.25666730891376e-237
"24","Ldha","Alveolar_bipotent_progenitor",0.708885848175981,2.06755472243433e-37
"25","Ppia","Alveolar_bipotent_progenitor",1.07007253100264,3.70359616993977e-54
"26","Rgcc","Alveolar_bipotent_progenitor",0.695913757895839,2.21459399271789e-47
"27","S100a6","Alveolar_bipotent_progenitor",1.42061636521667,1.40337925326303e-125
"28","Tpm1","Alveolar_bipotent_progenitor",2.21338924637383,0
"29","Tpt1","Alveolar_bipotent_progenitor",1.0573340806677,8.45471840362207e-56
"30","Uba52","Alveolar_bipotent_progenitor",0.751020984817811,3.06891417693204e-29
"31","Anxa1","Alveolar_macrophage",1.21558083156535,0
"32","Anxa2","Alveolar_macrophage",1.16658994871305,0
"33","Axl","Alveolar_macrophage",1.68814075937912,0
"34","B2m","Alveolar_macrophage",1.3376428636232,0
"35","Cd164","Alveolar_macrophage",1.47154785590371,0
"36","Cd44","Alveolar_macrophage",1.83439379243423,0
"37","Cd53","Alveolar_macrophage",1.11038925611555,0
"38","Cd68","Alveolar_macrophage",1.78109561912349,0
"39","Cd9","Alveolar_macrophage",2.36966872502385,0
"40","Clec7a","Alveolar_macrophage",1.15735086444647,0
